序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,300590,移为通信,20.032976150512695,14.56,14.56,657091056,5159906213.28,6696399324.16,12.768834114074707,0.0,是,21.50967788696289,1/1,60日新高,通信设备
2,300970,华绿生物,20.0,42.0,42.0,858463840,3979809918.0,5149582200.0,23.629114151000977,0.0,是,4.2719316482543945,1/1,60日新高,种植业
3,300067,安诺其,19.966997146606445,7.27,7.27,205570562,6815506360.87,8392303167.5199995,3.016218423843384,0.0,是,3.129345178604126,3/3,60日新高且近期多次涨停,化学制品
4,920111,聚星科技,15.603714942932129,37.34,41.99,537859360,2811258587.5000005,5793469030.000001,20.577573776245117,-0.16042780876159668,是,3.277838706970215,0/0,60日新高,电网设备
5,688051,佳华科技,13.700647354125977,38.59,40.73,152901778,2984319060.0000005,2984319060.0000005,5.288064956665039,-0.20687870681285858,是,8.1887788772583,0/0,60日新高,IT服务Ⅱ
6,300959,线上线下,12.670038223266602,100.22,106.74,776575856,5247040048.18,8054460916.0,15.108419418334961,0.0,是,4.020002365112305,0/0,60日新高,通信服务
7,300649,杭州园林,11.940298080444336,18.75,20.1,198074609,1989690262.5,2482811418.75,10.301666259765625,0.0,是,4.4566121101379395,0/0,60日新高,基础建设
8,300558,贝达药业,11.38782024383545,49.2,53.0,1473915808,20634118872.0,20700104928.0,7.149930000305176,0.0,是,8.624732971191406,0/0,60日新高,化学制药
9,002242,九阳股份,10.028929710388184,11.41,11.41,369193280,8690834122.25,8706024061.28,4.46000337600708,0.0,是,2.762998342514038,4/2,60日新高且近期多次涨停,小家电
10,603315,福鞍股份,10.028169631958008,19.53,19.53,248210676,6256753135.92,6256753292.160001,3.9670844078063965,0.0,是,0.5374226570129395,6/3,60日新高且近期多次涨停,环境治理
11,000593,德龙汇能,10.028011322021484,19.64,19.64,572688192,7040609439.16,7043512997.12,8.407514572143555,0.0,是,2.139072895050049,1/1,60日新高,燃气Ⅱ
12,603017,中衡设计,10.026738166809082,16.46,16.46,609028480,4546092222.780001,4546092140.4800005,14.11487102508545,0.0,否,3.2857298851013184,4/3,近期多次涨停,工程咨询
13,603618,杭电股份,10.017513275146484,31.41,31.41,2652585008,21716108098.56,21716108098.56,12.384568214416504,0.0,是,1.9532798528671265,2/2,60日新高且近期多次涨停,电网设备
14,002787,华源控股,10.016977310180664,19.44,19.44,576365936,4876720616.16,6515832948.4800005,11.989259719848633,0.0,是,1.7806426286697388,1/1,60日新高,包装印刷
15,001234,泰慕士,10.013531684875488,32.52,32.52,301310400,2975108460.0000005,3558133524.0000005,10.434330940246582,0.0,是,5.170370578765869,2/2,60日新高且近期多次涨停,服装家纺
16,600186,莲花控股,10.011641502380371,9.45,9.45,2896715472,16907356849.949999,16941625847.999998,17.577646255493164,0.0,是,2.475329875946045,1/1,60日新高,调味发酵
17,003022,联泓新科,9.991119384765625,24.77,24.77,868979232,33053876305.25,33082019360.0,2.6864542961120605,0.0,是,4.915921688079834,1/1,60日新高,光伏设备
18,603318,水发燃气,9.989372253417969,10.35,10.35,125904500,4751384063.4,5740867785.599999,2.6498489379882812,0.0,否,0.460225909948349,4/3,近期多次涨停,燃气Ⅱ
19,600736,苏州高新,9.986859321594238,8.37,8.37,229911370,9636321631.589998,9636321673.439999,2.385883092880249,0.0,是,1.2201262712478638,3/3,60日新高且近期多次涨停,房地产开
20,000715,中兴商业,9.983360290527344,6.61,6.61,330357104,3214792867.3,3572272864.6400003,10.630280494689941,0.0,否,5.309625148773193,3/2,近期多次涨停,一般零售
21,603912,佳力图,9.980806350708008,11.46,11.46,625893536,6209609549.160001,6209609617.92,10.421658515930176,0.0,否,2.069204807281494,4/2,近期多次涨停,通用设备
22,601512,中新集团,9.980620384216309,11.35,11.35,378915008,17012401500.0,17012401500.0,2.286066770553589,0.0,是,5.683643817901611,2/2,60日新高且近期多次涨停,房地产开
23,002793,罗欣药业,9.9609375,5.63,5.63,259070097,6113806274.97,6123123142.4,4.351222991943359,0.0,是,4.983554363250732,1/1,60日新高,化学制药
24,603308,应流股份,9.953611373901367,82.96,83.0,2495056880,56333278774.96,56333279189.759995,4.457093715667725,-0.036148931831121445,是,2.7694880962371826,0/0,60日新高,通用设备
25,002081,金 螳 螂,9.919028282165527,5.43,5.43,1734711136,14360204547.269999,14418407669.279999,12.103909492492676,0.0,是,6.875372409820557,5/5,60日新高且近期多次涨停,装修装饰
