时间,代码,名称,板块,相关信息
10:29:04,601100,恒立液压,60日大幅下跌,"-0.060068,94.21000,-0.059968"
10:28:03,002004,华邦健康,60日大幅下跌,"-0.046211,5.17000,-0.044362"
10:20:53,600963,岳阳林纸,60日大幅下跌,"-0.072435,4.63000,-0.068410"
10:20:28,300779,惠城环保,60日大幅下跌,"-0.066928,80.90000,-0.066467"
10:19:22,600191,华资实业,60日大幅下跌,"-0.064151,12.41000,-0.063396"
10:17:30,689009,九号公司-WD,60日大幅下跌,"-0.048575,41.79000,-0.046978"
10:11:21,002472,双环传动,60日大幅下跌,"-0.044965,36.32000,-0.044965"
10:07:16,300959,线上线下,60日大幅下跌,"-0.063857,94.85000,-0.063857"
10:04:49,300847,中船汉光,60日大幅下跌,"-0.035825,15.61000,-0.035825"
10:04:10,300836,佰奥智能,60日大幅下跌,"-0.074363,57.01000,-0.074363"
10:03:57,002246,北化股份,60日大幅下跌,"-0.070629,24.08000,-0.070629"
10:02:58,300659,中孚信息,60日大幅下跌,"-0.054432,12.18000,-0.052877"
10:02:25,300886,华业香料,60日大幅下跌,"-0.053064,27.70000,-0.051695"
10:01:15,001388,信通电子,60日大幅下跌,"-0.048946,36.53000,-0.048946"
09:57:02,603278,大业股份,60日大幅下跌,"-0.053788,12.50000,-0.053030"
09:56:07,605218,伟时电子,60日大幅下跌,"-0.054160,16.96000,-0.053043"
09:54:40,300366,ST创意,60日大幅下跌,"-0.047882,5.18000,-0.046041"
09:54:33,002647,仁东控股,60日大幅下跌,"-0.064976,11.80000,-0.064976"
09:51:41,600815,厦工股份,60日大幅下跌,"-0.076167,3.77000,-0.073710"
09:50:33,600981,苏豪汇鸿,60日大幅下跌,"-0.055556,2.73000,-0.052083"
09:50:25,301359,东南电子,60日大幅下跌,"-0.059287,20.43000,-0.053729"
09:49:05,603529,爱玛科技,60日大幅下跌,"-0.052003,24.63000,-0.051233"
09:47:11,688337,普源精电,60日大幅下跌,"-0.077245,61.85000,-0.075900"
09:46:57,002448,中原内配,60日大幅下跌,"-0.076484,16.20000,-0.075342"
09:46:53,603238,诺邦股份,60日大幅下跌,"-0.049391,14.82000,-0.049391"
09:46:38,603222,济民健康,60日大幅下跌,"-0.059536,9.34000,-0.057518"
09:46:10,301289,国缆检测,60日大幅下跌,"-0.042162,54.80000,-0.041288"
09:46:06,002901,大博医疗,60日大幅下跌,"-0.046284,41.88000,-0.045144"
09:45:40,600928,西安银行,60日大幅下跌,"-0.031169,3.74000,-0.028571"
09:45:34,301186,超达装备,60日大幅下跌,"-0.053538,69.83000,-0.053538"
09:45:09,001206,依依股份,60日大幅下跌,"-0.050891,18.65000,-0.050891"
09:44:46,603726,朗迪集团,60日大幅下跌,"-0.053333,22.19000,-0.045591"
09:44:31,603486,科沃斯,60日大幅下跌,"-0.044118,61.12000,-0.043805"
09:44:23,600710,苏美达,60日大幅下跌,"-0.064227,12.55000,-0.062733"
09:44:04,603306,华懋科技,60日大幅下跌,"-0.077358,97.80000,-0.077358"
09:43:56,601187,厦门银行,60日大幅下跌,"-0.043750,7.67000,-0.041250"
09:43:23,600057,厦门象屿,60日大幅下跌,"-0.059621,6.94000,-0.059621"
09:42:55,301153,中科江南,60日大幅下跌,"-0.056445,22.44000,-0.054760"
09:42:13,300056,中创环保,60日大幅下跌,"-0.055914,8.80000,-0.053763"
09:41:52,301110,青木科技,60日大幅下跌,"-0.072235,68.20000,-0.072235"
09:41:21,002360,同德化工,60日大幅下跌,"-0.064062,6.00000,-0.062500"
09:41:16,300682,朗新科技,60日大幅下跌,"-0.070545,15.04000,-0.069307"
09:41:15,000798,中水渔业,60日大幅下跌,"-0.067951,9.20000,-0.066937"
09:41:11,600235,民丰特纸,60日大幅下跌,"-0.043219,6.43000,-0.041729"
09:41:10,301349,信德新材,60日大幅下跌,"-0.057730,58.50000,-0.054010"
09:41:09,002483,润邦股份,60日大幅下跌,"-0.048571,6.67000,-0.047143"
09:40:55,301270,汉仪股份,60日大幅下跌,"-0.063235,31.85000,-0.063235"
09:40:53,603323,苏农银行,60日大幅下跌,"-0.025845,4.90000,-0.025845"
09:40:51,000530,冰山冷热,60日大幅下跌,"-0.055369,5.64000,-0.053691"
09:40:40,300491,通合科技,60日大幅下跌,"-0.068053,24.65000,-0.068053"
09:40:36,002093,国脉科技,60日大幅下跌,"-0.044148,9.31000,-0.044148"
09:40:33,002835,同为股份,60日大幅下跌,"-0.047433,14.68000,-0.046134"
09:40:33,002839,张家港行,60日大幅下跌,"-0.029412,4.63000,-0.027311"
09:40:33,600567,山鹰国际,60日大幅下跌,"-0.040268,1.44000,-0.033557"
09:39:18,002802,洪汇新材,60日大幅下跌,"-0.061608,14.50000,-0.059663"
09:38:21,002124,天邦食品,60日大幅下跌,"-0.073171,2.66000,-0.073171"
09:38:19,688163,赛伦生物,60日大幅下跌,"-0.050552,38.78000,-0.048344"
09:37:51,001228,永泰运,60日大幅下跌,"-0.045211,32.16000,-0.043427"
09:37:45,002194,武汉凡谷,60日大幅下跌,"-0.059061,11.64000,-0.058252"
09:37:21,600966,博汇纸业,60日大幅下跌,"-0.067548,6.35000,-0.067548"
09:37:21,002692,远程股份,60日大幅下跌,"-0.073244,6.20000,-0.073244"
09:37:13,301552,科力装备,60日大幅下跌,"-0.058380,40.30000,-0.051318"
09:37:10,300699,光威复材,60日大幅下跌,"-0.065940,33.46000,-0.065102"
09:36:38,603059,倍加洁,60日大幅下跌,"-0.070121,33.19000,-0.065334"
09:36:34,300603,立昂技术,60日大幅下跌,"-0.071492,10.55000,-0.068844"
09:36:28,301297,富乐德,60日大幅下跌,"-0.058653,39.61000,-0.043930"
09:36:15,002666,德联集团,60日大幅下跌,"-0.049336,5.01000,-0.049336"
09:36:15,000650,仁和药业,60日大幅下跌,"-0.029772,5.54000,-0.029772"
09:36:14,603959,百利科技,60日大幅下跌,"-0.079661,5.47000,-0.072881"
09:35:39,688151,华强科技,60日大幅下跌,"-0.052980,20.10000,-0.049196"
09:35:37,300722,新余国科,60日大幅下跌,"-0.052666,28.96000,-0.052666"
09:35:23,603020,爱普股份,60日大幅下跌,"-0.055354,10.44000,-0.052632"
09:35:16,301386,未来电器,60日大幅下跌,"-0.048978,24.66000,-0.048978"
09:35:16,300248,新开普,60日大幅下跌,"-0.059804,9.60000,-0.058824"
09:35:06,002767,先锋电子,60日大幅下跌,"-0.058741,20.09000,-0.055921"
09:35:06,000958,电投产融,60日大幅下跌,"-0.032103,6.04000,-0.030498"
09:35:05,600749,西藏旅游,60日大幅下跌,"-0.060000,18.87000,-0.056500"
09:35:01,300474,景嘉微,60日大幅下跌,"-0.047811,59.19000,-0.047167"
09:35:00,002717,ST岭南,60日大幅下跌,"-0.050955,1.49000,-0.050955"
09:34:55,300702,天宇股份,60日大幅下跌,"-0.053759,20.77000,-0.053759"
09:34:49,600987,航民股份,60日大幅下跌,"-0.059140,7.01000,-0.057796"
09:34:33,002410,广联达,60日大幅下跌,"-0.049530,11.14000,-0.048676"
09:34:27,002225,濮耐股份,60日大幅下跌,"-0.066202,5.38000,-0.062718"
09:34:21,002259,升达林业,60日大幅下跌,"-0.078947,5.29000,-0.071930"
09:34:15,603111,康尼机电,60日大幅下跌,"-0.034532,6.71000,-0.034532"
09:33:39,002523,天桥起重,60日大幅下跌,"-0.047146,3.84000,-0.047146"
09:33:39,002686,亿利达,60日大幅下跌,"-0.064350,7.32000,-0.057915"
09:33:36,603116,红蜻蜓,60日大幅下跌,"-0.048658,5.68000,-0.046980"
09:33:18,601519,大智慧,60日大幅下跌,"-0.046009,10.16000,-0.046009"
09:33:04,300845,捷安高科,60日大幅下跌,"-0.051471,12.90000,-0.051471"
09:32:49,603991,至正股份,60日大幅下跌,"-0.055740,114.00000,-0.051581"
09:32:46,600777,*ST新潮,60日大幅下跌,"-0.049069,5.64000,-0.045685"
09:32:37,301091,深城交,60日大幅下跌,"-0.056932,21.76000,-0.054324"
09:32:31,300922,天秦装备,60日大幅下跌,"-0.066973,18.25000,-0.066973"
09:32:30,000967,盈峰环境,60日大幅下跌,"-0.058995,12.95000,-0.056810"
09:32:28,301195,北路智控,60日大幅下跌,"-0.046296,30.90000,-0.046296"
09:32:22,301107,瑜欣电子,60日大幅下跌,"-0.054083,26.41000,-0.054083"
09:32:21,920856,浩淼科技,60日大幅下跌,"-0.045556,12.78000,-0.045556"
09:32:19,300055,万邦达,60日大幅下跌,"-0.069479,11.25000,-0.069479"
09:32:08,600165,ST宁科,60日大幅下跌,"-0.044818,3.43000,-0.039216"
09:32:07,301601,惠通科技,60日大幅下跌,"-0.045512,22.72000,-0.042562"
09:31:58,601199,江南水务,60日大幅下跌,"-0.035336,5.46000,-0.035336"
09:31:55,301212,联盛化学,60日大幅下跌,"-0.064825,26.40000,-0.064825"
09:31:47,600927,永安期货,60日大幅下跌,"-0.041982,13.93000,-0.041294"
09:31:42,002947,恒铭达,60日大幅下跌,"-0.052163,74.86000,-0.047583"
09:31:40,300543,朗科智能,60日大幅下跌,"-0.049112,9.10000,-0.049112"
09:31:39,002550,千红制药,60日大幅下跌,"-0.044236,7.14000,-0.042895"
09:31:30,000410,沈阳机床,60日大幅下跌,"-0.047904,6.39000,-0.043413"
09:31:21,002793,罗欣药业,60日大幅下跌,"-0.058615,5.30000,-0.058615"
09:31:15,002891,中宠股份,60日大幅下跌,"-0.059487,40.01000,-0.059252"
09:31:13,301413,安培龙,60日大幅下跌,"-0.065249,108.16000,-0.065249"
09:31:09,002971,和远气体,60日大幅下跌,"-0.051653,32.23000,-0.048701"
09:31:09,688517,金冠电气,60日大幅下跌,"-0.056344,20.60000,-0.056344"
09:31:03,603178,圣龙股份,60日大幅下跌,"-0.063417,17.89000,-0.062369"
09:31:02,603788,宁波高发,60日大幅下跌,"-0.042703,17.71000,-0.042703"
09:30:56,600901,江苏金租,60日大幅下跌,"-0.027855,6.99000,-0.026462"
09:30:46,601798,蓝科高新,60日大幅下跌,"-0.047514,8.63000,-0.046409"
09:30:42,603586,金麒麟,60日大幅下跌,"-0.035354,19.16000,-0.032323"
09:30:34,300479,神思电子,60日大幅下跌,"-0.054555,17.91000,-0.051377"
09:30:33,601728,中国电信,60日大幅下跌,"-0.026846,5.81000,-0.025168"
09:30:26,920271,邦德股份,60日大幅下跌,"-0.043659,13.80000,-0.043659"
09:30:24,001319,铭科精技,60日大幅下跌,"-0.051282,23.70000,-0.050481"
09:30:24,002393,力生制药,60日大幅下跌,"-0.045656,21.55000,-0.044770"
09:30:21,002624,完美世界,60日大幅下跌,"-0.079916,17.57000,-0.076236"
09:30:21,002116,中国海诚,60日大幅下跌,"-0.042927,9.84000,-0.040000"
09:30:19,300509,新美星,60日大幅下跌,"-0.063018,11.33000,-0.060531"
09:30:14,600180,瑞茂通,60日大幅下跌,"-0.059375,3.07000,-0.040625"
09:30:13,300860,锋尚文化,60日大幅下跌,"-0.041769,23.40000,-0.041769"
09:30:09,002081,金 螳 螂,60日大幅下跌,"-0.069982,5.06000,-0.068140"
09:30:06,002997,瑞鹄模具,60日大幅下跌,"-0.041451,29.77000,-0.035946"
09:30:03,000930,中粮科技,60日大幅下跌,"-0.059282,6.08000,-0.051482"
09:30:02,301298,东利机械,60日大幅下跌,"-0.049474,15.37000,-0.049474"
09:30:02,300791,仙乐健康,60日大幅下跌,"-0.051546,19.56000,-0.039764"
09:30:02,300627,华测导航,60日大幅下跌,"-0.055540,32.99000,-0.050647"
09:30:02,300695,兆丰股份,60日大幅下跌,"-0.059515,64.47000,-0.052608"
09:30:01,300267,尔康制药,60日大幅下跌,"-0.070258,3.99000,-0.065574"
09:30:01,300494,盛天网络,60日大幅下跌,"-0.068586,11.05000,-0.064352"
09:30:00,002351,漫步者,60日大幅下跌,"-0.032831,10.94000,-0.029281"
09:30:00,002244,滨江集团,60日大幅下跌,"-0.065494,9.65000,-0.056696"
09:30:00,002014,永新股份,60日大幅下跌,"-0.035284,11.30000,-0.027539"
09:30:00,601512,中新集团,60日大幅下跌,"-0.051982,10.79000,-0.049339"
09:30:00,000715,中兴商业,60日大幅下跌,"-0.066566,6.28000,-0.049924"
09:30:00,000915,华特达因,60日大幅下跌,"-0.033521,29.12000,-0.033521"
09:25:04,603180,金牌家居,60日大幅下跌,"-0.044055,18.01000,-0.044055"
09:25:03,603160,汇顶科技,60日大幅下跌,"-0.043540,67.66000,-0.043540"
09:25:03,600983,惠而浦,60日大幅下跌,"-0.060185,10.15000,-0.060185"
09:25:03,600603,广汇物流,60日大幅下跌,"-0.063704,6.32000,-0.063704"
09:25:02,688109,品茗科技,60日大幅下跌,"-0.079194,105.11000,-0.079194"
09:25:02,601311,骆驼股份,60日大幅下跌,"-0.041160,10.25000,-0.041160"
09:25:02,603236,移远通信,60日大幅下跌,"-0.063860,79.60000,-0.063860"
09:25:02,605333,沪光股份,60日大幅下跌,"-0.047982,25.00000,-0.047982"
09:25:02,603173,福斯达,60日大幅下跌,"-0.064780,37.68000,-0.064780"
09:25:01,300787,海能实业,60日大幅下跌,"-0.076471,10.99000,-0.076471"
09:25:01,300916,朗特智能,60日大幅下跌,"-0.061167,33.46000,-0.061167"
09:25:01,300638,广和通,60日大幅下跌,"-0.071923,24.13000,-0.071923"
09:25:01,300296,利亚德,60日大幅下跌,"-0.072368,7.05000,-0.072368"
09:25:01,300183,东软载波,60日大幅下跌,"-0.054018,14.36000,-0.054018"
09:25:01,300150,世纪瑞尔,60日大幅下跌,"-0.069982,5.05000,-0.069982"
09:25:01,300009,安科生物,60日大幅下跌,"-0.048604,9.20000,-0.048604"
09:25:01,002130,沃尔核材,60日大幅下跌,"-0.072525,24.17000,-0.072525"
09:25:00,002211,ST宏达,60日大幅下跌,"-0.051075,3.53000,-0.051075"
09:25:00,002807,江阴银行,60日大幅下跌,"-0.043841,4.58000,-0.043841"
09:25:00,002322,理工能科,60日大幅下跌,"-0.053559,13.43000,-0.053559"
09:25:00,002034,旺能环境,60日大幅下跌,"-0.050959,17.32000,-0.050959"
