序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
1,301599,N理奇,348.5981140136719,62.4,,2208628608,3413313446.4,26931840000.0,77.24017333984375,1,2026-04-30,2026-04-30,否,0/0,自动化设
2,920186,中科仪,6.140594482421875,76.4,93.57,2488752736,7298528519.200001,17101307240.000002,34.819923400878906,2,2026-04-29,2026-04-29,否,0/0,通用设备
3,920156,海昌智能,9.929720878601074,48.49,57.34,502024976,1052620920.0,5048778800.0,47.12519073486328,4,2026-04-27,2026-04-27,否,0/0,自动化设
4,688808,C联讯,11.350214958190918,1033.33,,4791010048,19939284479.52,106088547011.10999,25.327287673950195,5,2026-04-24,2026-04-24,否,0/0,通用设备
5,920125,鸿仕达,29.994037628173828,87.2,87.2,380802496,1437190200.8,4897152000.0,29.69770050048828,5,2026-04-24,2026-04-24,否,2/2,自动化设
6,001312,福恩股份,-1.221052646636963,23.46,26.13,159011671,1340979910.74,5474000015.64,11.852239608764648,8,2026-04-21,2026-04-21,否,0/0,纺织制造
7,688820,盛合晶微,11.351351737976074,103.0,111.0,5936871936,17808972229.0,191865731888.0,34.62232208251953,8,2026-04-21,2026-04-21,否,0/0,半导体
8,920191,瑞尔竞达,1.6535433530807495,12.91,16.51,102653040,515302650.0,2290174614.0,19.81375503540039,9,2026-04-20,2026-04-20,否,0/0,装修建材
9,301513,尚水智能,-1.073582649230957,82.01,99.48,371252480,1652418587.89,8201000000.000001,22.911094665527344,10,2026-04-17,2026-04-17,否,0/0,电池
10,301666,大普微-UW,7.432432651519775,318.0,355.2,2799610688,8432197074.0,138716805024.0,34.799781799316406,11,2026-04-16,2026-04-16,否,0/0,计算机设
11,603293,埃泰克,0.06036217138171196,49.73,54.67,200224159,1745349492.03,8906178422.34,11.540884971618652,11,2026-04-16,2026-04-16,否,0/0,汽车零部
12,920177,恒道科技,4.748858451843262,34.41,42.7,114029926,405074519.99999994,1800331199.9999998,27.88949966430664,11,2026-04-16,2026-04-16,否,0/0,通用设备
13,920012,创达新材,6.000718593597412,59.0,72.35,203933160,782851353.0,2909725420.0,26.334257125854492,14,2026-04-13,2026-04-13,否,0/0,电子化学
14,301696,三瑞智能,-1.5592515468597412,94.7,115.44,494879744,2848893623.8,37880947000.0,17.408374786376953,15,2026-04-10,2026-04-10,否,0/0,航空装备
15,688811,有研复材,12.052117347717285,24.08,25.79,730651840,2218396415.7599998,12080300288.0,34.234100341796875,15,2026-04-10,2026-04-10,否,0/0,金属新材
16,920181,赛英电子,7.873813629150391,84.12,101.37,236491224,842882400.0,3633984000.0,28.586776733398438,15,2026-04-10,2026-04-10,否,0/0,半导体
17,603459,红板科技,0.016202202066779137,61.73,67.89,924467648,4879871194.34,46529208740.32,18.80034065246582,17,2026-04-08,2026-04-08,否,0/0,元件
18,920011,晨光电机,1.1788617372512817,24.89,31.98,62952409,462954024.89,2057573341.63,13.498004913330078,17,2026-04-08,2026-04-08,否,0/0,电机Ⅱ
19,301683,慧谷新材,-0.5920799970626831,129.28,156.06,332850000,1844263232.0,8159688192.0,18.206937789916992,21,2026-04-01,2026-04-01,否,0/0,化学制品
20,001257,盛龙股份,-0.7492287755012512,22.52,24.96,344698752,3084068689.7599998,41345612376.32,11.2225923538208,22,2026-03-31,2026-03-31,否,0/0,小金属
21,688813,泰金新能,6.857869625091553,92.4,103.76,823238880,2779112582.4,14784000000.0,30.79625701904297,22,2026-03-31,2026-03-31,否,0/0,专用设备
22,920055,隆源股份,1.737619400024414,35.13,44.88,76416338,537489000.0,2388840000.0,14.13167953491211,22,2026-03-31,2026-03-31,否,0/0,汽车零部
23,920188,悦龙科技,2.8835489749908447,27.83,35.16,102684466,550863652.5699999,2309700700.3399997,18.225629806518555,23,2026-03-30,2026-03-30,否,0/0,橡胶
24,920069,普昂医疗,0.7975302934646606,39.18,50.53,64474607,578991657.3,2073170520.0,11.058149337768555,24,2026-03-27,2026-03-27,否,0/0,医疗器械
25,301682,宏明电子,2.1797478199005127,125.63,147.54,486778352,3227035322.23,15270245845.539999,15.14194393157959,26,2026-03-25,2026-03-25,否,0/0,军工电子
26,688781,视涯科技-UW,0.37220844626426697,40.45,48.36,175226094,1651779673.65,40450000000.0,10.715588569641113,26,2026-03-25,2026-03-25,否,0/0,光学光电
27,920028,新恒泰,-2.578796625137329,17.0,22.68,110211173,723504700.0,2794120000.0,14.990553855895996,29,2026-03-20,2026-03-20,否,0/0,塑料
28,920078,族兴新材,9.1304349899292,27.61,32.89,178042942,571527000.0,3313200000.0,31.698719024658203,31,2026-03-18,2026-03-18,否,0/0,金属新材
29,920036,觅睿科技,1.91304349899292,41.02,52.32,78321697,535773582.54,2232383343.54,14.613808631896973,38,2026-03-09,2026-03-09,否,0/0,计算机设
30,301680,固德电材,-0.5932203531265259,105.57,127.44,182990086,1773837813.6,8741196000.0,10.317018508911133,39,2026-03-06,2026-03-06,否,0/0,汽车零部
31,920187,通领科技,1.37064528465271,35.5,45.52,25022594,812711653.0,2215200000.0,3.0837950706481934,40,2026-03-05,2026-03-05,否,0/0,汽车零部
32,920183,海菲曼,1.8776824474334717,37.98,48.46,23790016,427268429.46,1859196959.9999998,5.54915189743042,41,2026-03-04,2026-03-04,否,0/0,消费电子
33,920168,通宝光电,-3.7974681854248047,20.52,27.72,59473718,578141027.28,1542558168.0,10.439757347106934,45,2026-02-26,2026-02-26,否,0/0,汽车零部
