序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,301599,理奇智能,62.4,348.60%,77.24%,1.92亿
2,688531,日联科技,120.6,54.85%,31.33%,-1.97亿
3,301217,铜冠铜箔,78.34,52.68%,26.63%,6.30亿
4,300632,光莆股份,24.47,39.03%,29.30%,-8.85亿
5,300769,德方纳米,71.95,37.47%,66.02%,6.22亿
6,688655,迅捷兴,45.53,35.14%,43.16%,1673.31万
7,603095,越剑智能,25.37,33.18%,13.96%,-1.10亿
8,2081,金螳螂,5.9,33.18%,51.44%,7.69亿
9,600379,宝光股份,16.78,33.17%,40.77%,-8.98亿
10,603629,利通电子,144.41,33.10%,25.45%,-6.70亿
11,603399,永杉锂业,19.39,33.08%,24.49%,-3.48亿
12,301666,大普微,318.0,32.66%,107.47%,3589.40万
13,300209,行云科技,17.24,30.61%,59.67%,2.76亿
14,300571,平治信息,44.28,28.53%,67.76%,3.30亿
15,688515,裕太微,172.6,27.82%,46.74%,4.31亿
16,2842,翔鹭钨业,38.49,26.78%,67.72%,-7.14亿
17,688400,凌云光,59.32,26.75%,17.63%,2.66亿
18,688390,固德威,108.2,26.56%,22.23%,6.48亿
19,688328,深科达,54.18,25.77%,49.56%,6432.09万
20,688256,寒武纪,1699.96,25.30%,8.16%,46.36亿
21,1266,宏英智能,40.73,24.71%,34.66%,-9440.04万
22,2805,丰元股份,22.85,24.46%,22.56%,-3.14亿
23,688021,奥福科技,30.3,24.38%,15.30%,18.12万
24,300438,鹏辉能源,85.88,24.03%,44.48%,6.72亿
25,567,海德股份,6.67,23.06%,11.47%,1884.20万
26,605389,长龄液压,116.98,22.70%,8.71%,1.74亿
27,300550,和仁科技,13.94,22.60%,22.88%,8473.88万
28,688669,聚石化学,32.5,22.41%,25.29%,1.27亿
29,603937,丽岛新材,15.25,22.29%,24.35%,-7377.54万
30,2989,中天精装,29.21,22.17%,12.54%,3517.18万
31,300905,宝丽迪,68.14,22.01%,39.00%,-1.40亿
