序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
2,605389,长龄液压,116.98,117.15,70.85,11,64.74,19.94,工程机械
3,601101,昊华能源,11.69,11.72,8.09,9,42.91,33.18,煤炭开采加工
4,000338,潍柴动力,31.2,32.66,26.15,8,18.36,19.72,汽车零部件
5,001301,尚太科技,85.65,86.2,70.82,8,18.58,43.88,电池
6,002655,共达电声,31.52,32.19,22.45,8,38.92,115.76,消费电子
10,000066,中国长城,19.82,19.82,15.28,7,28.62,64.22,计算机设备
11,000813,德展健康,3.64,3.72,3.27,7,10.3,13.45,化学制药
12,002730,电光科技,33.66,33.91,26.46,7,27.16,61.3,专用设备
16,603101,汇嘉时代,11.06,11.35,9.39,7,10.6,51.06,零售
19,000059,华锦股份,5.69,5.75,5.14,6,8.59,13.05,石油加工贸易
20,000609,*ST中迪,14.42,14.42,11.3,6,34.01,2.94,房地产
21,000803,山高环能,8.79,8.82,7.64,6,13.27,24.21,环境治理
22,002205,国统股份,13.38,13.51,12.32,6,7.13,10.74,建筑材料
23,002648,卫星化学,29.6,30.2,26.16,6,11.87,9.67,化学制品
24,002820,桂发祥,11.49,11.64,10.17,6,11.66,18.73,食品加工制造
27,600238,*ST椰岛,5.64,5.78,4.64,6,20.26,18.71,饮料制造
28,600400,红豆股份,2.76,2.76,2.06,6,33.33,33.33,服装家纺
29,600692,亚通股份,7.85,7.94,7.2,6,7.83,21.42,房地产
30,600790,轻纺城,4.2,4.29,3.73,6,12.6,11.83,零售
31,600938,中国海油,39.99,40.52,37.16,6,7.82,10.83,油气开采及服务
32,600971,恒源煤电,8.29,8.36,7.41,6,10.53,12.16,煤炭开采加工
33,601838,成都银行,19.15,19.22,17.42,6,8.87,4.68,银行
34,603385,惠达卫浴,6.76,6.87,6.28,6,5.96,9.27,家居用品
35,603399,永杉锂业,19.39,19.39,12.79,6,45.24,62.93,能源金属
36,603818,曲美家居,3.7,3.75,3.3,6,10.45,13.83,家居用品
37,603836,海程邦达,14.3,14.38,12.84,6,9.16,11.44,物流
38,603848,好太太,16.1,16.15,15.12,6,5.09,3.15,家居用品
39,603998,方盛制药,10.99,11.11,10.28,6,5.98,13.15,中药
41,000523,红棉股份,3.45,3.55,3.13,5,7.81,10.56,饮料制造
42,000605,渤海股份,7.2,7.25,6.57,5,8.43,9.34,环境治理
43,000607,华媒控股,4.14,4.18,3.8,5,5.88,8.88,文化传媒
44,000663,永安林业,6.88,6.92,6.19,5,8.86,16.01,种植业与林业
45,000679,大连友谊,7.24,7.3,6.65,5,7.58,7.0,零售
46,000686,东北证券,8.67,8.8,8.17,5,4.46,7.35,证券
47,000688,国城矿业,51.48,52.73,40.89,5,26.05,12.42,小金属
48,000701,厦门信达,5.93,6.0,5.54,5,3.85,11.49,贸易
49,000766,通化金马,24.67,24.74,22.48,5,7.45,8.25,化学制药
50,000790,华神科技,4.57,4.57,3.79,5,18.7,18.42,中药
51,000833,粤桂股份,31.72,31.72,25.19,5,27.03,60.91,非金属材料
52,000897,津滨发展,2.18,2.19,2.05,5,5.31,9.9,房地产
53,000953,河化股份,6.99,7.06,6.49,5,7.37,16.13,化学制药
54,001211,双枪科技,41.73,42.52,30.25,5,32.86,69.77,家居用品
55,001231,农心科技,25.49,25.7,23.1,5,9.21,24.12,农化制品
56,001259,利仁科技,34.34,34.67,30.82,5,9.57,19.62,小家电
57,001339,智微智能,89.85,93.0,73.01,5,22.41,79.27,计算机设备
58,001373,翔腾新材,37.51,37.77,33.8,5,8.35,23.68,光学光电子
59,001378,德冠新材,26.79,26.89,24.66,5,6.95,16.54,塑料制品
60,001387,雪祺电气,14.2,14.28,12.96,5,8.07,14.87,白色家电
61,002188,中天服务,7.22,7.33,6.18,5,14.24,27.4,房地产
62,002208,合肥城建,13.74,14.26,12.31,5,9.83,18.4,房地产
63,002295,精艺股份,11.23,11.25,10.52,5,5.05,8.56,工业金属
64,002388,新亚制程,5.42,5.48,4.88,5,10.61,21.43,其他电子
65,002395,双象股份,20.17,20.78,17.94,5,11.56,23.18,塑料制品
66,002415,海康威视,36.29,36.84,33.3,5,8.36,3.8,计算机设备
67,002453,华软科技,5.61,5.61,4.7,5,16.15,16.82,化学制品
68,002493,荣盛石化,13.95,14.11,11.77,5,17.33,4.05,石油加工贸易
69,002494,华斯股份,6.21,6.25,5.38,5,12.91,27.49,服装家纺
70,002513,蓝丰生化,6.51,6.59,5.94,5,8.14,16.4,光伏设备
71,002524,光正眼科,4.41,4.44,4.0,5,8.89,17.67,医疗服务
72,002574,明牌珠宝,5.71,5.77,5.17,5,7.74,12.69,服装家纺
73,002577,雷柏科技,17.19,17.49,15.09,5,12.21,6.62,计算机设备
74,002591,恒大高新,8.36,8.36,6.8,5,22.22,31.88,化学制品
75,002593,日上集团,5.38,5.43,5.0,5,5.91,12.64,汽车零部件
76,002596,海南瑞泽,3.76,3.83,3.32,5,10.91,16.92,建筑材料
77,002622,皓宸医疗,2.8,2.84,2.47,5,12.0,16.15,医疗服务
78,002641,公元股份,4.26,4.28,4.06,5,4.41,5.64,建筑材料
79,002650,ST加加,7.86,7.93,6.97,5,11.81,3.83,食品加工制造
80,002676,顺威股份,7.12,7.19,6.47,5,6.43,13.55,白色家电
81,002687,乔治白,5.04,5.1,4.72,5,4.35,23.53,服装家纺
82,002695,煌上煌,12.49,12.6,11.34,5,9.56,10.3,食品加工制造
83,002702,海欣食品,6.01,6.08,5.46,5,8.48,33.98,食品加工制造
84,002715,登云股份,17.5,17.88,14.96,5,15.13,39.26,汽车零部件
85,002737,葵花药业,13.88,14.4,12.03,5,14.52,8.54,中药
86,002798,帝欧水华,7.93,8.17,6.89,5,14.76,32.55,家居用品
87,002805,丰元股份,22.85,22.85,17.62,5,27.87,34.87,电池
88,002809,红墙股份,10.66,10.71,9.98,5,4.0,27.11,化学制品
89,002817,黄山胶囊,8.27,8.45,7.57,5,8.67,12.14,医疗器械
90,002859,洁美科技,51.0,51.09,44.72,5,11.89,14.75,其他电子
91,002873,新天药业,10.1,10.13,9.32,5,7.91,18.91,中药
92,002900,哈三联,11.56,11.76,10.48,5,8.44,23.61,化学制药
93,002942,新农股份,20.14,20.5,18.92,5,5.11,8.13,农化制品
94,002943,宇晶股份,68.81,69.12,56.01,5,21.7,63.08,通用设备
95,002968,新大正,12.32,12.43,11.13,5,8.07,9.22,房地产
96,003008,开普检测,23.5,23.55,21.42,5,8.6,14.99,其他社会服务
97,003016,欣贺股份,8.55,8.61,7.96,5,6.34,6.2,服装家纺
98,003026,中晶科技,49.99,52.16,37.65,5,31.35,99.36,半导体
147,600051,宁波联合,7.77,7.83,7.28,5,5.71,12.41,综合
148,600229,城市传媒,6.32,6.42,5.9,5,6.22,3.67,文化传媒
149,600303,曙光股份,3.31,3.36,3.03,5,7.12,17.51,汽车整车
150,600319,亚星化学,8.08,8.19,7.31,5,9.49,7.47,化学原料
151,600448,华纺股份,3.59,3.66,3.18,5,11.49,19.48,纺织制造
152,600493,凤竹纺织,7.56,7.65,6.86,5,7.54,15.12,纺织制造
153,600503,华丽家族,2.57,2.59,2.23,5,13.72,13.47,房地产
154,600506,统一股份,22.64,22.97,20.32,5,10.28,20.36,石油加工贸易
155,600558,大西洋,5.75,5.77,5.16,5,8.9,13.52,通用设备
156,600665,天地源,3.6,3.62,3.17,5,12.15,9.8,房地产
157,600671,天目药业,19.91,20.05,18.41,5,5.62,9.29,中药
158,600708,光明地产,3.8,3.9,3.23,5,16.21,10.98,房地产
159,600719,大连热电,7.75,7.9,7.17,5,5.3,34.59,电力
160,600768,宁波富邦,18.88,19.25,16.56,5,13.73,43.84,电网设备
161,600778,友好集团,6.83,6.87,6.14,5,9.46,16.36,零售
162,600883,博闻科技,9.01,9.1,7.9,5,12.63,14.24,种植业与林业
163,603029,天鹅股份,19.95,20.0,18.18,5,8.25,10.98,专用设备
164,603041,美思德,14.12,14.28,12.81,5,10.05,15.81,化学制品
165,603172,万丰股份,21.58,21.88,20.4,5,4.0,22.55,化学制品
166,603177,德创环保,12.09,12.18,11.31,5,4.22,13.7,环境治理
167,603321,梅轮电梯,7.74,7.79,7.12,5,7.35,8.04,专用设备
168,603351,威尔药业,27.14,27.41,25.4,5,5.52,4.51,化学制药
169,603356,华菱精工,19.1,19.21,16.84,5,12.35,21.83,专用设备
170,603389,*ST亚振,61.82,61.82,51.2,5,21.69,5.17,家居用品
171,603506,南都物业,13.53,13.73,12.01,5,11.27,10.24,房地产
172,603520,司太立,12.08,12.44,10.55,5,14.18,54.45,化学制药
173,603638,艾迪精密,23.24,23.26,22.03,5,4.31,4.9,工程机械
174,603682,锦和商管,8.65,8.82,6.98,5,21.49,29.06,零售
175,603730,岱美股份,10.94,10.98,10.08,5,8.75,5.69,汽车零部件
176,603768,常青股份,11.87,12.07,10.74,5,8.8,10.73,汽车零部件
177,603797,联泰环保,4.91,4.94,4.57,5,5.14,6.15,环境治理
178,603879,永悦科技,5.9,5.94,5.42,5,6.5,15.04,塑料制品
