序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
3,001336,楚环科技,-0.52,28.92,441.81万,90.58万(04月22日),6,10.76,环保设备
4,002508,老板电器,-2.66,17.93,1307.62万,323.71万(04月22日),6,-7.96,厨卫电器
5,002671,龙泉股份,1.43,4.95,1783.25万,809.50万(04月22日),6,3.99,建筑材料
8,600325,华发股份,-3.35,3.46,7662.35万,2451.22万(04月22日),6,-2.54,房地产
9,600833,第一医药,4.22,12.35,393.43万,204.12万(04月22日),6,7.58,医药商业
10,600939,重庆建工,2.69,3.05,2010.26万,604.16万(04月22日),6,6.64,建筑装饰
11,603317,天味食品,-0.87,17.13,5136.96万,466.18万(04月22日),6,26.42,食品加工制造
12,603353,和顺石油,-1.67,43.09,1593.71万,372.42万(04月22日),6,16.87,石油加工贸易
13,002494,华斯股份,4.72,6.21,2053.16万,944.12万(04月23日),5,12.91,服装家纺
14,002577,雷柏科技,3.37,17.19,471.06万,150.77万(04月23日),5,12.21,计算机设备
17,600892,*ST大晟,-4.45,3.65,1267.41万,356.23万(04月23日),5,5.8,游戏
18,605389,长龄液压,9.84,116.98,392.70万,188.06万(04月23日),5,36.28,工程机械
19,000029,深深房A,1.48,21.26,586.22万,328.21万(04月24日),4,5.4,房地产
20,000333,美的集团,-0.26,81.1,3311.08万,2178.80万(04月24日),4,1.81,白色家电
21,000401,金隅冀东,-7.36,4.28,1470.29万,858.01万(04月24日),4,-7.76,建筑材料
22,000517,荣安地产,1.0,2.02,3638.29万,1425.63万(04月24日),4,9.78,房地产
23,000761,本钢板材,-2.64,2.95,1624.82万,1157.29万(04月24日),4,-0.67,钢铁
24,000935,四川双马,-3.71,26.72,801.63万,386.13万(04月24日),4,-6.25,多元金融
25,001202,炬申股份,0.06,16.97,183.78万,114.86万(04月24日),4,2.35,物流
26,001213,中铁特货,-0.5,3.98,960.11万,766.06万(04月24日),4,-0.5,公路铁路运输
27,001277,速达股份,3.48,37.22,148.25万,50.71万(04月24日),4,6.07,专用设备
28,001359,平安电工,5.09,87.75,268.33万,117.30万(04月24日),4,6.88,非金属材料
29,002003,伟星股份,-1.48,10.0,720.60万,519.72万(04月24日),4,-1.86,纺织制造
30,002111,威海广泰,4.55,11.02,1944.49万,415.87万(04月24日),4,11.54,军工装备
31,002210,飞马国际,-9.97,2.98,1.86亿,4784.09万(04月24日),4,19.68,环境治理
32,002316,亚联发展,2.21,5.54,1670.82万,1045.07万(04月24日),4,8.63,通信服务
33,002378,章源钨业,2.85,33.86,1.12亿,5106.10万(04月24日),4,9.94,小金属
34,002399,海普瑞,0.93,10.87,425.84万,247.85万(04月24日),4,-0.55,化学制药
35,002439,启明星辰,3.03,15.62,4598.39万,2924.85万(04月24日),4,4.55,软件开发
36,002596,海南瑞泽,2.73,3.76,4657.17万,2512.37万(04月24日),4,10.26,建筑材料
37,002743,富煌钢构,-3.57,5.13,1254.93万,703.82万(04月24日),4,-1.16,建筑装饰
38,002747,埃斯顿,5.14,21.87,1014.37万,903.04万(04月24日),4,6.06,自动化设备
39,002820,桂发祥,2.96,11.49,820.97万,370.79万(04月24日),4,10.59,食品加工制造
40,002842,翔鹭钨业,10.0,38.49,5692.99万,2646.76万(04月24日),4,20.47,小金属
41,002903,宇环数控,1.99,37.37,1463.17万,591.48万(04月24日),4,19.58,通用设备
42,002925,盈趣科技,1.21,19.21,1022.76万,744.75万(04月24日),4,-0.57,消费电子
58,600019,宝钢股份,-2.62,6.31,9732.36万,5883.59万(04月24日),4,-0.63,钢铁
59,600061,国投资本,2.6,6.71,6673.28万,3666.72万(04月24日),4,2.44,证券
60,600088,中视传媒,2.6,14.61,444.14万,214.50万(04月24日),4,3.62,影视院线
61,600176,中国巨石,-3.36,34.5,1.77亿,1.28亿(04月24日),4,4.55,建筑材料
62,600376,首开股份,2.72,4.53,5042.90万,3158.97万(04月24日),4,1.57,房地产
63,600377,宁沪高速,0.66,12.3,855.36万,657.74万(04月24日),4,1.23,公路铁路运输
64,600621,华鑫股份,-0.77,14.14,1037.56万,750.67万(04月24日),4,1.0,证券
65,600684,珠江股份,-2.83,4.47,1838.19万,1191.19万(04月24日),4,-2.83,房地产
66,600887,伊利股份,3.35,27.46,1.26亿,3892.18万(04月24日),4,8.75,饮料制造
67,601018,宁波港,-2.38,3.7,6206.04万,3241.06万(04月24日),4,-3.39,港口航运
68,601288,农业银行,-0.29,6.92,3.19亿,1.96亿(04月24日),4,-1.7,银行
69,601328,交通银行,-2.16,6.8,1.32亿,9380.78万(04月24日),4,-2.58,银行
70,601375,中原证券,0.74,4.06,3547.43万,2051.60万(04月24日),4,2.01,证券
71,601658,邮储银行,-1.55,5.07,1.36亿,9793.62万(04月24日),4,-2.12,银行
72,601816,京沪高铁,-0.81,4.9,1.15亿,9549.74万(04月24日),4,-0.2,公路铁路运输
73,601828,美凯龙,2.69,2.67,9726.55万,1195.29万(04月24日),4,13.14,零售
74,603050,科林电气,7.69,21.7,1077.12万,266.11万(04月24日),4,12.61,电网设备
75,603067,振华股份,-1.6,34.98,4372.81万,1663.69万(04月24日),4,-6.7,化学原料
76,603288,海天味业,-1.6,38.64,1705.33万,1197.71万(04月24日),4,-3.21,食品加工制造
77,603316,诚邦股份,-4.94,15.59,1320.08万,741.03万(04月24日),4,3.52,半导体
78,603505,金石资源,3.62,18.34,1679.65万,1078.69万(04月24日),4,2.92,化学制品
79,603507,振江股份,-3.79,47.78,1590.26万,1073.62万(04月24日),4,6.25,风电设备
80,605003,众望布艺,4.68,29.75,250.23万,101.96万(04月24日),4,7.44,服装家纺
