时间,代码,名称,板块,相关信息
14:38:43,605338,巴比食品,60日新低,"22.780000,22.86000,-0.003922"
14:16:31,605108,同庆楼,60日新低,"15.430000,15.43000,-0.005158"
14:06:39,002790,瑞尔特,60日新低,"7.270000,7.29000,-0.022788"
14:03:52,300859,西域旅游,60日新低,"30.500000,30.51000,-0.004568"
13:27:55,600740,山西焦化,60日新低,"4.040000,4.04000,-0.060465"
13:25:51,603599,广信股份,60日新低,"12.770000,12.80000,-0.094126"
13:23:06,000401,金隅冀东,60日新低,"4.220000,4.23000,-0.002358"
13:21:06,002554,惠博普,60日新低,"3.340000,3.34000,-0.031884"
13:19:37,603313,梦百合,60日新低,"6.150000,6.15000,-0.014423"
13:15:52,300247,融捷健康,60日新低,"4.210000,4.22000,-0.011710"
13:11:37,300962,中金辐照,60日新低,"15.590000,15.59000,-0.014539"
13:04:57,600645,中源协和,60日新低,"24.790000,24.79000,-0.003217"
13:04:09,002724,海洋王,60日新低,"6.240000,6.24000,-0.015773"
13:00:46,600828,茂业商业,60日新低,"4.930000,4.93000,-0.023762"
11:18:00,002601,龙佰集团,60日新低,"16.510000,16.52000,-0.025943"
11:08:57,002697,红旗连锁,60日新低,"5.060000,5.07000,-0.023121"
11:08:22,300435,中泰股份,60日新低,"22.790000,22.79000,-0.034731"
11:05:36,002880,卫光生物,60日新低,"25.240000,25.24000,-0.014062"
11:00:15,003012,东鹏控股,60日新低,"5.640000,5.65000,-0.010508"
10:56:22,600838,上海九百,60日新低,"9.410000,9.41000,-0.015690"
10:51:57,002073,软控股份,60日新低,"6.690000,6.70000,-0.010340"
10:45:18,000513,丽珠集团,60日新低,"32.370000,32.38000,-0.006139"
10:44:58,600250,南京商旅,60日新低,"10.520000,10.53000,-0.006604"
10:34:22,603801,志邦家居,60日新低,"8.530000,8.53000,-0.009292"
10:32:12,600612,老凤祥,60日新低,"39.120000,39.12000,-0.004580"
10:31:07,600313,农发种业,60日新低,"6.970000,6.98000,-0.016901"
10:18:10,688196,卓越新能,60日新低,"51.510000,51.51000,-0.016797"
10:15:59,603566,普莱柯,60日新低,"11.640000,11.65000,-0.003422"
10:09:49,300020,ST银江,60日新低,"3.420000,3.42000,-0.014409"
10:06:47,600004,白云机场,60日新低,"8.630000,8.64000,-0.001156"
10:06:39,000930,中粮科技,60日新低,"5.840000,5.85000,-0.020101"
10:05:25,688009,中国通号,60日新低,"5.050000,5.06000,-0.003937"
10:04:48,603822,ST嘉澳,60日新低,"73.110000,73.11000,-0.041180"
10:00:24,001333,光华股份,60日新低,"23.240000,23.44000,-0.000426"
09:59:29,600583,海油工程,60日新低,"6.320000,6.33000,-0.024653"
09:58:23,600352,浙江龙盛,60日新低,"12.410000,12.43000,-0.046779"
09:57:43,601965,中国汽研,60日新低,"15.710000,15.72000,-0.016886"
09:50:33,002918,蒙娜丽莎,60日新低,"10.540000,10.54000,-0.006598"
09:49:36,000011,深物业A,60日新低,"7.910000,7.91000,-0.011250"
09:47:37,600038,中直股份,60日新低,"31.120000,31.14000,-0.004794"
09:46:42,600273,嘉化能源,60日新低,"8.080000,8.09000,-0.013415"
09:46:11,600568,ST中珠,60日新低,"2.590000,2.59000,-0.022642"
09:46:08,600000,浦发银行,60日新低,"9.150000,9.15000,-0.003268"
09:45:46,300401,花园生物,60日新低,"12.980000,12.99000,-0.011416"
09:44:04,300138,晨光生物,60日新低,"11.240000,11.24000,-0.004429"
09:43:37,300294,博雅生物,60日新低,"17.390000,17.39000,-0.003438"
09:43:16,688280,精进电动-W,60日新低,"7.010000,7.02000,-0.011268"
09:43:12,002379,宏桥控股,60日新低,"24.240000,24.25000,-0.019410"
09:42:27,002258,利尔化学,60日新低,"12.450000,12.46000,-0.014241"
09:41:39,603357,设计总院,60日新低,"7.570000,7.57000,-0.003947"
09:41:28,300212,*ST易录,60日新低,"6.010000,6.02000,-0.003311"
09:41:08,688575,亚辉龙,60日新低,"13.500000,13.51000,-0.008076"
09:40:13,600161,天坛生物,60日新低,"14.140000,14.14000,-0.003524"
