序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,存储芯片,179,2499.22,10.96%,1024.57,990.43,34.15
2,科创次新股,23,754.76,10.91%,74.15,73.68,0.47
3,快手概念,50,2248.4,10.82%,138.86,132.74,6.13
4,赛马概念,4,1372.77,10.69%,3.57,2.64,0.94
5,国家大基金持股,48,2608.43,10.40%,341.74,350.3,-8.56
6,PET铜箔,47,2095.87,10.17%,181.6,155.66,25.94
7,先进封装,167,2507.16,10.02%,693.93,658.33,35.61
8,共封装光学(CPO),170,5954.87,9.72%,1437.58,1402.28,35.3
9,小红书概念,54,1736.43,9.39%,105.33,103.59,1.74
10,F5G概念,36,4742.64,9.14%,327.41,330.48,-3.07
11,BC电池,50,1421.65,9.04%,155.08,136.77,18.31
12,PCB概念,199,2602.42,8.94%,843.76,744.74,99.02
13,工业母机,111,2183.57,8.93%,274.1,214.45,59.65
14,铜缆高速连接,45,3212.22,8.93%,253.85,240.17,13.67
15,光纤概念,95,3884.26,8.92%,489.77,518.49,-28.72
16,算力租赁,176,1697.83,8.64%,561.48,563.37,-1.89
17,金属钴,32,3213.96,8.63%,276.47,179.62,96.85
18,MLOps概念,18,1170.62,8.57%,31.25,29.71,1.54
19,富士康概念,106,3724.66,8.51%,408.45,391.52,16.93
20,汽车芯片,140,1432.26,8.45%,566.92,564.87,2.04
21,金属镍,40,1470.87,8.40%,184.82,123.1,61.73
22,6G概念,94,2757.23,8.37%,448.36,449.45,-1.09
23,稀土永磁,64,3886.45,8.29%,218.01,151.72,66.28
24,英伟达概念,78,1968.54,8.24%,485.02,474.09,10.92
25,Web3.0,65,2114.38,8.19%,106.77,104.29,2.48
26,第三代半导体,163,2549.4,8.19%,565.03,559.53,5.51
27,柔性屏(折叠屏),106,3450.91,8.15%,313.47,287.65,25.82
28,航空发动机,96,3777.57,8.00%,199.61,174.57,25.04
29,芯片概念,870,5166.76,7.99%,3254.48,3125.83,128.65
30,Sora概念(文生视频),48,2551.15,7.98%,75.55,72.59,2.96
31,苹果概念,138,6333.62,7.95%,581.39,553.3,28.09
32,EDR概念,20,1774.61,7.94%,107.24,85.29,21.94
33,华为海思概念股,50,4429.11,7.88%,158.01,182.1,-24.09
34,新股与次新股,129,17200.7,7.82%,129.25,124.19,5.06
35,摘帽,46,1072.31,7.81%,95.3,88.06,7.23
36,AI手机,38,2213.38,7.80%,369.83,299.49,70.35
37,MiniLED,102,2729.8,7.77%,373.75,348.04,25.71
38,液冷服务器,200,2398.27,7.70%,879.79,861.79,18.01
39,卫星导航,275,5370.12,7.65%,637.99,631.92,6.07
40,人形机器人,434,2675.57,7.64%,1110.11,948.38,161.73
41,消费电子概念,479,3410.86,7.58%,1332.0,1248.7,83.3
42,无线充电,57,2304.0,7.52%,144.38,139.95,4.43
43,中芯国际概念,89,2984.87,7.51%,422.46,417.09,5.37
44,智谱AI,70,1652.15,7.51%,150.59,145.93,4.66
45,5G,449,6925.39,7.45%,1772.33,1709.16,63.18
46,拼多多概念,40,1921.87,7.43%,31.06,33.06,-2.0
47,注册制次新股,81,212.43,7.36%,129.25,124.19,5.06
48,钙钛矿电池,90,1312.07,7.34%,265.08,231.08,34.0
49,东数西算(算力),381,2561.0,7.31%,1348.64,1309.95,38.69
50,多模态AI,148,1496.44,7.20%,260.47,253.74,6.74
51,华为手机,45,1853.99,7.19%,193.53,184.89,8.64
52,小金属概念,167,4108.64,7.14%,863.83,622.71,241.12
53,数据中心,605,2614.24,7.08%,2414.55,2256.36,158.19
54,金属铜,93,2080.27,7.07%,414.49,292.08,122.42
55,MCU芯片,93,1827.71,7.07%,295.33,290.32,5.02
56,新型工业化,286,1879.89,7.06%,382.92,343.6,39.32
57,太赫兹,21,2541.61,7.03%,89.42,98.21,-8.79
58,同花顺新质50,50,2654.66,6.97%,477.09,467.02,10.07
59,减速器,133,2132.57,6.96%,133.56,125.15,8.41
60,汽车电子,381,5983.06,6.95%,1280.18,1211.62,68.56
61,智能座舱,168,1786.21,6.94%,462.5,442.93,19.57
62,ERP概念,36,1597.04,6.92%,31.33,31.15,0.18
63,智能穿戴,235,4689.0,6.90%,784.9,737.87,47.03
64,TOPCON电池,82,1292.9,6.89%,210.83,184.02,26.81
65,华为昇腾,105,1854.08,6.89%,165.77,176.4,-10.63
66,小米概念,370,2263.16,6.85%,1051.18,947.5,103.67
67,云计算,219,4493.08,6.82%,492.32,486.2,6.11
68,一体化压铸,54,1356.13,6.77%,108.89,78.79,30.1
69,抖音概念(字节概念),213,1891.25,6.74%,553.18,549.56,3.63
70,智能音箱,59,2992.49,6.69%,276.29,270.7,5.59
71,比亚迪概念,666,2163.85,6.67%,1483.54,1251.38,232.16
72,传感器,264,1747.21,6.67%,462.34,454.42,7.91
73,云游戏,27,1796.46,6.65%,104.72,93.29,11.43
74,机器视觉,245,2154.86,6.65%,413.55,414.73,-1.18
75,金属铅,39,2263.86,6.53%,178.36,131.03,47.33
76,超级电容,37,3281.89,6.52%,140.27,129.59,10.69
77,OLED,150,3102.95,6.48%,481.45,476.32,5.13
78,数字水印,30,1261.34,6.47%,45.93,43.2,2.73
79,AI眼镜,184,2808.8,6.47%,624.44,594.4,30.05
80,电力物联网,86,2357.43,6.44%,92.79,89.58,3.21
81,金属锌,44,2562.22,6.44%,183.14,135.51,47.63
82,光刻胶,74,4923.08,6.43%,156.42,148.8,7.62
83,商业航天,493,2536.52,6.43%,1143.63,1102.08,41.55
84,PEEK材料,51,2216.98,6.39%,117.25,97.85,19.4
85,宁德时代概念,284,2618.45,6.39%,1080.95,846.03,234.92
86,腾讯概念,295,1497.71,6.39%,703.98,682.71,21.27
87,特斯拉概念,247,6260.78,6.35%,968.54,785.23,183.31
88,互联网保险,21,1069.05,6.34%,98.07,93.81,4.25
89,足球概念,38,1787.96,6.27%,45.62,39.98,5.65
90,AIGC概念,287,2342.17,6.25%,515.97,475.99,39.97
91,智能电网,274,4453.04,6.25%,638.66,565.11,73.55
92,军工,602,2708.14,6.24%,1089.35,1030.82,58.52
93,毫米波雷达,125,2255.34,6.24%,360.39,372.84,-12.45
94,黄金概念,81,4140.88,6.23%,262.77,192.73,70.04
95,无线耳机,97,2713.34,6.22%,426.79,396.99,29.8
96,阿里巴巴概念,686,2200.34,6.22%,905.95,880.95,25.0
97,大飞机,152,4290.32,6.21%,293.47,261.88,31.59
98,PVDF概念,18,1541.92,6.21%,62.08,52.79,9.29
99,固态电池,291,1677.15,6.17%,1197.24,952.18,245.05
100,百度概念,231,2189.49,6.16%,522.76,510.92,11.84
101,短剧游戏,84,1462.61,6.14%,174.78,165.63,9.15
102,新型烟草(电子烟),53,2201.62,6.13%,157.27,135.72,21.55
103,光刻机,47,2566.27,6.11%,125.84,133.71,-7.87
104,特高压,125,5655.19,6.10%,292.76,287.88,4.88
105,锂电池概念,590,2209.59,6.08%,2067.26,1650.02,417.24
