序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,小金属,28,10181.9,11.26%,204.11,162.74,41.37
2,贵金属,13,6303.98,10.79%,95.26,69.48,25.78
3,能源金属,12,46815.1,10.71%,158.51,114.55,43.96
4,金属新材料,33,16059.5,10.20%,33.06,24.68,8.38
5,半导体,179,16098.9,10.16%,925.08,928.43,-3.34
6,其他电子,34,22174.6,10.10%,89.14,93.58,-4.43
7,互联网电商,19,9833.05,8.85%,23.04,21.68,1.36
8,元件,62,21682.2,8.61%,398.84,349.35,49.5
9,自动化设备,93,31212.0,8.58%,175.43,147.08,28.35
10,通信服务,45,3375.37,8.43%,107.45,93.67,13.78
11,其他电源设备,33,7517.53,7.21%,68.24,67.83,0.42
12,光伏设备,73,9708.76,7.17%,244.63,186.22,58.41
13,通信设备,90,10350.6,7.06%,527.09,555.23,-28.14
14,通用设备,250,10240.7,7.03%,212.35,191.75,20.6
15,电机,26,3883.4,6.88%,36.63,28.32,8.31
16,电子化学品,40,82575.4,6.80%,116.16,126.82,-10.66
17,计算机设备,83,4617.13,6.60%,158.6,141.23,17.37
18,IT服务,130,14569.6,6.35%,182.24,176.24,6.0
19,电池,105,24197.8,6.33%,653.06,498.76,154.29
20,消费电子,95,13597.1,6.28%,273.82,281.98,-8.17
21,其他社会服务,82,22166.2,6.16%,21.04,20.14,0.91
22,文化传媒,85,3043.19,5.76%,95.79,88.23,7.56
23,塑料制品,79,11544.9,5.53%,106.54,86.73,19.8
24,风电设备,32,5981.32,5.53%,59.03,56.41,2.62
25,电网设备,138,7845.4,5.51%,166.26,153.48,12.78
26,软件开发,139,2218.02,5.47%,122.01,116.33,5.68
27,光学光电子,107,5849.81,5.38%,157.91,147.7,10.21
28,军工电子,63,14912.1,5.32%,78.96,80.14,-1.18
29,白色家电,45,8706.3,5.29%,99.94,81.59,18.35
30,房地产,87,1938.52,5.11%,59.34,50.13,9.21
31,军工装备,83,2600.92,5.01%,150.48,148.0,2.48
32,工程机械,36,3613.41,4.98%,38.23,32.83,5.4
33,汽车零部件,268,7086.65,4.87%,175.41,160.71,14.7
34,工业金属,56,4989.65,4.86%,151.27,120.54,30.73
35,游戏,24,10619.8,4.70%,61.46,56.9,4.57
36,环保设备,29,1597.71,4.43%,33.75,28.71,5.04
37,环境治理,112,4696.87,4.42%,66.92,60.31,6.61
38,影视院线,20,1549.44,4.05%,18.04,20.85,-2.8
39,专用设备,199,8501.25,3.97%,129.89,128.42,1.46
40,包装印刷,46,5061.59,3.94%,35.76,32.31,3.45
41,非金属材料,14,32342.3,3.86%,17.66,15.53,2.13
42,电力,109,2208.68,3.84%,195.49,208.98,-13.49
43,建筑装饰,146,4793.04,3.78%,96.18,81.57,14.61
44,建筑材料,73,6343.94,3.72%,106.93,94.56,12.36
45,服装家纺,75,3268.12,3.54%,34.58,32.09,2.5
46,造纸,24,2416.82,3.39%,14.49,12.39,2.1
47,家居用品,98,4589.43,3.26%,31.82,30.49,1.33
48,保险,5,2104.75,3.26%,58.16,50.97,7.19
49,黑色家电,9,4708.89,3.04%,8.82,10.27,-1.45
50,纺织制造,33,2578.77,3.04%,12.01,10.4,1.62
51,橡胶制品,22,16091.2,2.93%,10.3,9.63,0.67
52,化学制品,176,8033.56,2.78%,158.41,143.01,15.4
53,港口航运,36,1275.32,2.76%,36.96,33.87,3.09
54,多元金融,26,1260.84,2.70%,30.36,26.03,4.33
55,轨交设备,30,1169.87,2.38%,17.28,15.12,2.16
56,证券,50,1483.16,2.29%,94.02,96.47,-2.45
57,种植业与林业,30,4955.42,2.27%,23.32,22.8,0.51
58,综合,16,2664.07,2.26%,27.82,26.62,1.2
59,医疗器械,139,12164.4,2.23%,67.87,66.97,0.9
60,贸易,15,3109.86,2.16%,7.5,6.01,1.49
61,物流,50,5801.36,2.05%,19.46,21.16,-1.7
62,养殖业,36,3058.02,2.01%,40.98,31.93,9.04
63,饮料制造,46,5208.37,1.91%,32.48,28.79,3.69
64,化学制药,159,6748.96,1.89%,128.97,127.0,1.97
65,机场航运,13,2026.48,1.84%,9.14,7.93,1.21
66,化学纤维,29,4492.18,1.84%,37.77,32.21,5.56
67,零售,72,2046.61,1.78%,45.66,42.28,3.38
68,教育,16,4548.06,1.75%,8.68,6.99,1.68
69,食品加工制造,66,5223.21,1.74%,36.6,43.09,-6.49
70,厨卫电器,9,6790.62,1.73%,2.3,2.17,0.12
71,农产品加工,43,4087.47,1.60%,20.44,16.59,3.84
72,汽车服务及其他,25,1175.36,1.60%,9.7,7.91,1.79
73,化学原料,59,3638.81,1.19%,64.58,58.84,5.74
74,医疗服务,56,18799.9,1.19%,92.56,90.69,1.87
75,钢铁,44,1824.73,1.18%,67.87,52.15,15.72
76,美容护理,33,5640.39,1.11%,10.67,10.41,0.27
77,汽车整车,23,3230.69,1.07%,94.27,58.38,35.89
78,小家电,25,4657.4,0.98%,9.69,9.33,0.36
79,石油加工贸易,27,4134.43,0.96%,35.28,48.4,-13.12
80,中药,68,3306.93,0.65%,31.85,31.03,0.82
81,公路铁路运输,32,1372.66,0.41%,9.49,8.06,1.43
82,医药商业,32,5044.04,0.11%,13.83,13.61,0.22
83,白酒,20,2271.37,-0.15%,46.65,53.94,-7.29
84,生物制品,54,6425.54,-0.26%,27.21,29.35,-2.14
85,农化制品,61,5635.67,-1.24%,116.45,76.43,40.02
86,燃气,27,1987.05,-1.35%,25.76,24.88,0.88
87,银行,84,1314.37,-1.38%,102.48,125.58,-23.1
88,旅游及酒店,35,3066.48,-1.66%,17.24,12.63,4.62
89,煤炭开采加工,34,2937.72,-2.30%,64.15,55.73,8.41
90,油气开采及服务,19,1883.31,-6.39%,31.62,25.46,6.16
