序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
1,600196,复星医药,24.73,26.87,24.66,13,-7.72,11.5,化学制药
2,600741,华域汽车,18.4,20.64,18.23,8,-10.51,6.13,汽车零部件
3,000625,长安汽车,9.36,9.99,9.35,7,-6.49,6.25,汽车整车
4,002772,众兴菌业,16.41,18.79,16.18,7,-11.15,22.49,种植业与林业
5,601229,上海银行,9.26,9.92,9.25,7,-6.18,2.91,银行
6,603402,陕西旅游,109.5,132.85,108.44,7,-18.12,50.27,旅游及酒店
7,002258,利尔化学,12.48,13.57,12.3,6,-11.49,15.67,农化制品
8,002999,天禾股份,7.09,7.6,7.05,6,-7.44,58.35,农化制品
10,603517,ST绝味,12.06,13.22,12.03,6,-8.22,5.18,食品加工制造
12,001367,海森药业,23.44,25.27,23.14,5,-9.22,13.6,化学制药
13,002431,ST棕榈,1.88,2.3,1.88,5,-22.31,0.92,建筑装饰
14,002454,松芝股份,9.56,10.65,9.51,5,-9.13,14.56,汽车零部件
15,003012,东鹏控股,5.61,6.24,5.59,5,-9.66,7.08,家居用品
17,600817,宇通重工,11.66,12.65,11.61,5,-7.31,6.74,环保设备
18,600873,梅花生物,9.48,10.27,9.43,5,-7.69,7.38,化学制品
19,601077,渝农商行,7.25,7.48,7.17,5,-2.42,2.28,银行
20,603008,ST喜临门,9.31,11.43,9.31,5,-22.61,0.6,家居用品
21,603159,上海亚虹,25.1,26.32,24.83,5,-4.64,5.45,专用设备
22,603313,梦百合,6.14,7.9,6.12,5,-22.67,17.39,家居用品
23,603566,普莱柯,11.67,12.69,11.56,5,-7.16,8.52,养殖业
24,603655,朗博科技,43.0,50.66,42.5,5,-16.99,17.67,汽车零部件
25,603877,太平鸟,13.97,14.5,13.89,5,-2.85,2.37,服装家纺
26,605169,洪通燃气,11.85,12.7,11.78,5,-8.0,7.8,燃气
27,605298,必得科技,57.95,62.7,57.13,5,-8.41,6.28,轨交设备
30,000096,广聚能源,9.49,9.83,9.46,4,-3.85,5.92,石油加工贸易
31,000403,派林生物,11.68,12.31,11.56,4,-4.89,4.29,生物制品
32,000429,粤高速A,12.47,12.89,12.34,4,-2.58,2.21,公路铁路运输
33,000669,ST金鸿,4.03,4.41,4.02,4,-7.14,9.21,燃气
34,000739,普洛药业,17.45,18.88,17.24,4,-6.08,4.1,化学制药
35,000752,*ST西发,9.15,11.13,9.15,4,-14.08,12.93,饮料制造
36,000912,泸天化,4.49,5.35,4.46,4,-16.23,22.48,农化制品
37,000999,华润三九,25.72,26.3,25.66,4,-1.46,2.93,中药
38,002001,新和成,32.25,35.3,32.01,4,-8.87,6.68,化学制药
39,002092,中泰化学,6.28,7.0,6.18,4,-9.51,9.85,化学原料
40,002099,海翔药业,6.13,6.79,6.08,4,-16.14,10.53,化学制药
41,002204,大连重工,6.73,6.92,6.71,4,-2.32,6.61,专用设备
42,002274,华昌化工,6.31,6.86,6.24,4,-8.15,13.83,化学原料
43,002306,*ST云网,2.27,2.46,2.26,4,-6.58,6.91,旅游及酒店
44,002588,史丹利,10.8,11.42,10.64,4,-4.59,10.54,农化制品
45,002662,峰璟股份,3.84,4.1,3.81,4,-7.69,10.4,汽车零部件
46,002719,ST麦趣,7.5,8.05,7.43,4,-11.45,66.07,食品加工制造
47,002822,ST中装,3.14,3.31,3.12,4,-3.68,4.01,房地产
48,002918,蒙娜丽莎,10.52,11.46,10.47,4,-7.72,14.63,家居用品
49,002984,森麒麟,16.75,17.72,16.58,4,-6.0,10.15,汽车零部件
58,600036,招商银行,37.95,39.02,37.82,4,-4.17,2.87,银行
59,600084,*ST尼雅,4.83,5.63,4.83,4,-18.55,2.72,饮料制造
60,600395,盘江股份,5.34,5.67,5.29,4,-8.25,8.67,煤炭开采加工
61,600428,中远海特,8.48,8.9,8.32,4,-6.09,9.47,港口航运
62,600486,扬农化工,68.92,74.84,68.51,4,-7.85,5.98,农化制品
63,600519,贵州茅台,1371.05,1409.75,1360.05,4,-2.42,1.4,白酒
64,600759,ST洲际,4.22,4.92,4.22,4,-18.53,0.42,油气开采及服务
65,600771,广誉远,16.5,17.12,16.48,4,-2.54,4.21,中药
66,600818,ST中路,7.01,8.18,7.01,4,-18.58,0.29,汽车服务及其他
67,600985,淮北矿业,13.83,15.15,13.8,4,-8.41,3.94,煤炭开采加工
68,601058,赛轮轮胎,13.72,14.51,13.55,4,-5.38,6.61,汽车零部件
69,601139,深圳燃气,6.75,7.09,6.73,4,-4.66,4.32,燃气
70,601328,交通银行,6.69,6.99,6.67,4,-4.15,2.96,银行
71,601658,邮储银行,5.04,5.2,5.02,4,-3.08,0.79,银行
72,601988,中国银行,5.69,5.85,5.64,4,-2.07,0.43,银行
73,603053,成都燃气,9.63,9.78,9.6,4,-1.63,1.2,燃气
74,603255,鼎际得,31.08,31.49,30.22,4,-0.7,13.48,化学制品
75,603320,迪贝电气,23.79,25.49,23.4,4,-4.46,10.11,电机
76,603393,新天然气,30.19,34.34,29.79,4,-12.03,12.75,油气开采及服务
77,603444,吉比特,398.91,423.21,395.0,4,-4.34,13.14,游戏
78,603619,中曼石油,29.21,35.35,29.06,4,-16.21,24.31,油气开采及服务
79,603639,海利尔,12.39,12.99,12.36,4,-10.15,7.96,农化制品
80,605089,味知香,24.73,27.83,24.73,4,-13.47,10.19,食品加工制造
81,605090,九丰能源,43.84,48.53,42.12,4,-10.0,21.54,燃气
83,000010,*ST美丽,2.61,2.89,2.61,3,-14.14,0.56,建筑装饰
84,000016,*ST康佳A,2.94,3.24,2.93,3,-13.78,11.71,白色家电
85,000333,美的集团,79.81,82.15,79.15,3,-1.84,1.59,白色家电
86,000407,胜利股份,4.63,5.07,4.61,3,-4.54,13.45,燃气
87,000422,湖北宜化,16.09,17.27,15.92,3,-5.8,15.81,农化制品
88,000428,华天酒店,3.74,3.93,3.73,3,-3.86,3.77,旅游及酒店
89,000513,丽珠集团,32.31,32.88,32.23,3,-1.58,3.42,化学制药
90,000524,岭南控股,10.03,10.41,9.99,3,-3.09,3.66,旅游及酒店
91,000548,湖南投资,5.26,5.42,5.23,3,-1.87,5.17,公路铁路运输
92,000598,兴蓉环境,6.75,6.96,6.69,3,-3.16,3.69,环境治理
93,000632,ST三木,3.52,3.9,3.52,3,-14.15,11.24,综合
94,000639,ST西王,1.83,2.03,1.83,3,-14.49,17.88,食品加工制造
95,000651,格力电器,39.89,40.86,39.51,3,-1.43,3.29,白色家电
