序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
1,002982,湘佳股份,-1.71,14.37,565.46万,2675.99万(04月22日),8,-2.04,养殖业
2,600777,*ST新潮,-2.72,5.72,3324.60万,9393.23万(04月23日),7,-3.21,油气开采及服务
3,002116,中国海诚,0.1,9.82,434.74万,1764.03万(04月24日),6,1.03,建筑装饰
4,002752,昇兴股份,-1.32,7.45,3997.34万,9056.36万(04月24日),6,0.27,包装印刷
6,600749,西藏旅游,0.06,16.03,1260.28万,3098.82万(04月24日),6,-12.4,旅游及酒店
7,601921,浙版传媒,-0.39,7.6,972.59万,3939.42万(04月24日),6,-7.2,文化传媒
9,000828,东莞控股,-0.19,10.32,534.27万,945.60万(04月27日),5,1.47,公路铁路运输
10,002228,合兴包装,0.0,3.93,2224.42万,4662.42万(04月27日),5,1.55,包装印刷
16,600368,五洲交通,-0.26,3.89,831.23万,1141.15万(04月27日),5,0.78,公路铁路运输
17,600864,哈投股份,-0.65,6.15,5337.81万,1.29亿(04月27日),5,-3.45,证券
18,603109,神驰机电,1.42,22.9,387.79万,1735.43万(04月27日),5,-8.33,汽车零部件
19,603194,中力股份,0.8,35.4,126.34万,423.37万(04月27日),5,-0.84,工程机械
20,603268,松发股份,-1.16,149.55,874.55万,2487.04万(04月27日),5,7.65,军工装备
23,000523,红棉股份,-1.75,3.36,2620.29万,5997.83万(04月28日),4,-1.18,饮料制造
24,000524,岭南控股,-0.4,10.03,846.24万,1075.62万(04月28日),4,-2.43,旅游及酒店
25,000565,渝三峡A,-1.12,7.92,1615.11万,4609.56万(04月28日),4,-1.25,化学制品
26,000636,风华高科,1.37,25.15,8632.91万,1.19亿(04月28日),4,2.91,元件
27,000735,罗牛山,-1.06,6.52,2310.01万,4434.33万(04月28日),4,3.99,养殖业
28,000848,承德露露,0.56,9.03,2545.25万,7771.33万(04月28日),4,1.8,饮料制造
29,000889,中嘉博创,10.08,5.35,1.16亿,2.48亿(04月28日),4,8.96,通信服务
30,000917,电广传媒,0.68,8.87,3936.85万,6609.14万(04月28日),4,-2.85,文化传媒
31,001299,美能能源,-0.99,11.0,1088.89万,1627.71万(04月28日),4,-29.53,燃气
32,002120,韵达股份,0.5,7.97,6134.28万,2.06亿(04月28日),4,0.76,物流
33,002215,诺普信,-0.83,10.76,2188.68万,2642.05万(04月28日),4,0.84,种植业与林业
34,002233,塔牌集团,0.91,8.87,2058.48万,2328.52万(04月28日),4,-9.49,建筑材料
35,002318,久立特材,0.0,29.9,1269.37万,2099.29万(04月28日),4,3.5,钢铁
36,002377,国创高新,-2.22,3.52,4844.02万,1.16亿(04月28日),4,-3.56,石油加工贸易
37,002425,凯撒文化,0.84,3.59,2918.84万,6715.88万(04月28日),4,2.87,游戏
38,002696,百洋股份,-0.29,6.83,1266.57万,2162.85万(04月28日),4,2.71,农产品加工
39,002702,海欣食品,-0.83,6.0,2317.74万,5296.71万(04月28日),4,2.92,食品加工制造
40,002775,文科股份,-2.24,3.92,1222.81万,2332.83万(04月28日),4,0.51,建筑装饰
41,002900,哈三联,-0.44,11.4,472.73万,1478.46万(04月28日),4,-0.78,化学制药
42,002977,*ST天箭,2.66,27.8,484.98万,1332.01万(04月28日),4,3.93,军工电子
43,003036,泰坦股份,7.63,38.1,2183.29万,3207.17万(04月28日),4,12.62,专用设备
44,003037,三和管桩,-1.38,7.15,511.25万,787.16万(04月28日),4,-0.83,建筑材料
60,600119,*ST长投,4.4,6.17,1410.73万,3240.43万(04月28日),4,2.49,物流
61,600320,振华重工,-1.28,5.38,9315.30万,2.01亿(04月28日),4,-0.55,专用设备
62,600423,*ST柳化,2.93,3.16,1877.39万,6942.33万(04月28日),4,8.22,化学原料
63,600503,华丽家族,-0.39,2.54,3457.91万,5442.83万(04月28日),4,2.42,房地产
64,600546,山煤国际,-3.01,13.87,4047.97万,5006.72万(04月28日),4,2.36,煤炭开采加工
65,600558,大西洋,0.69,5.81,2098.62万,4464.36万(04月28日),4,3.94,通用设备
66,600594,益佰制药,0.0,4.07,3567.79万,6616.89万(04月28日),4,-3.33,中药
67,601512,中新集团,0.39,10.37,1877.27万,3784.37万(04月28日),4,0.0,房地产
68,601890,亚星锚链,-0.55,10.93,4938.51万,8508.94万(04月28日),4,0.74,军工装备
69,603173,福斯达,1.34,39.39,185.25万,369.50万(04月28日),4,-3.0,专用设备
70,603186,华正新材,5.95,86.7,1775.80万,2124.75万(04月28日),4,13.44,元件
71,603221,爱丽家居,-0.95,12.46,461.23万,1113.69万(04月28日),4,0.81,家居用品
72,603398,*ST沐邦,4.97,13.72,158.55万,1054.58万(04月28日),4,16.67,光伏设备
73,603518,锦泓集团,-1.42,9.75,1043.64万,1999.21万(04月28日),4,2.42,服装家纺
74,603679,华体科技,2.24,15.51,545.01万,934.76万(04月28日),4,8.46,光学光电子
75,603709,中源家居,-2.32,18.97,539.63万,768.57万(04月28日),4,0.21,家居用品
76,605266,健之佳,-1.53,19.93,260.88万,507.05万(04月28日),4,0.5,医药商业
77,605268,王力安防,-3.48,12.74,1551.29万,2925.76万(04月28日),4,-10.41,家居用品
78,605336,*ST帅电,2.43,17.31,387.67万,1103.01万(04月28日),4,0.82,厨卫电器
85,000011,深物业A,-1.62,7.87,722.48万,1129.68万(04月29日),3,-2.48,房地产
86,000069,华侨城A,-1.76,2.23,6158.06万,7723.74万(04月29日),3,-0.89,旅游及酒店
87,000090,天健集团,-0.28,3.53,2079.20万,3327.73万(04月29日),3,0.86,房地产
88,000157,中联重科,0.5,8.06,1.11亿,1.39亿(04月29日),3,-0.62,工程机械
89,000425,徐工机械,2.47,10.37,1.26亿,1.82亿(04月29日),3,0.68,工程机械
90,000503,国新健康,-0.25,7.88,1504.02万,2659.17万(04月29日),3,1.81,软件开发
91,000529,广弘控股,-0.88,5.63,492.81万,571.60万(04月29日),3,-1.05,食品加工制造
92,000589,贵州轮胎,0.6,5.04,5503.04万,1.20亿(04月29日),3,-1.18,汽车零部件
93,000599,青岛双星,-3.16,5.82,2879.02万,5245.95万(04月29日),3,1.04,汽车零部件
94,000608,*ST阳光,3.25,3.81,1760.78万,2163.92万(04月29日),3,3.53,房地产
95,000651,格力电器,-0.15,39.89,6178.00万,2.01亿(04月29日),3,-1.43,白色家电
96,000698,ST沈化,0.26,3.86,559.44万,761.17万(04月29日),3,-0.52,石油加工贸易
97,000705,浙江震元,-0.97,8.16,963.66万,1970.05万(04月29日),3,-0.97,医药商业
98,000709,河钢股份,-0.42,2.38,1.73亿,4.37亿(04月29日),3,-2.06,钢铁
99,000711,ST京蓝,5.03,5.43,3111.62万,1.52亿(04月29日),3,13.6,环境治理
100,000715,中兴商业,-0.68,5.84,3706.88万,5146.12万(04月29日),3,-6.41,零售
101,000733,振华科技,0.44,43.69,1768.80万,2793.62万(04月29日),3,0.34,军工电子
102,000778,新兴铸管,-1.3,4.57,6785.98万,9315.56万(04月29日),3,-2.77,钢铁
103,000831,中国稀土,-0.04,55.59,5331.99万,5968.86万(04月29日),3,2.89,小金属
104,000860,顺鑫农业,-1.19,12.44,675.74万,947.76万(04月29日),3,-2.43,白酒
105,000882,华联股份,-1.82,1.62,6071.48万,1.07亿(04月29日),3,-0.61,零售
106,000886,海南高速,-1.65,5.37,2266.84万,3280.88万(04月29日),3,-0.19,公路铁路运输
107,000900,现代投资,-0.23,4.24,1394.39万,3027.55万(04月29日),3,0.95,公路铁路运输
108,000902,新洋丰,-0.84,15.31,1727.33万,1985.86万(04月29日),3,-2.48,农化制品
109,000908,ST景峰,0.0,7.05,1371.97万,3304.70万(04月29日),3,-4.34,化学制药
110,000910,大亚圣象,-0.15,6.82,414.27万,1235.69万(04月29日),3,-1.02,家居用品
111,000921,海信家电,-0.08,24.24,1308.79万,1881.37万(04月29日),3,3.02,白色家电
112,000959,首钢股份,0.22,4.58,3512.95万,5242.52万(04月29日),3,-2.35,钢铁
113,000973,佛塑科技,-1.69,20.89,9266.82万,1.17亿(04月29日),3,-1.88,塑料制品
114,000998,隆平高科,-0.33,9.12,1841.43万,5749.45万(04月29日),3,-0.98,种植业与林业
115,001209,洪兴股份,-1.09,21.76,685.80万,817.92万(04月29日),3,-0.18,服装家纺
116,001215,千味央厨,-0.33,48.2,958.64万,1538.73万(04月29日),3,13.15,食品加工制造
117,001227,兰州银行,0.0,2.23,4533.35万,6995.32万(04月29日),3,-0.89,银行
118,001236,弘业期货,-0.42,9.58,1494.22万,2153.62万(04月29日),3,2.35,多元金融
119,001296,长江材料,0.39,23.07,273.24万,554.11万(04月29日),3,0.79,非金属材料
120,001380,华纬科技,0.47,19.19,179.48万,223.34万(04月29日),3,-0.52,汽车零部件
121,001396,誉帆科技,0.52,48.48,282.59万,431.76万(04月29日),3,1.61,其他社会服务
122,002036,联创电子,2.79,8.12,3875.00万,6508.73万(04月29日),3,2.78,光学光电子
123,002037,保利联合,-0.59,8.49,1000.48万,2723.35万(04月29日),3,-1.96,化学制品
124,002086,东方海洋,-0.49,2.03,4802.47万,1.14亿(04月29日),3,0.0,医疗器械
125,002095,生意宝,0.36,16.58,420.93万,513.36万(04月29日),3,3.43,文化传媒
126,002099,海翔药业,-1.92,6.13,3533.97万,5378.54万(04月29日),3,-6.84,化学制药
127,002105,信隆健康,-0.59,6.69,867.29万,1184.16万(04月29日),3,0.15,汽车服务及其他
128,002110,三钢闽光,0.0,3.43,2241.65万,2518.56万(04月29日),3,-1.72,钢铁
129,002136,安纳达,1.41,15.78,1651.89万,2559.33万(04月29日),3,3.07,化学原料
130,002146,荣盛发展,-3.6,1.34,1.38亿,1.64亿(04月29日),3,0.75,房地产
131,002150,正泰电源,0.21,29.21,1335.11万,2118.91万(04月29日),3,1.92,光伏设备
132,002157,正邦科技,-0.85,3.51,4.45亿,5.90亿(04月29日),3,6.36,养殖业
133,002161,远望谷,3.06,7.07,3208.45万,4901.19万(04月29日),3,0.57,其他电子
134,002224,三力士,-1.15,4.29,1748.87万,2214.71万(04月29日),3,-0.69,橡胶制品
135,002225,濮耐股份,3.71,4.75,8155.05万,1.71亿(04月29日),3,3.26,建筑材料
136,002253,*ST智胜,5.02,11.71,596.13万,1231.58万(04月29日),3,6.45,软件开发
137,002259,升达林业,2.71,5.31,5368.62万,8695.78万(04月29日),3,-2.39,燃气
138,002266,浙富控股,2.18,5.63,2.28亿,3.07亿(04月29日),3,11.71,环境治理
139,002291,遥望科技,0.89,6.82,4398.91万,7680.43万(04月29日),3,2.56,文化传媒
140,002340,格林美,-2.35,9.13,3.68亿,4.91亿(04月29日),3,-5.29,电池
141,002360,ST同德,-1.95,6.04,2528.98万,5304.12万(04月29日),3,1.0,化学制品
142,002412,汉森制药,-1.13,7.02,2551.58万,4966.97万(04月29日),3,0.14,中药
143,002422,科伦药业,0.06,34.03,1622.05万,2515.82万(04月29日),3,-0.21,化学制药
144,002444,巨星科技,1.85,35.26,1363.92万,3207.63万(04月29日),3,1.79,通用设备
145,002455,百川股份,-0.19,10.56,5616.95万,9206.43万(04月29日),3,-2.04,化学制品
146,002457,青龙管业,-1.02,11.66,2089.02万,4650.30万(04月29日),3,-1.35,建筑材料
147,002497,雅化集团,-2.96,30.16,7226.64万,8152.86万(04月29日),3,-0.4,化学制品
148,002529,*ST海源,-0.64,7.75,504.28万,642.35万(04月29日),3,1.57,专用设备
149,002563,森马服饰,-0.82,6.07,4445.29万,8735.28万(04月29日),3,0.17,服装家纺
150,002582,好想你,-1.25,12.59,4041.36万,5994.75万(04月29日),3,1.21,食品加工制造
151,002586,ST围海,-0.64,4.69,670.22万,801.94万(04月29日),3,-1.47,建筑装饰
152,002607,中公教育,0.38,2.67,1.54亿,2.19亿(04月29日),3,3.89,教育
153,002612,朗姿股份,-0.31,16.12,693.79万,1281.93万(04月29日),3,-1.41,美容护理
154,002614,奥佳华,-1.22,5.66,1355.63万,2634.44万(04月29日),3,-1.57,小家电
155,002655,共达电声,10.02,35.81,4977.34万,9132.23万(04月29日),3,16.64,消费电子
156,002657,中科金财,0.75,21.49,1119.60万,1471.42万(04月29日),3,6.54,IT服务
157,002662,峰璟股份,-1.03,3.84,3430.85万,5694.48万(04月29日),3,-5.88,汽车零部件
158,002687,乔治白,0.0,4.95,1736.20万,2623.30万(04月29日),3,-0.8,服装家纺
159,002715,登云股份,-0.34,17.52,1282.85万,1874.96万(04月29日),3,2.22,汽车零部件
160,002733,雄韬股份,1.65,30.12,4938.44万,6933.08万(04月29日),3,1.62,电池
161,002755,奥赛康,0.12,16.74,1804.16万,2536.50万(04月29日),3,3.27,化学制药
162,002768,国恩股份,3.34,56.64,487.18万,767.77万(04月29日),3,4.25,塑料制品
163,002780,三夫户外,-1.21,16.27,1382.21万,2242.99万(04月29日),3,-0.49,服装家纺
164,002813,路畅科技,0.3,26.92,336.70万,908.34万(04月29日),3,3.26,汽车零部件
165,002836,新宏泽,-0.6,13.26,376.25万,424.56万(04月29日),3,0.45,包装印刷
166,002840,华统股份,-0.93,12.73,2774.03万,3655.56万(04月29日),3,4.09,食品加工制造
167,002847,盐津铺子,0.21,57.62,571.62万,608.73万(04月29日),3,-3.35,食品加工制造
168,002857,三晖电气,0.96,22.05,457.01万,657.08万(04月29日),3,2.46,电网设备
169,002890,弘宇股份,-0.65,16.81,363.34万,523.06万(04月29日),3,-3.11,专用设备
170,002893,京能热力,-0.36,11.01,1422.88万,1598.33万(04月29日),3,1.47,电力
171,002936,郑州银行,0.0,1.83,6010.46万,1.44亿(04月29日),3,-1.08,银行
172,002948,青岛银行,-0.68,5.81,7408.55万,1.22亿(04月29日),3,-3.97,银行
173,002969,嘉美包装,-2.55,22.51,6518.76万,7728.59万(04月29日),3,-0.92,包装印刷
174,002992,宝明科技,1.45,53.26,308.02万,343.42万(04月29日),3,4.74,光学光电子
175,003026,中晶科技,-2.56,50.95,2488.24万,2848.32万(04月29日),3,7.44,半导体
