股票代码,股票名称,变动日期,变动人,变动股数,成交均价,变动后持股数,与董监高关系,董监高职务
,普昂医疗,2026-04-30,胡超宇,17794,39.36,59873.0,本人,董事、高级管理人员
,中国太保,2026-04-30,傅帆,10000,34.3,230400.0,本人,董事、高级管理人员
SZ301529,福赛科技,2026-04-30,殷敖金,-61700,116.01,5565200.0,本人,董事、高管
SZ301529,福赛科技,2026-04-30,殷敖金,-40500,126.66,5565200.0,本人,董事、高管
SZ301529,福赛科技,2026-04-30,杨宏亮,-20700,126.07,787500.0,本人,董事、高管
SZ301285,鸿日达,2026-04-30,张光明,-6000,103.0,106000.0,本人,高管
SZ301129,瑞纳智能,2026-04-30,陈朝晖,-32000,27.18,1073000.0,本人,董秘、高管、董事
SZ301046,能辉科技,2026-04-30,温鹏飞,-188200,25.07,8621400.0,本人,董事、高管
SZ301042,安联锐视,2026-04-30,李志洋,-20000,107.75,957500.0,本人,董事、高管
SZ301032,新柴股份,2026-04-30,朱观岚,-1458100,13.07,37664600.0,本人,高管、董事
SZ300961,深水海纳,2026-04-30,李琴,-28200,13.54,4825200.0,本人,董事
SZ300900,广联航空,2026-04-30,杨怀忠,-151900,44.03,530300.0,本人,董事、高管
SZ300836,佰奥智能,2026-04-30,史凤华,-44300,59.94,4645500.0,本人,董事
SZ300774,倍杰特,2026-04-30,张建飞,-4315200,13.55,49666700.0,本人,董事、高管
SZ300632,光莆股份,2026-04-30,林文坤,-20000,24.47,67615400.0,本人,董事、高管
SZ300616,尚品宅配,2026-04-30,彭劲雄,-163300,13.85,16433800.0,本人,董事、高管
SZ300616,尚品宅配,2026-04-30,付建平,-84500,13.85,8251200.0,本人,董事、高管
SZ300582,英飞特,2026-04-30,贾佩贤,-10000,15.16,132200.0,本人,董秘、高管
SZ300582,英飞特,2026-04-30,华桂林,-20000,15.1,964200.0,本人,董事
SZ300512,中亚股份,2026-04-30,金卫东,-21500,9.24,64700.0,本人,董事、高管
SZ300428,立中集团,2026-04-30,杨国勇,-13600,21.4,265800.0,本人,高管
SZ300355,蒙草生态,2026-04-30,焦果珊,-640000,3.63,23068200.0,本人,董事
SZ300335,迪森股份,2026-04-30,马革,-483500,6.61,25103200.0,本人,董事
SZ300305,裕兴股份,2026-04-30,刘全,-100000,6.8,2826600.0,本人,董事
SZ300267,尔康制药,2026-04-30,帅放文,-3690000,4.39,848574900.0,本人,董事
SZ300179,四方达,2026-04-30,师金棒,-5000,29.8,65000.0,本人,高管
SZ002908,德生科技,2026-04-30,虢晓彬,-312300,8.46,138927700.0,本人,董事、高管
SZ002271,东方雨虹,2026-04-30,李卫国,-3490000,14.21,428253800.0,本人,董事
SZ002195,岩山科技,2026-04-30,陈于冰,-8000000,8.61,50678000.0,本人,董事、高管
SZ001211,双枪科技,2026-04-30,周兆成,-174900,41.03,691100.0,本人,董事
SZ001209,洪兴股份,2026-04-30,周德茂,-27200,22.24,21008000.0,本人,董事、高管
SZ000989,九芝堂,2026-04-30,李振国,-377700,9.63,144988300.0,本人,董事、高管
SZ000710,贝瑞基因,2026-04-30,高扬,-101000,9.97,20180400.0,本人,董事、高管
SH688737,中自科技,2026-04-30,王金凤,-3000,29.33,25600.0,本人,核心技术人员、监事
SH688686,奥普特,2026-04-30,李江锋,-3978,109.96,0.0,,核心技术人员
SH688521,芯原股份,2026-04-30,张慧明,-11140,280.0,113426.0,,核心技术人员
SH688516,奥特维,2026-04-30,葛志勇,-617400,80.99,77085527.0,本人,董事
SH688448,磁谷科技,2026-04-30,董继勇,40000,14.72,2470000.0,本人,董事、高级管理人员
SH688448,磁谷科技,2026-04-30,芮彬,22000,14.72,38500.0,本人,高级管理人员、核心技术人员
SH688448,磁谷科技,2026-04-30,肖兰花,30000,14.72,52500.0,本人,董事、高级管理人员
SH688448,磁谷科技,2026-04-30,林英哲,34000,14.72,59500.0,本人,高级管理人员、核心技术人员
SH688448,磁谷科技,2026-04-30,杜志军,26000,14.72,45500.0,本人,高级管理人员、核心技术人员
SH688448,磁谷科技,2026-04-30,孟凡菲,16000,14.72,25000.0,,核心技术人员
SH688448,磁谷科技,2026-04-30,吴立华,55500,14.72,12565500.0,本人,董事
SH688448,磁谷科技,2026-04-30,吴宁晨,26000,14.72,11245500.0,本人,董事、高级管理人员
SH688448,磁谷科技,2026-04-30,傅安强,26000,14.72,45500.0,本人,高级管理人员
SH688378,奥来德,2026-04-30,轩菱忆,-430000,44.27,21756756.0,本人,董事、高级管理人员
SH688378,奥来德,2026-04-30,轩景泉,-2580000,40.56,50038471.0,本人,董事、高级管理人员、核心技术人员
SH688191,智洋创新,2026-04-30,许克,-20000,45.0,352649.0,,核心技术人员
SH688173,希荻微,2026-04-30,范俊,-1347935,16.13,7939225.0,本人,高级管理人员、核心技术人员
SH688138,清溢光电,2026-04-30,邓振玉,-20000,31.46,38000.0,,核心技术人员
SH688072,拓荆科技,2026-04-30,邓浩,-1500,455.0,2476.0,,核心技术人员
SH688072,拓荆科技,2026-04-30,孟亮,-2100,445.0,2200.0,,核心技术人员
SH603629,利通电子,2026-04-30,钱旭,-25000,143.16,75000.0,本人,高级管理人员
SH603183,建研院,2026-04-30,吴其超,-50000,4.9,25207397.0,本人,董事
SH601169,北京银行,2026-04-30,刘霄仑,5000,5.3,5000.0,本人,董事
SH600435,北方导航,2026-04-30,李海涛,-1100,14.21,93420.0,本人,董事
,力佳科技,2026-04-29,鞠鸣,-1000,20.2,81500.0,本人,高级管理人员
SZ301529,福赛科技,2026-04-29,殷敖金,-66000,108.63,5667400.0,本人,董事、高管
