序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
12,002108,沧州明珠,10.059171676635742,5.58,5.58,1322939248,9193039989.48,9199178000.64,14.596061706542969,0.0,是,3.475435256958008,1/1,60日新高,塑料
14,605388,均瑶健康,10.049627304077148,8.87,8.87,408917216,5326293080.0,5326293080.0,7.757967948913574,0.0,是,1.8787811994552612,3/3,60日新高且近期多次涨停,饮料乳品
15,600707,彩虹股份,10.028247833251953,7.79,7.79,906299360,27947947212.28,27953555981.12,3.3049612045288086,0.0,是,0.8541143536567688,1/1,60日新高,光学光电
16,600330,天通股份,10.02531623840332,21.73,21.73,820489792,26802529859.68,26802529859.68,3.0612401962280273,0.0,是,0.21712446212768555,1/1,60日新高,电子化学
17,002802,洪汇新材,10.020174980163574,16.36,16.36,301648672,2448817266.52,2965182760.4,12.67688274383545,0.0,是,2.712161064147949,2/2,60日新高且近期多次涨停,化学制品
18,003018,金富科技,10.01402473449707,39.22,39.22,584491936,9310337750.0,10197200000.0,6.557252407073975,0.0,是,1.03489089012146,1/1,60日新高,包装印刷
19,002297,博云新材,10.01243782043457,17.69,17.69,2008313200,10138224248.11,10138224195.04,20.1871280670166,0.0,是,3.106837749481201,5/5,60日新高且近期多次涨停,航空装备
20,600961,株冶集团,10.009960174560547,22.09,22.09,103042803,16607535871.82,23699758031.36,0.6204581260681152,0.0,否,0.248734250664711,2/2,近期多次涨停,工业金属
21,603203,快克智能,10.009119987487793,48.25,48.25,378118800,12021647593.5,12239148943.5,3.2498066425323486,0.0,是,1.4352651834487915,1/1,60日新高,自动化设
22,600641,先导基电,10.009057998657227,24.29,24.29,1334186880,22605000756.8,22605000756.8,6.069264888763428,0.0,是,1.0919996500015259,1/1,60日新高,半导体
23,002428,云南锗业,10.007097244262695,62.0,62.0,6170237696,40488208750.0,40493440000.0,15.394145011901855,0.0,是,1.090551495552063,1/1,60日新高,小金属
24,605298,必得科技,10.006027221679688,54.75,54.75,187793749,10197242250.0,10284787500.0,1.8869595527648926,0.0,是,1.7083433866500854,1/1,60日新高,轨交设备
25,603629,利通电子,10.005216598510742,105.44,105.44,3746978656,27082474880.0,27659020800.0,14.498740196228027,0.0,是,0.8765400052070618,8/4,60日新高且近期多次涨停,消费电子
26,003031,中瓷电子,10.004890441894531,112.48,112.48,1587774448,38260825166.08,50734426142.72,4.270517826080322,0.0,是,0.9366936683654785,1/1,60日新高,通信设备
27,002980,华盛昌,10.004512786865234,73.12,73.12,1371570640,7413632705.280001,13849012819.2,19.079702377319336,0.0,是,0.9545246958732605,10/5,60日新高且近期多次涨停,电网设备
28,002866,传艺科技,10.004168510437012,26.39,26.39,1099079248,4782198033.34,7640492335.84,24.34623146057129,0.0,是,1.1368017196655273,1/1,60日新高,消费电子
29,603052,可川科技,10.003959655761719,83.35,83.35,911644784,15661238454.699999,15661238454.699999,5.988292694091797,0.0,是,1.1281242370605469,2/2,60日新高且近期多次涨停,消费电子
30,001389,广合科技,10.00368595123291,149.22,149.22,1548802320,22673298258.36,70502715918.72,6.972148895263672,0.0,是,0.9237573742866516,1/1,60日新高,元件
