序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
3,603293,C埃泰克,-8.884820938110352,64.71,,1069931856,2271095226.81,11588956479.179998,46.59962844848633,2,2026-04-16,2026-04-16,否,0/0,汽车零部
9,603459,红板科技,-2.038142442703247,67.29,75.56,2442451808,5319399524.820001,50720078667.36001,45.035709381103516,8,2026-04-08,2026-04-08,否,0/0,元件
12,001257,盛龙股份,-1.3230900764465332,23.12,25.77,593917520,3166237482.56,42447182865.92,18.655838012695312,13,2026-03-31,2026-03-31,否,0/0,小金属
28,603284,林平发展,-1.6335850954055786,56.0,62.62,142577235,1034510568.0,4223228800.0,13.713846206665039,42,2026-02-10,2026-02-10,否,0/0,造纸
32,001220,世盟股份,4.556903839111328,45.66,48.04,275154064,1032310867.68,4213961399.9999995,27.142728805541992,47,2026-02-03,2026-02-03,否,0/0,物流
34,601112,振石股份,0.4000000059604645,20.08,22.0,234529091,3559178112.4799995,34946556669.439995,6.616321086883545,50,2026-01-29,2026-01-29,否,0/0,玻璃玻纤
40,603352,至信股份,-0.5708354711532593,38.32,42.39,63819753,1702265295.04,8685866679.44,3.7623813152313232,60,2026-01-15,2026-01-15,否,0/0,汽车零部
41,603402,陕西旅游,-2.1443889141082764,136.9,153.89,213584751,2646733424.6,10586933424.6,8.048948287963867,67,2026-01-06,2026-01-06,否,0/0,旅游及景
44,001369,双欣材料,0.0,16.07,17.68,271846608,3230542265.16,18432290000.0,8.436694145202637,70,2025-12-30,2025-12-30,否,0/0,化学纤维
45,001396,誉帆科技,1.540798544883728,46.79,50.69,111019196,1039072267.76,5001964044.64,10.607977867126465,70,2025-12-30,2025-12-30,否,0/0,基础建设
51,603248,锡华科技,-1.438583493232727,26.72,29.82,190239951,1851934288.96,12291200000.0,10.229000091552734,75,2025-12-23,2025-12-23,否,0/0,风电设备
53,001325,元创股份,-0.400616317987442,64.64,71.39,263777638,1266944000.0,5067776000.0,20.813230514526367,78,2025-12-18,2025-12-18,否,0/0,橡胶
58,001280,中国铀业,-0.8656967282295227,82.45,91.49,704023744,13034294504.550001,170521591388.80002,5.379693984985352,89,2025-12-03,2025-12-03,否,0/0,小金属
61,001233,海安集团,-2.507565975189209,67.65,76.33,147801786,2393857488.0,12581096045.1,6.149770736694336,95,2025-11-25,2025-11-25,否,0/0,汽车零部
66,603092,德力佳,-0.8502665758132935,68.8,76.33,104335764,2301529248.0,27520006604.8,4.491858005523682,107,2025-11-07,2025-11-07,否,0/0,风电设备
68,603376,大明电子,-0.3252513110637665,33.71,37.2,29334918,1046277394.87,13484033979.68,2.8083908557891846,108,2025-11-06,2025-11-06,否,0/0,汽车零部
69,603334,丰倍生物,-1.5317286252975464,54.0,60.32,183011986,1676895912.0,7749000000.0,11.117870330810547,109,2025-11-05,2025-11-05,否,0/0,化学制品
75,603175,超颖电子,0.6701824069023132,91.63,100.12,409929200,4031656592.04,40044997324.64,10.098422050476074,117,2025-10-24,2025-10-24,否,0/0,元件
76,001285,瑞立科密,2.4892382621765137,54.76,58.77,133439500,2272363125.2,9866557355.84,5.863661289215088,119,2025-09-30,2025-09-30,否,0/0,汽车零部
77,001386,马可波罗,-1.4227643013000488,19.4,21.65,66099246,1898507357.6,23181448000.0,3.4717538356781006,119,2025-10-22,2025-10-22,否,0/0,家居用品
78,601026,道生天合,-1.0576415061950684,18.71,20.8,98034519,2078413259.9,12337374000.0,4.705464839935303,122,2025-10-17,2025-10-17,否,0/0,风电设备
86,603418,友升股份,-0.3692187964916229,51.27,56.61,30511868,2120763657.2400002,9898619123.880001,1.442348837852478,134,2025-09-23,2025-09-23,否,0/0,汽车零部
90,603370,华新精科,0.43083900213241577,44.29,48.51,24170057,1549707100.0,7748535500.0,1.5567505359649658,146,2025-09-05,2025-09-05,否,0/0,电机Ⅱ
96,603406,天富龙,0.7507941126823425,34.89,38.09,53062390,1279156125.27,13956348900.0,4.136325359344482,166,2025-08-08,2025-08-08,否,0/0,化学纤维
100,001221,悍高集团,1.1200504302978516,64.1,69.73,58484012,2308176900.0,25640640999.999996,2.5480852127075195,173,2025-07-30,2025-07-30,否,0/0,家居用品
102,603262,技源集团,1.1755485534667969,25.82,28.07,28781228,1033006560.0,10328258200.0,2.8118276596069336,178,2025-07-23,2025-07-23,否,0/0,食品加工
103,600930,华电新能,-0.3316749632358551,6.01,6.63,564968320,19411179778.07,250702857802.24,2.9103384017944336,183,2025-07-16,2025-07-16,否,0/0,电力
106,001388,信通电子,-0.9018036723136902,39.56,43.91,37156684,1234272000.0,6171360000.0,3.007035255432129,194,2025-07-01,2025-07-01,否,0/0,电网设备
109,603400,华之杰,-0.19994287192821503,69.88,77.02,82322534,1397600000.0,6988000000.0,5.889814853668213,201,2025-06-20,2025-06-20,否,0/0,通用设备
110,603382,海阳科技,0.25782689452171326,27.22,29.87,20832203,986733710.4,4933662236.96,2.124974250793457,207,2025-06-12,2025-06-12,否,0/0,化学纤维
114,603049,中策橡胶,-2.8994083404541016,49.23,55.77,185458629,4305092608.8,43050926088.0,4.304690837860107,212,2025-06-05,2025-06-05,否,0/0,汽车零部
