序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
1,600026,中远海能,2026-04-03,2026-04-03,买入,24.85,21.95,-11.67
2,601872,招商轮船,2025-03-31,2026-04-02,买入,6.31119211,18.55,193.98
1,001267,汇绿生态,2025-11-03,2025-11-03,增持,18.05,44.71,147.7
1,601869,长飞光纤,2026-04-10,2026-04-10,增持,384.38,365.89,-4.81
1,002126,银轮股份,2026-04-15,2026-04-15,买入,48.66,49.08,0.86
2,600066,宇通客车,2026-01-26,2026-01-26,买入,31.26,36.04,15.29
3,000338,潍柴动力,2025-12-09,2025-12-09,买入,17.22,26.5,53.89
1,600589,大位科技,2025-11-21,2025-11-21,买入,6.92,11.2,61.85
2,000988,华工科技,2025-11-19,2025-11-19,买入,71.98,116.68,62.1
6,000063,中兴通讯,2025-04-28,2026-03-09,买入,31.38,35.33,12.59
8,000938,紫光股份,2024-10-17,2026-04-16,买入,23.0224289622,27.7,20.33
1,601919,中远海控,2024-04-30,2026-03-31,增持,10.0917975015,14.72,45.89
1,603061,金海通,2025-11-17,2026-03-18,买入,84.821166437,243.9,187.55
3,002384,东山精密,2025-05-12,2025-11-07,买入,28.6390610352,162.1,465.99
1,001203,大中矿业,2025-10-30,2025-10-30,买入,17.73,46.52,162.38
2,002841,视源股份,2026-03-30,2026-03-30,买入,32.71,35.12,7.37
3,600941,中国移动,2026-03-30,2026-03-30,买入,93.4,93.47,0.07
7,002290,禾盛新材,2026-01-22,2026-01-22,买入,64.13,74.5,16.17
1,601126,四方股份,2026-01-21,2026-01-21,买入,38.85,48.13,23.89
2,003035,南网能源,2025-11-18,2025-11-18,买入,5.1189914304,7.94,55.08
3,000682,东方电子,2025-10-27,2025-10-27,买入,12.01,13.12,9.24
4,002487,大金重工,2025-09-16,2025-11-04,买入,38.7995434593,85.47,120.28
4,002371,北方华创,2025-11-03,2025-11-03,买入,401.0,469.91,17.18
2,603203,快克智能,2025-11-12,2025-11-12,买入,31.13,48.25,55.0
3,000425,徐工机械,2025-11-03,2025-11-03,买入,10.63,9.95,-6.4
1,002916,深南电路,2025-10-31,2025-10-31,买入,214.48,283.06,31.98
2,002859,洁美科技,2025-10-31,2025-10-31,买入,31.91,50.22,57.38
3,600183,生益科技,2025-10-29,2025-10-29,买入,69.32,69.25,-0.1
4,002463,沪电股份,2025-10-29,2025-10-29,买入,79.38,97.66,23.03
2,603659,璞泰来,2025-11-26,2026-03-25,买入,25.7735323846,35.91,39.35
1,002532,天山铝业,2026-04-03,2026-04-03,买入,17.29,19.64,13.59
2,600988,赤峰黄金,2025-04-01,2025-11-04,买入,22.6066929725,43.42,92.04
1,002281,光迅科技,2025-10-31,2025-10-31,增持,62.98,116.83,85.5
5,601138,工业富联,2025-10-31,2025-10-31,买入,71.60914656,60.97,-14.86
1,600673,东阳光,2026-03-31,2026-03-31,买入,30.3,35.05,15.68
2,002881,美格智能,2026-02-27,2026-02-27,买入,49.18,40.0,-18.67
5,603220,中贝通信,2025-10-21,2025-10-21,增持,23.32,32.24,38.25
1,000962,东方钽业,2026-04-01,2026-04-01,买入,44.36,46.73,5.34
2,601899,紫金矿业,2026-03-31,2026-03-31,买入,32.72,34.73,6.14
3,600219,南山铝业,2026-03-30,2026-03-30,买入,6.49,6.39,-1.54
4,603132,金徽股份,2026-03-30,2026-03-30,买入,16.98,19.03,12.07
5,603257,中国瑞林,2026-03-17,2026-03-17,增持,62.7,59.5,-5.1
6,000510,新金路,2025-12-05,2025-12-05,增持,10.41,15.03,44.38
7,000506,招金黄金,2025-11-10,2026-04-15,增持,12.61,17.03,35.05
8,603993,洛阳钼业,2025-10-31,2025-10-31,买入,17.04,20.23,18.72
1,603881,数据港,2025-07-18,2025-10-31,买入,27.0249276336,40.91,51.41
4,603236,移远通信,2025-03-06,2025-10-27,买入,83.5260780148,77.0,-7.82
2,002475,立讯精密,2025-04-29,2025-11-03,买入,30.264285198,59.75,97.46
1,000969,安泰科技,2025-11-11,2025-11-11,买入,20.1,21.55,7.21
2,000680,山推股份,2025-11-04,2025-11-04,买入,10.9,11.76,7.89
1,002488,金固股份,2025-12-16,2025-12-16,买入,8.07,12.55,55.51
1,600487,亨通光电,2025-04-30,2025-10-28,增持,15.1784977274,55.65,266.6
2,600522,中天科技,2024-04-26,2025-10-28,增持,12.1175976128,28.14,132.18
3,002906,华阳集团,2023-04-20,2026-04-07,增持,29.7569625965,31.89,7.16
4,002920,德赛西威,2023-03-30,2026-03-16,增持,106.6358908248,107.81,1.1
6,603507,振江股份,2026-01-21,2026-01-21,买入,27.72,45.07,62.59
8,002364,中恒电气,2025-12-23,2025-12-23,买入,25.15,40.91,62.66
11,003038,鑫铂股份,2025-12-22,2025-12-22,买入,15.3,15.11,-1.24
12,002245,蔚蓝锂芯,2025-12-17,2025-12-17,买入,15.93,19.74,23.92
13,603381,永臻股份,2025-12-05,2025-12-05,买入,19.88,23.26,17.0
2,002387,维信诺,2025-11-28,2025-11-28,增持,8.96,8.21,-8.37
1,002833,弘亚数控,2026-03-10,2026-03-10,买入,18.45,18.44,-0.05
9,603338,浙江鼎力,2025-08-06,2025-12-04,买入,50.32,50.89,1.13
5,002938,鹏鼎控股,2026-03-04,2026-03-04,买入,52.66,62.12,17.96
8,002600,领益智造,2025-11-03,2025-11-03,买入,15.1900000668,13.79,-9.22
13,600584,长电科技,2025-10-23,2025-10-23,买入,39.83,43.98,10.42
14,603296,华勤技术,2025-09-16,2025-10-27,买入,94.18,97.4,3.42
21,600114,东睦股份,2025-04-29,2025-10-29,买入,19.6367681163,31.75,61.66
22,603986,兆易创新,2025-04-28,2025-10-28,买入,114.876244224,288.96,151.53
28,002138,顺络电子,2024-10-28,2025-10-29,买入,28.236863395,35.45,25.53
