序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,能源金属,12,40582.5,6.63%,143.12,124.71,18.4
2,非金属材料,14,31585.4,6.57%,18.94,16.38,2.56
3,元件,61,19457.2,6.43%,416.52,382.36,34.16
4,电池,104,22671.8,5.66%,434.13,394.45,39.68
5,其他电子,35,20279.5,5.63%,84.02,80.43,3.59
6,通信设备,90,9885.65,5.44%,672.27,695.48,-23.21
7,电子化学品,40,69537.6,5.43%,104.62,102.39,2.23
8,半导体,176,14175.7,5.01%,833.97,773.97,60.0
9,其他电源设备,33,7237.43,4.91%,85.25,91.5,-6.25
10,军工电子,62,14677.4,4.88%,121.88,103.87,18.02
11,风电设备,31,5857.79,4.79%,73.5,64.44,9.07
12,消费电子,98,12822.8,4.78%,291.75,251.12,40.63
13,工业金属,57,4904.26,4.40%,140.7,134.92,5.78
14,小金属,29,9531.79,4.29%,151.57,157.53,-5.97
15,影视院线,20,1563.47,4.06%,23.42,18.75,4.68
16,塑料制品,79,10971.4,3.97%,72.21,75.33,-3.12
17,电网设备,138,7600.7,3.97%,152.56,169.98,-17.42
18,自动化设备,92,29101.0,3.93%,171.78,202.97,-31.19
19,通信服务,45,3219.81,3.90%,128.79,128.52,0.27
20,IT服务,128,14290.5,3.88%,165.71,178.0,-12.29
21,军工装备,83,2584.48,3.86%,176.21,158.51,17.7
22,光学光电子,108,5586.16,3.83%,140.06,150.56,-10.5
23,黑色家电,9,4498.54,3.73%,6.94,7.81,-0.87
24,橡胶制品,22,16216.8,3.73%,10.96,10.71,0.25
25,通用设备,249,9805.8,3.63%,227.87,216.31,11.56
26,其他社会服务,78,21497.8,3.49%,28.28,28.35,-0.07
27,互联网电商,19,8896.01,3.47%,12.37,14.0,-1.63
28,计算机设备,83,4399.82,3.27%,113.46,128.12,-14.66
29,金属新材料,33,15121.3,3.24%,23.76,24.95,-1.19
30,专用设备,197,8301.14,3.06%,142.65,137.77,4.88
31,环保设备,29,1513.98,2.96%,24.58,34.94,-10.36
32,汽车零部件,270,6991.19,2.89%,190.6,193.64,-3.04
33,软件开发,139,2211.15,2.74%,150.12,160.89,-10.77
34,白色家电,44,8368.0,2.69%,60.08,57.92,2.16
35,游戏,24,10134.4,2.54%,40.25,47.13,-6.88
36,电机,26,3729.79,2.51%,18.55,18.13,0.43
37,工程机械,36,3434.1,2.50%,27.18,27.41,-0.23
38,轨交设备,30,1150.72,2.40%,7.61,8.59,-0.98
39,厨卫电器,9,6718.79,2.26%,3.2,2.65,0.56
40,化学纤维,29,4322.38,2.17%,21.83,26.18,-4.35
41,汽车服务及其他,25,1187.51,2.00%,7.42,8.34,-0.92
42,小家电,25,4561.79,1.95%,6.83,6.37,0.45
43,建筑装饰,148,4692.69,1.84%,96.82,99.64,-2.82
44,医药商业,32,5170.81,1.80%,18.63,21.0,-2.37
45,饮料制造,46,5075.0,1.78%,15.87,21.83,-5.96
46,多元金融,26,1238.64,1.76%,24.91,34.76,-9.85
47,生物制品,55,6783.81,1.72%,37.94,42.12,-4.18
48,化学制品,177,7730.72,1.72%,120.66,116.16,4.5
49,光伏设备,74,9486.79,1.68%,187.17,202.17,-15.0
50,环境治理,111,4464.77,1.68%,44.71,51.68,-6.97
51,包装印刷,46,4895.55,1.66%,32.0,35.83,-3.83
52,纺织制造,32,2534.68,1.58%,13.64,13.23,0.41
53,养殖业,37,3118.7,1.54%,46.11,40.97,5.14
54,家居用品,98,4502.78,1.50%,24.64,27.18,-2.54
55,房地产,86,1851.95,1.43%,72.57,58.75,13.82
56,美容护理,32,5476.64,1.39%,7.51,8.88,-1.36
57,文化传媒,85,2950.25,1.36%,113.49,110.74,2.76
58,钢铁,44,1855.68,1.35%,56.35,70.79,-14.44
59,零售,73,2033.7,1.32%,31.8,36.87,-5.07
60,化学制药,158,6800.8,1.30%,132.14,135.71,-3.57
61,旅游及酒店,35,3308.16,1.25%,13.16,17.22,-4.05
62,医疗器械,139,12028.1,1.14%,61.18,68.66,-7.48
63,银行,84,1314.77,1.13%,71.39,51.18,20.22
64,农产品加工,43,4154.8,1.07%,22.3,19.09,3.21
65,服装家纺,76,3111.99,0.90%,16.21,18.61,-2.4
66,造纸,24,2334.42,0.85%,12.97,13.75,-0.79
67,电力,108,2069.99,0.84%,142.17,182.47,-40.3
68,保险,5,2090.22,0.77%,27.39,22.55,4.84
69,物流,49,5710.13,0.71%,11.64,16.1,-4.46
70,建筑材料,74,6096.83,0.71%,90.34,93.83,-3.5
71,中药,68,3322.68,0.71%,23.62,30.01,-6.39
72,食品加工制造,66,5097.05,0.65%,23.42,28.75,-5.32
73,公路铁路运输,32,1359.52,0.61%,8.98,9.01,-0.03
74,机场航运,13,2035.61,0.51%,12.8,14.43,-1.63
75,种植业与林业,30,4773.54,0.46%,19.57,26.19,-6.62
76,贵金属,12,6125.02,0.26%,70.48,73.35,-2.86
77,医疗服务,55,18725.7,-0.01%,58.77,58.45,0.32
78,证券,50,1482.34,-0.07%,81.21,106.39,-25.18
79,港口航运,36,1255.49,-0.27%,36.06,37.38,-1.32
80,教育,16,4653.14,-0.28%,4.21,5.33,-1.12
81,贸易,15,3078.44,-0.39%,7.8,7.93,-0.13
82,白酒,20,2254.7,-0.51%,34.34,32.41,1.94
83,综合,16,2571.45,-0.67%,32.36,28.1,4.26
84,化学原料,59,3533.26,-1.21%,44.64,55.45,-10.81
85,燃气,27,1911.11,-1.53%,11.13,14.29,-3.16
86,农化制品,62,5616.05,-1.64%,73.42,86.06,-12.63
87,汽车整车,23,3177.02,-1.81%,48.03,61.79,-13.75
88,石油加工贸易,27,4007.1,-1.90%,24.51,32.37,-7.86
89,煤炭开采加工,33,2755.32,-2.10%,26.53,36.87,-10.34
90,油气开采及服务,20,1982.81,-6.72%,41.36,53.34,-11.98
