代码,60日最高,当前价,跌幅,符合跌幅>19%,7日横盘,3日量能,3日趋势
sh603516,263.5,147.3,44.1,True,True,1.05,上涨
sh600328,10.64,8.54,19.74,True,True,0.79,下跌
sz001331,63.0,50.96,19.11,True,True,0.58,下跌
sh600118,116.3,85.93,26.11,True,True,1.3,上涨
sz002235,12.04,9.46,21.43,True,True,1.42,上涨
sh600698,9.17,7.26,20.83,True,True,0.35,下跌
sz002544,35.75,27.08,24.25,True,True,1.02,上涨
sz002527,18.52,13.34,27.97,True,True,1.96,下跌
sh605188,22.3,17.48,21.61,True,True,1.54,上涨
sz002490,14.52,8.69,40.15,True,False,0.55,下跌
sz003040,20.47,16.09,21.4,True,True,0.66,下跌
sh600775,17.0,13.47,20.76,True,True,0.73,下跌
sh603023,6.55,4.47,31.76,True,False,0.6,下跌
sh600877,25.91,17.32,33.15,True,True,1.94,上涨
sz002796,67.88,53.35,21.41,True,True,0.96,上涨
sh605008,15.59,12.08,22.51,True,True,0.82,下跌
sz002809,16.0,10.5,34.38,True,True,0.76,下跌
sz002951,19.48,15.66,19.61,True,True,1.67,平盘
sz002217,3.39,2.68,20.94,True,False,1.16,上涨
sz000158,22.5,17.81,20.84,True,True,1.58,上涨
sh603353,54.0,39.01,27.76,True,False,0.51,下跌
sz002389,29.85,22.36,25.09,True,True,1.06,上涨
sz002455,17.15,11.41,33.47,True,False,0.69,下跌
sz002210,3.44,2.56,25.58,True,True,1.0,下跌
sh603189,22.98,15.25,33.64,True,False,0.39,下跌
sh600703,18.77,13.34,28.93,True,True,1.11,上涨
sh605398,34.1,27.45,19.5,True,True,0.69,上涨
sz002162,6.45,4.59,28.84,True,True,0.85,下跌
sh600058,16.58,11.14,32.81,True,True,1.3,上涨
sz002931,118.1,70.5,40.3,True,True,1.02,上涨
sh600257,8.0,6.38,20.25,True,False,0.85,下跌
sz000981,5.65,4.05,28.32,True,True,0.97,下跌
sz002177,9.82,7.88,19.76,True,True,0.72,下跌
sh600730,11.9,8.6,27.73,True,True,1.09,下跌
sz002646,9.81,7.94,19.06,True,True,0.89,下跌
sh600797,11.99,9.36,21.93,True,True,1.53,上涨
sz000565,9.22,7.25,21.37,True,True,0.75,平盘
sz002877,11.6,8.99,22.5,True,True,0.79,上涨
sh600516,7.29,5.59,23.32,True,True,0.88,下跌
sz002212,10.77,7.49,30.45,True,True,1.15,下跌
sz000831,65.94,52.11,20.97,True,True,0.82,上涨
sh603232,28.4,20.11,29.19,True,True,2.31,上涨
sh605255,190.0,119.88,36.91,True,False,1.33,下跌
sz000586,25.12,19.4,22.77,True,False,1.87,下跌
sz002747,26.47,21.37,19.27,True,True,1.14,上涨
sh600640,15.49,12.06,22.14,True,True,0.94,平盘
sh600488,8.44,6.06,28.2,True,False,1.26,下跌
sz002451,13.34,9.69,27.36,True,True,1.45,下跌
sz001255,58.97,37.27,36.8,True,True,0.92,上涨
sh603117,6.12,4.52,26.14,True,True,1.17,下跌
sh600880,7.0,5.05,27.86,True,True,2.91,上涨
sh600589,15.25,11.2,26.56,True,False,1.17,下跌
sh600556,9.0,6.2,31.11,True,True,0.78,下跌
sz002639,25.39,19.38,23.67,True,False,0.66,上涨
sz002134,28.57,22.7,20.55,True,True,1.8,下跌
sh600423,4.31,2.71,37.12,True,False,1.46,下跌
sz002219,2.97,2.3,22.56,True,True,1.42,下跌
sh600879,31.46,23.42,25.56,True,True,1.36,上涨
sh601212,15.19,8.06,46.94,True,True,1.04,上涨
sh600249,7.71,5.99,22.31,True,True,0.48,上涨
sz000852,9.58,6.73,29.75,True,True,0.72,下跌
sh601698,43.0,33.98,20.98,True,True,1.33,上涨
sh600778,8.72,6.39,26.72,True,True,0.77,上涨
sh600651,9.26,6.85,26.03,True,True,0.59,上涨
sh603728,77.9,59.66,23.41,True,True,1.25,上涨
sh600506,29.08,21.02,27.72,True,True,0.57,下跌
sz002195,12.19,9.15,24.94,True,True,0.95,平盘
sh603667,96.69,70.55,27.03,True,True,1.27,下跌
sz002861,21.49,15.88,26.11,True,True,0.64,下跌
sz002721,4.25,3.01,29.18,True,True,2.0,上涨
sh603496,37.83,29.9,20.96,True,True,1.26,上涨
sz000555,20.08,15.84,21.12,True,True,3.12,上涨
sh603068,41.2,32.97,19.98,True,True,0.94,下跌
sz002828,17.9,11.81,34.02,True,True,0.5,下跌
sz002104,19.86,15.2,23.46,True,True,0.7,下跌
sh603917,16.13,12.97,19.59,True,True,1.03,下跌
sz002851,140.39,106.13,24.4,True,True,1.26,下跌
sz002857,27.39,21.36,22.02,True,True,0.84,上涨
sz002873,13.09,9.63,26.43,True,False,0.55,下跌
sh603663,56.9,45.61,19.84,True,True,1.24,上涨
sh601366,5.78,3.97,31.31,True,True,1.37,下跌
sh603657,32.8,25.95,20.88,True,True,0.48,上涨
sz000912,6.7,4.84,27.76,True,True,0.71,下跌
sz002045,15.85,11.86,25.17,True,True,1.03,下跌
sz002892,13.77,11.09,19.46,True,True,0.93,上涨
sz002427,8.27,6.46,21.89,True,True,0.62,下跌
sz002927,25.23,17.64,30.08,True,True,1.12,上涨
sz000410,8.62,6.73,21.93,True,True,1.12,下跌
sz002677,10.05,7.7,23.38,True,True,1.06,上涨
sh600693,17.5,11.91,31.94,True,True,2.51,上涨
sz002549,24.8,19.42,21.69,True,True,0.85,上涨
sh600824,4.95,3.98,19.6,True,True,1.06,下跌
sh601700,7.18,5.28,26.46,True,True,1.06,上涨
