代码,名称,peTTM,pbMRQ,isST
600561.SH,江西长运,10682.2,2.1,0
603858.SH,步长制药,10586.4,1.7,0
603516.SH,淳中科技,5927.8,21.5,0
002491.SZ,通鼎互联,4971.5,7.5,0
600328.SH,中盐化工,4741.0,1.0,0
000593.SZ,德龙汇能,4518.6,7.7,0
001331.SZ,胜通能源,4331.2,9.5,0
600118.SH,中国卫星,2857.7,16.0,0
002235.SZ,安妮股份,2635.3,7.3,0
001236.SZ,弘业期货,2349.9,5.0,0
600698.SH,湖南天雁,1857.9,10.1,0
002792.SZ,通宇通讯,1761.9,9.6,0
002544.SZ,普天科技,1755.5,4.9,0
600616.SH,金枫酒业,1642.7,1.7,0
002527.SZ,新时达,1606.0,7.1,0
605188.SH,国光连锁,1470.1,7.4,0
600518.SH,康美药业,1454.3,3.4,0
603026.SH,石大胜华,1435.1,4.6,0
002490.SZ,山东墨龙,1344.8,13.9,0
003040.SZ,楚天龙,1263.7,5.3,0
600330.SH,天通股份,1227.8,3.3,0
600127.SH,金健米业,1187.4,6.7,0
600775.SH,南京熊猫,1147.0,3.9,0
603023.SH,威帝股份,1127.3,3.2,0
002342.SZ,巨力索具,1049.4,7.5,0
600877.SH,电科芯片,1044.7,8.3,0
002796.SZ,世嘉科技,1033.7,15.7,0
605008.SH,长鸿高科,1013.1,3.9,0
002428.SZ,云南锗业,969.5,27.8,0
002809.SZ,红墙股份,951.6,1.5,0
002951.SZ,金时科技,908.4,3.8,0
002217.SZ,合力泰,882.1,10.7,0
000158.SZ,常山北明,851.3,5.3,0
603353.SH,和顺石油,844.3,4.1,0
002389.SZ,航天彩虹,817.6,2.7,0
603110.SH,东方材料,797.2,5.1,0
002718.SZ,友邦吊顶,791.7,10.7,0
002455.SZ,百川股份,765.2,4.7,0
002456.SZ,欧菲光,762.3,7.9,0
603196.SH,璞源材料,744.8,7.3,0
002210.SZ,飞马国际,734.6,7.1,0
600316.SH,洪都航空,725.2,5.4,0
001313.SZ,粤海饲料,718.3,2.3,0
603189.SH,网达软件,715.7,2.7,0
600703.SH,三安光电,705.9,1.9,0
605398.SH,新炬网络,667.4,4.3,0
600084.SH,中信尼雅,632.5,5.8,0
002162.SZ,悦心健康,627.5,5.1,0
600058.SH,五矿发展,625.1,2.4,0
603085.SH,天成自控,620.4,5.3,0
002931.SZ,锋龙股份,618.0,16.2,0
600257.SH,大湖股份,606.1,3.8,0
000981.SZ,山子高科,597.8,24.1,0
002177.SZ,御银股份,597.6,3.5,0
600730.SH,中国高科,596.5,2.8,0
603336.SH,宏辉果蔬,595.1,4.0,0
600653.SH,申华控股,589.0,4.7,0
002646.SZ,天佑德酒,585.2,1.3,0
600520.SH,三佳科技,576.6,11.3,0
603159.SH,上海亚虹,575.9,7.5,0
600390.SH,五矿资本,568.9,0.6,0
600158.SH,中体产业,566.2,4.0,0
603701.SH,德宏股份,563.2,8.1,0
002932.SZ,明德生物,559.9,0.7,0
600797.SH,浙大网新,557.7,2.8,0
002633.SZ,申科股份,550.0,6.7,0
002976.SZ,瑞玛精密,549.9,5.2,0
000565.SZ,渝三峡A,539.7,2.5,0
002877.SZ,智能自控,536.4,2.6,0
601777.SH,千里科技,535.6,4.4,0
000677.SZ,恒天海龙,533.1,7.7,0
600516.SH,方大炭素,528.3,1.4,0
002212.SZ,天融信,524.9,0.9,0
000886.SZ,海南高速,515.0,1.9,0
002361.SZ,神剑股份,512.9,8.1,0
000831.SZ,中国稀土,510.7,11.4,0
603232.SH,格尔软件,498.9,3.5,0
605255.SH,天普股份,494.1,19.9,0
001259.SZ,利仁科技,473.9,3.2,0
000586.SZ,汇源通信,467.2,11.1,0
002747.SZ,埃斯顿,459.9,10.5,0
603052.SH,可川科技,459.0,14.4,0
600371.SH,万向德农,456.1,4.7,0
600640.SH,国脉文化,446.6,2.4,0
603066.SH,音飞储存,444.6,2.0,0
600123.SH,兰花科创,425.3,0.6,0
600178.SH,东安动力,424.4,2.1,0
000973.SZ,佛塑科技,419.2,15.5,0
002577.SZ,雷柏科技,407.4,3.7,0
600488.SH,津药药业,406.1,2.2,0
002451.SZ,摩恩电气,403.5,5.5,0
001255.SZ,博菲电气,403.4,4.4,0
002224.SZ,三力士,399.5,1.2,0
001267.SZ,汇绿生态,398.5,21.6,0
000766.SZ,通化金马,397.7,9.9,0
600816.SH,建元信托,395.5,1.8,0
603117.SH,万林物流,387.8,2.6,0
600880.SH,博瑞传播,383.2,1.8,0
600673.SH,东阳光,382.9,11.4,0
603002.SH,宏昌电子,382.1,4.3,0
002488.SZ,金固股份,380.7,3.6,0
600589.SH,大位科技,380.5,23.4,0
601869.SH,长飞光纤,372.3,21.9,0
600556.SH,天下秀,363.1,2.9,0
600189.SH,泉阳泉,361.9,4.4,0
605100.SH,华丰股份,360.1,4.6,0
002639.SZ,雪人集团,360.1,6.0,0
002686.SZ,亿利达,356.6,2.7,0
002565.SZ,顺灏股份,353.7,10.8,0
