代码,60日最高,当前价,跌幅,7日横盘,3日量能,3日趋势
600561.SH,7.36,6.67,-9.0,True,1.04,下跌
603858.SH,17.98,16.5,-8.0,True,0.71,下跌
603516.SH,222.22,145.4,-35.0,True,0.88,下跌
002491.SZ,18.2,16.83,-8.0,False,1.02,上涨
600328.SH,10.64,8.72,-18.0,True,1.42,上涨
000593.SZ,19.64,19.64,0.0,False,0.99,上涨
001331.SZ,63.0,49.15,-22.0,True,0.66,下跌
600118.SH,108.9,102.0,-6.0,False,1.62,上涨
002235.SZ,11.65,9.51,-18.0,True,0.75,下跌
001236.SZ,10.86,9.02,-17.0,True,0.92,下跌
600698.SH,9.08,7.15,-21.0,True,0.83,下跌
002792.SZ,57.35,49.1,-14.0,False,0.86,下跌
002544.SZ,35.33,27.17,-23.0,True,1.13,下跌
600616.SH,6.0,4.95,-17.0,True,1.03,下跌
002527.SZ,18.52,12.97,-30.0,True,1.08,下跌
605188.SH,22.3,16.43,-26.0,True,2.21,下跌
600518.SH,1.98,1.72,-13.0,True,0.78,下跌
603026.SH,108.8,102.76,-6.0,False,0.93,上涨
002490.SZ,14.52,9.77,-33.0,False,1.02,上涨
003040.SZ,19.15,15.5,-19.0,True,0.84,下跌
600330.SH,27.53,25.6,-7.0,False,1.62,上涨
600127.SH,7.8,6.91,-11.0,True,0.66,下跌
600775.SH,16.99,13.14,-23.0,True,1.54,下跌
603023.SH,6.55,4.33,-34.0,True,0.84,下跌
002342.SZ,21.42,18.96,-11.0,False,0.94,下跌
600877.SH,25.91,17.05,-34.0,True,0.87,下跌
002796.SZ,67.88,60.99,-10.0,True,1.16,上涨
605008.SH,14.95,11.83,-21.0,True,0.96,下跌
002428.SZ,82.76,76.88,-7.0,False,1.15,上涨
002809.SZ,16.0,10.25,-36.0,True,0.92,下跌
002951.SZ,19.48,16.22,-17.0,False,0.9,上涨
002217.SZ,3.2,2.77,-13.0,False,2.03,下跌
000158.SZ,22.0,18.39,-16.0,True,1.6,上涨
603353.SH,54.0,36.51,-32.0,True,0.65,下跌
002389.SZ,29.85,21.97,-26.0,True,0.85,下跌
603110.SH,18.54,18.16,-2.0,False,0.85,上涨
002718.SZ,82.57,71.09,-14.0,False,0.67,下跌
002455.SZ,17.15,11.19,-35.0,False,1.25,下跌
002456.SZ,10.88,9.17,-16.0,True,0.87,下跌
603196.SH,34.26,32.75,-4.0,True,0.92,上涨
002210.SZ,3.38,2.52,-25.0,True,1.14,下跌
600316.SH,47.66,41.29,-13.0,True,0.94,上涨
001313.SZ,8.78,8.41,-4.0,True,0.74,平盘
603189.SH,22.42,12.6,-44.0,False,2.3,下跌
600703.SH,18.77,15.51,-17.0,True,1.11,上涨
605398.SH,33.56,27.2,-19.0,True,1.24,下跌
600084.SH,8.01,6.52,-19.0,True,0.78,下跌
002162.SZ,6.45,4.42,-31.0,True,1.1,下跌
600058.SH,16.58,11.21,-32.0,True,1.19,下跌
603085.SH,12.43,11.79,-5.0,True,0.87,下跌
002931.SZ,118.1,69.25,-41.0,True,1.24,上涨
600257.SH,8.0,6.25,-22.0,True,0.77,下跌
000981.SZ,5.34,3.93,-26.0,True,0.99,下跌
002177.SZ,9.82,7.34,-25.0,True,0.61,下跌
600730.SH,11.29,8.55,-24.0,True,1.29,上涨
603336.SH,10.99,10.83,-1.0,True,1.44,上涨
600653.SH,2.0,1.73,-14.0,True,0.77,下跌
002646.SZ,9.81,7.9,-19.0,True,1.26,下跌
600520.SH,30.88,28.81,-7.0,True,1.86,上涨
603159.SH,29.8,25.68,-14.0,True,0.77,下跌
600390.SH,6.4,5.23,-18.0,True,0.93,下跌
600158.SH,12.2,10.66,-13.0,True,0.78,下跌
603701.SH,25.85,25.73,-0.0,True,0.97,上涨
002932.SZ,20.72,16.95,-18.0,True,1.51,下跌
600797.SH,11.48,9.15,-20.0,True,1.03,下跌
002633.SZ,20.6,19.2,-7.0,True,1.09,上涨
002976.SZ,31.34,28.55,-9.0,True,0.8,下跌
000565.SZ,9.22,7.17,-22.0,True,0.88,下跌
002877.SZ,11.6,8.77,-24.0,True,0.96,下跌
601777.SH,12.26,10.84,-12.0,True,1.69,上涨
000677.SZ,5.51,4.19,-24.0,True,0.96,下跌
600516.SH,7.29,5.44,-25.0,True,1.4,下跌
002212.SZ,9.53,7.77,-18.0,True,1.41,上涨
000886.SZ,6.86,5.6,-18.0,True,1.02,下跌
002361.SZ,23.95,22.99,-4.0,False,1.02,上涨
000831.SZ,65.94,51.11,-22.0,True,1.25,下跌
603232.SH,28.4,18.88,-34.0,True,0.78,下跌
605255.SH,183.3,111.29,-39.0,False,0.61,下跌
001259.SZ,37.97,31.34,-17.0,True,0.94,下跌
000586.SZ,25.12,19.14,-24.0,False,0.78,下跌
002747.SZ,26.47,20.87,-21.0,True,0.91,下跌
603052.SH,98.0,94.66,-3.0,False,1.0,上涨
600371.SH,10.29,8.58,-17.0,True,0.8,下跌
600640.SH,15.49,12.7,-18.0,True,1.37,上涨
603066.SH,11.35,10.11,-11.0,True,1.3,上涨
600123.SH,7.6,6.6,-13.0,True,1.2,上涨
600178.SH,13.19,11.32,-14.0,True,0.81,下跌
000973.SZ,20.71,17.26,-17.0,False,0.81,下跌
002577.SZ,19.28,15.32,-21.0,True,0.89,下跌
600488.SH,8.44,6.74,-20.0,False,0.91,上涨
002451.SZ,12.15,9.48,-22.0,True,1.0,下跌
001255.SZ,42.49,35.82,-16.0,True,1.02,下跌
002224.SZ,5.17,4.37,-15.0,True,1.23,上涨
001267.SZ,50.92,50.92,0.0,False,1.07,上涨
000766.SZ,27.38,22.96,-16.0,True,0.75,下跌
600816.SH,3.02,2.63,-13.0,True,2.03,上涨
603117.SH,6.12,4.4,-28.0,True,0.89,下跌
600880.SH,6.43,5.12,-20.0,True,1.04,下跌
600673.SH,41.58,34.14,-18.0,False,1.1,上涨
603002.SH,14.6,13.87,-5.0,False,1.04,上涨
002488.SZ,13.76,11.54,-16.0,False,1.02,下跌
600589.SH,15.25,10.76,-29.0,True,1.01,下跌
601869.SH,422.88,385.02,-9.0,False,0.98,上涨
600556.SH,8.45,6.16,-27.0,True,0.81,下跌
600189.SH,9.13,8.18,-10.0,True,0.99,上涨
605100.SH,53.25,50.24,-6.0,False,1.12,上涨
002639.SZ,24.28,18.37,-24.0,True,0.84,下跌
