代码,60日最高,当前价,跌幅,7日横盘,3日量能,3日趋势,金叉,突破位,底部,量价齐升
600561.SH,7.36,6.76,-8.0,True,0.85,下跌,False,False,False,False
603858.SH,17.98,16.39,-9.0,True,0.74,下跌,False,False,True,False
603516.SH,222.22,146.06,-34.0,True,1.07,下跌,False,False,False,True
002491.SZ,18.2,15.65,-14.0,False,0.97,下跌,False,False,False,False
600328.SH,10.64,8.82,-17.0,True,1.16,上涨,False,False,True,False
000593.SZ,21.6,21.03,-3.0,False,1.24,上涨,False,True,False,True
001331.SZ,63.0,49.53,-21.0,True,0.74,下跌,False,False,True,False
600118.SH,108.9,96.3,-12.0,False,1.32,下跌,False,False,False,False
002235.SZ,11.65,9.43,-19.0,True,0.81,下跌,False,False,True,False
001236.SZ,10.86,8.95,-18.0,True,1.01,下跌,False,False,True,False
600698.SH,9.08,7.04,-22.0,True,0.72,下跌,False,False,True,False
002792.SZ,57.35,45.62,-20.0,False,0.83,下跌,False,False,False,False
002544.SZ,35.33,26.26,-26.0,True,0.99,下跌,False,False,True,False
600616.SH,6.0,4.95,-17.0,True,1.11,下跌,False,False,True,False
002527.SZ,18.52,12.74,-31.0,True,1.02,下跌,False,False,True,False
605188.SH,22.3,15.95,-28.0,True,1.53,下跌,False,False,True,False
600518.SH,1.98,1.72,-13.0,True,0.77,下跌,False,False,True,False
603026.SH,108.8,104.06,-4.0,False,0.94,上涨,False,False,False,True
002490.SZ,14.52,10.27,-29.0,False,1.36,上涨,False,False,False,True
003040.SZ,19.15,15.42,-19.0,True,0.92,下跌,False,False,True,False
600330.SH,27.53,25.89,-6.0,False,1.32,上涨,False,False,False,False
600127.SH,7.8,6.84,-12.0,True,0.64,下跌,False,False,True,False
600775.SH,16.99,12.82,-25.0,True,1.34,下跌,False,False,True,False
603023.SH,6.55,4.39,-33.0,True,0.81,下跌,False,False,True,False
002342.SZ,21.42,19.05,-11.0,False,0.94,下跌,False,False,False,True
600877.SH,25.91,16.81,-35.0,True,0.78,下跌,False,False,False,False
002796.SZ,67.88,57.75,-15.0,True,1.14,上涨,False,False,False,False
605008.SH,14.94,11.9,-20.0,True,1.07,上涨,False,False,True,True
002428.SZ,82.76,77.12,-7.0,False,1.19,上涨,False,False,False,False
002809.SZ,16.0,10.33,-35.0,True,1.01,下跌,False,False,True,True
002951.SZ,19.48,15.29,-22.0,False,0.94,下跌,False,False,False,False
002217.SZ,3.2,2.69,-16.0,False,1.4,下跌,False,False,False,False
000158.SZ,22.0,18.84,-14.0,True,1.81,上涨,False,True,False,True
603353.SH,54.0,36.44,-33.0,True,0.72,下跌,False,False,False,False
002389.SZ,29.85,21.45,-28.0,True,0.77,下跌,False,False,True,False
603110.SH,18.54,17.87,-4.0,False,0.88,上涨,False,False,False,False
002718.SZ,82.57,70.0,-15.0,False,0.71,下跌,False,False,False,False
002455.SZ,17.15,11.06,-36.0,False,1.52,下跌,False,False,False,False
002456.SZ,10.88,9.08,-17.0,True,0.79,下跌,False,False,True,False
603196.SH,35.35,34.93,-1.0,True,1.0,上涨,False,True,False,True
002210.SZ,3.38,2.49,-26.0,True,1.09,下跌,False,False,True,False
600316.SH,47.66,38.97,-18.0,True,1.08,下跌,False,False,False,False
001313.SZ,8.78,8.54,-3.0,True,0.85,上涨,False,False,False,True
603189.SH,22.42,12.63,-44.0,False,1.48,下跌,False,False,True,True
