代码,60日最高,当前价,跌幅,7日横盘,3日量能,3日趋势,启动趋势,底部,量价齐升,信号
600775.SH,16.99,12.82,-25.0,True,1.34,下跌,True,True,False,True
002809.SZ,16.0,10.33,-35.0,True,1.01,下跌,True,True,True,True
002162.SZ,6.45,4.45,-31.0,True,1.01,下跌,True,True,True,True
002877.SZ,11.6,8.75,-25.0,True,1.03,下跌,True,True,False,True
600778.SH,8.72,6.27,-28.0,True,1.17,下跌,True,True,True,True
603728.SH,77.66,57.07,-27.0,True,1.03,下跌,True,True,False,True
002195.SZ,11.17,8.97,-20.0,True,1.27,下跌,True,True,False,True
603917.SH,16.13,12.96,-20.0,True,1.15,下跌,True,True,False,True
601366.SH,5.41,3.85,-29.0,True,1.04,下跌,True,True,False,True
002892.SZ,13.77,10.95,-20.0,True,1.07,下跌,True,True,True,True
600327.SH,5.26,3.72,-29.0,True,1.0,下跌,True,True,False,True
002077.SZ,20.39,15.65,-23.0,True,1.1,下跌,True,True,True,True
600610.SH,13.49,9.21,-32.0,True,1.39,下跌,True,True,False,True
002182.SZ,23.14,16.1,-30.0,True,1.2,下跌,True,True,False,True
002679.SZ,14.47,10.43,-28.0,True,1.45,下跌,True,True,False,True
000633.SZ,8.31,6.55,-21.0,True,1.08,下跌,True,True,True,True
002279.SZ,11.31,8.03,-29.0,True,1.03,下跌,True,True,False,True
600611.SH,6.09,4.73,-22.0,True,1.38,下跌,True,True,False,True
600230.SH,27.24,19.18,-30.0,True,1.11,下跌,True,False,False,True
600702.SH,61.07,45.54,-25.0,True,1.13,下跌,True,True,False,True
600113.SH,63.5,45.3,-29.0,True,1.17,下跌,True,True,False,True
000862.SZ,9.44,6.62,-30.0,True,1.36,下跌,True,True,False,True
600157.SH,2.1,1.68,-20.0,True,1.03,下跌,True,True,False,True
000050.SZ,10.65,8.18,-23.0,True,1.03,下跌,True,True,False,True
603602.SH,16.66,12.96,-22.0,True,1.28,下跌,True,True,False,True
001209.SZ,34.99,20.77,-41.0,True,1.17,下跌,True,False,True,True
605033.SH,34.69,22.39,-35.0,True,1.06,下跌,True,False,True,True
603078.SH,31.78,23.82,-25.0,True,1.49,下跌,True,False,True,True
000993.SZ,17.27,12.6,-27.0,True,1.11,下跌,True,True,False,True
002743.SZ,6.61,5.19,-21.0,True,1.05,下跌,True,True,False,True
603696.SH,22.19,15.31,-31.0,True,1.04,下跌,True,True,False,True
000716.SZ,6.52,5.1,-22.0,True,1.15,下跌,True,True,False,True
002777.SZ,21.12,16.17,-23.0,True,1.03,下跌,True,True,False,True
600226.SH,6.58,5.21,-21.0,True,1.04,下跌,True,False,False,True
002097.SZ,12.75,9.85,-23.0,True,1.19,下跌,True,True,False,True
600764.SH,30.26,23.99,-21.0,True,1.11,下跌,True,True,False,True
002398.SZ,6.56,5.0,-24.0,True,1.02,下跌,True,True,False,True
600628.SH,9.34,7.01,-25.0,True,1.05,下跌,True,True,False,True
600571.SH,17.06,13.35,-22.0,True,1.15,下跌,True,True,False,True
603505.SH,23.09,17.82,-23.0,True,1.15,下跌,True,True,False,True
600626.SH,5.4,3.87,-28.0,True,1.0,下跌,True,True,False,True
000768.SZ,31.96,23.78,-26.0,True,1.09,下跌,True,True,False,True
603927.SH,20.75,16.58,-20.0,True,1.16,下跌,True,True,False,True
002065.SZ,10.54,8.31,-21.0,True,1.1,下跌,True,True,False,True
002614.SZ,7.98,6.02,-25.0,True,1.14,下跌,True,True,False,True
603686.SH,26.35,18.66,-29.0,True,1.1,下跌,True,True,False,True
002649.SZ,14.63,11.61,-21.0,True,1.17,下跌,True,True,False,True
603155.SH,22.16,16.52,-25.0,True,1.35,下跌,True,False,True,True
000875.SZ,8.37,6.45,-23.0,True,1.05,下跌,True,True,False,True
600759.SH,9.09,5.17,-43.0,True,1.06,下跌,True,False,False,True
603106.SH,11.19,8.82,-21.0,True,1.0,下跌,True,True,False,True
600650.SH,17.1,12.46,-27.0,True,1.23,下跌,True,True,False,True
603662.SH,73.3,55.81,-24.0,True,1.05,下跌,True,True,False,True
603172.SH,31.13,20.91,-33.0,True,1.15,下跌,True,True,False,True
600858.SH,7.28,5.54,-24.0,True,1.17,下跌,True,True,False,True
603888.SH,27.23,20.5,-25.0,True,1.02,下跌,True,True,True,True
002402.SZ,40.49,31.5,-22.0,True,1.09,下跌,True,False,False,True
002050.SZ,58.6,44.94,-23.0,True,1.04,下跌,True,True,False,True
603926.SH,28.2,19.02,-33.0,True,1.28,下跌,True,False,False,True
002516.SZ,7.32,5.7,-22.0,True,1.17,下跌,True,True,False,True
000096.SZ,13.27,9.59,-28.0,True,1.05,下跌,True,True,False,True
001337.SZ,73.55,47.37,-36.0,True,1.02,下跌,True,False,False,True
002145.SZ,5.79,4.64,-20.0,True,1.02,下跌,True,True,False,True
600570.SH,32.96,26.2,-21.0,True,1.06,下跌,True,True,False,True
600456.SH,45.4,34.98,-23.0,True,1.29,下跌,True,False,False,True
002167.SZ,16.6,13.01,-22.0,True,1.01,下跌,True,False,False,True
002570.SZ,6.42,4.87,-24.0,True,1.15,下跌,True,True,False,True
001202.SZ,24.38,16.58,-32.0,True,1.02,下跌,True,True,False,True
600635.SH,7.38,5.33,-28.0,True,1.53,下跌,True,True,False,True
600143.SH,22.01,16.71,-24.0,True,1.06,下跌,True,True,False,True
603915.SH,19.4,15.21,-22.0,True,1.02,下跌,True,True,False,True
600916.SH,14.85,8.84,-40.0,True,1.03,下跌,True,True,False,True
002765.SZ,13.28,10.11,-24.0,True,1.13,下跌,True,True,False,True
000501.SZ,11.02,8.23,-25.0,True,1.21,下跌,True,True,False,True
601008.SH,6.24,4.74,-24.0,True,1.14,下跌,True,True,False,True
002637.SZ,17.16,12.27,-28.0,True,1.43,下跌,True,False,False,True
603755.SH,39.7,28.4,-28.0,True,1.12,下跌,True,True,False,True
002171.SZ,15.09,11.65,-23.0,True,1.01,下跌,True,False,False,True
601890.SH,14.32,10.75,-25.0,True,1.45,下跌,True,False,False,True
601599.SH,5.64,3.76,-33.0,True,1.06,下跌,True,True,True,True
002601.SZ,23.79,17.59,-26.0,True,1.09,下跌,True,True,False,True
600131.SH,24.13,18.2,-25.0,True,1.11,下跌,True,True,False,True
603848.SH,21.38,15.46,-28.0,True,1.23,下跌,True,True,False,True
002590.SZ,16.25,12.38,-24.0,True,1.06,下跌,True,True,False,True
600278.SH,9.23,7.2,-22.0,True,1.01,下跌,True,True,False,True
000156.SZ,10.01,7.42,-26.0,True,1.1,下跌,True,True,False,True
603210.SH,20.35,16.25,-20.0,True,1.06,下跌,True,True,False,True
603344.SH,34.67,27.81,-20.0,True,1.24,下跌,True,True,False,True
603313.SH,10.77,7.71,-28.0,True,1.04,下跌,True,True,False,True
000733.SZ,59.87,46.82,-22.0,True,1.07,下跌,True,True,False,True
603896.SH,22.97,18.1,-21.0,True,1.07,下跌,True,True,False,True
002040.SZ,13.17,9.85,-25.0,True,1.05,下跌,True,True,False,True
605155.SH,21.78,15.55,-29.0,True,1.03,下跌,True,True,False,True
000407.SZ,6.19,4.69,-24.0,True,1.06,下跌,True,True,False,True
002568.SZ,22.22,16.84,-24.0,True,1.18,下跌,True,True,False,True
000758.SZ,9.53,6.92,-27.0,True,1.21,下跌,True,False,False,True
001205.SZ,18.41,14.6,-21.0,True,1.02,下跌,True,True,False,True
002968.SZ,14.34,11.47,-20.0,True,1.05,下跌,True,True,False,True
603236.SH,100.5,76.53,-24.0,True,1.77,下跌,True,True,False,True
600711.SH,18.73,14.14,-25.0,True,1.08,下跌,True,False,False,True
600609.SH,5.14,3.94,-23.0,True,1.06,下跌,True,True,False,True
603535.SH,10.4,8.11,-22.0,True,1.16,下跌,True,True,False,True
002249.SZ,12.16,9.22,-24.0,True,1.04,下跌,True,True,False,True
600028.SH,8.11,5.39,-34.0,True,1.3,下跌,True,True,False,True
601958.SH,27.65,19.67,-29.0,True,1.24,下跌,True,False,False,True
002978.SZ,43.4,33.25,-23.0,True,1.25,下跌,True,True,False,True
605337.SH,14.95,11.01,-26.0,True,1.03,下跌,True,True,False,True
001233.SZ,90.28,67.52,-25.0,True,1.08,下跌,True,True,False,True
001380.SZ,25.07,19.11,-24.0,True,1.11,下跌,True,True,False,True
601808.SH,21.85,14.97,-31.0,True,1.2,下跌,True,True,False,True
002223.SZ,42.19,31.78,-25.0,True,1.09,下跌,True,True,False,True
603013.SH,27.31,18.7,-32.0,True,1.02,下跌,True,True,False,True
600618.SH,18.19,13.12,-28.0,True,1.35,下跌,True,False,True,True
001386.SZ,27.28,18.85,-31.0,True,1.9,下跌,True,True,False,True
002140.SZ,15.52,12.38,-20.0,True,1.03,下跌,True,True,False,True
603080.SH,27.57,21.6,-22.0,True,1.01,下跌,True,True,False,True
600585.SH,26.93,21.4,-21.0,True,1.03,下跌,True,True,False,True
002852.SZ,12.19,9.63,-21.0,True,1.06,下跌,True,True,False,True
000899.SZ,16.15,12.93,-20.0,True,1.16,下跌,True,False,False,True
600761.SH,24.39,17.13,-30.0,True,1.3,下跌,True,True,False,True
600612.SH,52.16,40.31,-23.0,True,1.27,下跌,True,True,False,True
601881.SH,15.5,12.42,-20.0,True,1.07,下跌,True,True,False,True
600968.SH,5.8,4.22,-27.0,True,1.03,下跌,True,True,False,True
000151.SZ,13.98,11.0,-21.0,True,1.16,下跌,True,True,True,True
600662.SH,6.45,5.1,-21.0,True,1.33,下跌,True,True,False,True
601688.SH,23.69,18.78,-21.0,True,1.15,下跌,True,True,False,True
600690.SH,26.49,20.48,-23.0,True,1.02,下跌,True,True,False,True
601669.SH,7.19,5.78,-20.0,True,1.05,下跌,True,True,False,True
002612.SZ,21.06,16.56,-21.0,True,1.13,下跌,True,True,False,True
601628.SH,50.7,36.78,-27.0,True,1.1,下跌,True,True,False,True
601601.SH,46.81,36.62,-22.0,True,1.09,下跌,True,True,False,True
603359.SH,7.35,5.61,-24.0,True,1.1,下跌,True,True,False,True
600121.SH,5.85,4.17,-29.0,True,1.0,下跌,True,True,False,True
601015.SH,5.88,3.98,-32.0,True,1.1,下跌,True,True,False,True
000635.SZ,10.93,8.04,-26.0,True,1.11,下跌,True,True,False,True
600403.SH,7.88,5.67,-28.0,True,1.29,下跌,True,True,False,True
002855.SZ,17.0,11.55,-32.0,True,1.01,下跌,True,True,False,True
