时间,代码,名称,板块,相关信息
13:30:50,600887,伊利股份,60日新低,"25.330000,25.34000,-0.010156"
13:15:21,002596,海南瑞泽,60日新低,"3.480000,3.48000,-0.027933"
13:07:17,600708,光明地产,60日新低,"3.190000,3.20000,-0.047619"
13:03:07,603053,成都燃气,60日新低,"9.560000,9.57000,-0.009317"
13:01:33,000852,石化机械,60日新低,"6.700000,6.71000,-0.023290"
13:01:31,603605,珀莱雅,60日新低,"59.060000,59.06000,-0.015338"
13:00:03,002318,久立特材,60日新低,"28.760000,28.80000,-0.033233"
11:27:19,600125,铁龙物流,60日新低,"6.110000,6.11000,-0.014516"
11:22:09,002524,光正眼科,60日新低,"4.000000,4.00000,-0.038462"
11:05:24,002923,润都股份,60日新低,"12.550000,12.55000,-0.027885"
11:03:00,603369,今世缘,60日新低,"25.650000,25.66000,-0.026555"
10:57:30,002027,分众传媒,60日新低,"6.150000,6.16000,-0.020668"
10:45:01,600608,*ST沪科,60日新低,"2.260000,2.26000,-0.050420"
10:40:54,000421,南京公用,60日新低,"6.010000,6.01000,-0.011513"
09:57:45,002893,京能热力,60日新低,"10.250000,10.25000,-0.010618"
09:57:41,601399,国机重装,60日新低,"4.190000,4.20000,-0.020979"
09:57:17,600997,开滦股份,60日新低,"5.650000,5.65000,-0.017391"
09:55:11,601011,宝泰隆,60日新低,"3.170000,3.18000,-0.015480"
09:54:33,000048,京基智农,60日新低,"14.600000,14.81000,-0.037687"
09:52:36,002453,华软科技,60日新低,"4.800000,4.81000,-0.024341"
09:51:57,000639,西王食品,60日新低,"2.160000,2.16000,-0.027027"
09:50:37,600868,梅雁吉祥,60日新低,"3.330000,3.33000,-0.037572"
09:50:03,000966,长源电力,60日新低,"4.300000,4.31000,-0.006912"
09:49:30,002207,准油股份,60日新低,"7.220000,7.23000,-0.038564"
09:48:36,000631,顺发恒能,60日新低,"3.210000,3.22000,-0.012270"
09:40:37,600491,龙元建设,60日新低,"2.340000,2.35000,-0.028926"
09:40:18,002078,太阳纸业,60日新低,"14.320000,14.33000,-0.013085"
09:39:45,601279,英利汽车,60日新低,"3.920000,3.92000,-0.015075"
09:38:33,000503,国新健康,60日新低,"7.570000,7.58000,-0.020672"
09:37:33,600193,*ST创兴,60日新低,"2.990000,2.99000,-0.035484"
09:35:57,603568,伟明环保,60日新低,"22.940000,22.95000,-0.010349"
09:35:25,600028,中国石化,60日新低,"5.630000,5.63000,-0.005300"
09:34:02,600415,小商品城,60日新低,"12.130000,12.14000,-0.015410"
09:33:06,001323,慕思股份,60日新低,"23.420000,23.42000,-0.011814"
09:32:30,600421,*ST华嵘,60日新低,"5.580000,5.58000,-0.024476"
09:31:15,002847,盐津铺子,60日新低,"54.210000,54.24000,-0.011301"
09:31:02,605507,国邦医药,60日新低,"24.030000,24.15000,-0.004124"
09:30:35,601888,中国中免,60日新低,"67.730000,67.76000,-0.010658"
09:30:30,002501,利源股份,60日新低,"1.700000,1.71000,-0.060440"
09:30:20,601019,山东出版,60日新低,"7.680000,7.70000,-0.002591"
09:25:04,600636,*ST国化,60日新低,"6.100000,6.10000,-0.048362"
09:25:03,603189,网达软件,60日新低,"15.250000,15.25000,-0.099764"
09:25:03,600082,ST海泰,60日新低,"2.910000,2.91000,-0.030000"
09:25:03,600696,*ST岩石,60日新低,"0.980000,0.98000,-0.048544"
09:25:01,600436,片仔癀,60日新低,"147.470000,147.47000,-0.004052"
09:25:01,600734,实达集团,60日新低,"3.410000,3.41000,-0.100264"
09:25:00,000568,泸州老窖,60日新低,"101.000000,101.00000,-0.019893"
09:25:00,000581,威孚高科,60日新低,"19.700000,19.70000,-0.053340"
