代码,名称,peTTM,pbMRQ,isST
sh.600561,江西长运,10682.2,2.1,0
sh.603858,步长制药,10586.4,1.7,0
sh.603516,淳中科技,5927.8,21.5,0
sz.002491,通鼎互联,4971.5,7.5,0
sh.600328,中盐化工,4741,1,0
sz.000593,德龙汇能,4518.6,7.7,0
sz.001331,胜通能源,4331.2,9.5,0
sh.600118,中国卫星,2857.7,16,0
sz.002235,安妮股份,2635.3,7.3,0
sz.001236,弘业期货,2349.9,5,0
sh.600698,湖南天雁,1857.9,10.1,0
sz.002792,通宇通讯,1761.9,9.6,0
sz.002544,普天科技,1755.5,4.9,0
sh.600616,金枫酒业,1642.7,1.7,0
sz.002527,新时达,1606,7.1,0
sh.605188,国光连锁,1470.1,7.4,0
sh.600518,康美药业,1454.3,3.4,0
sh.603026,石大胜华,1435.1,4.6,0
sz.002490,山东墨龙,1344.8,13.9,0
sz.003040,楚天龙,1263.7,5.3,0
sh.600330,天通股份,1227.8,3.3,0
sh.600127,金健米业,1187.4,6.7,0
sh.600775,南京熊猫,1147,3.9,0
sh.603023,威帝股份,1127.3,3.2,0
sz.002342,巨力索具,1049.4,7.5,0
sh.600877,电科芯片,1044.7,8.3,0
sz.002796,世嘉科技,1033.7,15.7,0
sh.605008,长鸿高科,1013.1,3.9,0
sz.002428,云南锗业,969.5,27.8,0
sz.002809,红墙股份,951.6,1.5,0
sz.002951,金时科技,908.4,3.8,0
sz.002217,合力泰,882.1,10.7,0
sz.000158,常山北明,851.3,5.3,0
sh.603353,和顺石油,844.3,4.1,0
sz.002389,航天彩虹,817.6,2.7,0
sh.603110,东方材料,797.2,5.1,0
sz.002718,友邦吊顶,791.7,10.7,0
sz.002455,百川股份,765.2,4.7,0
sz.002456,欧菲光,762.3,7.9,0
sh.603196,璞源材料,744.8,7.3,0
sz.002210,飞马国际,734.6,7.1,0
sh.600316,洪都航空,725.2,5.4,0
sz.001313,粤海饲料,718.3,2.3,0
sh.603189,网达软件,715.7,2.7,0
sh.600703,三安光电,705.9,1.9,0
sh.605398,新炬网络,667.4,4.3,0
sh.600084,中信尼雅,632.5,5.8,0
sz.002162,悦心健康,627.5,5.1,0
sh.600058,五矿发展,625.1,2.4,0
sh.603085,天成自控,620.4,5.3,0
sz.002931,锋龙股份,618,16.2,0
sh.600257,大湖股份,606.1,3.8,0
sz.000981,山子高科,597.8,24.1,0
sz.002177,御银股份,597.6,3.5,0
sh.600730,中国高科,596.5,2.8,0
sh.603336,宏辉果蔬,595.1,4,0
sh.600653,申华控股,589,4.7,0
sz.002646,天佑德酒,585.2,1.3,0
sh.600520,三佳科技,576.6,11.3,0
sh.603159,上海亚虹,575.9,7.5,0
sh.600390,五矿资本,568.9,0.6,0
sh.600158,中体产业,566.2,4,0
sh.603701,德宏股份,563.2,8.1,0
sz.002932,明德生物,559.9,0.7,0
sh.600797,浙大网新,557.7,2.8,0
sz.002633,申科股份,550,6.7,0
sz.002976,瑞玛精密,549.9,5.2,0
sz.000565,渝三峡A,539.7,2.5,0
sz.002877,智能自控,536.4,2.6,0
sh.601777,千里科技,535.6,4.4,0
sz.000677,恒天海龙,533.1,7.7,0
sh.600516,方大炭素,528.3,1.4,0
sz.002212,天融信,524.9,0.9,0
sz.000886,海南高速,515,1.9,0
sz.002361,神剑股份,512.9,8.1,0
sz.000831,中国稀土,510.7,11.4,0
sh.603232,格尔软件,498.9,3.5,0
sh.605255,天普股份,494.1,19.9,0
sz.001259,利仁科技,473.9,3.2,0
sz.000586,汇源通信,467.2,11.1,0
sz.002747,埃斯顿,459.9,10.5,0
sh.603052,可川科技,459,14.4,0
sh.600371,万向德农,456.1,4.7,0
sh.600640,国脉文化,446.6,2.4,0
sh.603066,音飞储存,444.6,2,0
sh.600123,兰花科创,425.3,0.6,0
sh.600178,东安动力,424.4,2.1,0
sz.000973,佛塑科技,419.2,15.5,0
sz.002577,雷柏科技,407.4,3.7,0
