序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
3,603293,埃泰克,64.71,93.22%,118.49%,-2.87亿
6,605388,均瑶健康,8.87,33.18%,24.30%,-2.93亿
10,600683,京投发展,11.99,33.07%,10.92%,-5299.30万
11,603629,利通电子,105.44,31.88%,53.35%,1.94亿
14,603698,航天工程,46.19,28.52%,29.34%,-2.69亿
29,603315,福鞍股份,18.52,21.12%,35.14%,-5399.35万
30,605222,起帆电缆,28.4,21.11%,20.04%,975.75万
33,603897,长城科技,51.67,20.50%,27.28%,3445.77万
34,603083,剑桥科技,145.29,20.45%,48.42%,6.28亿
35,600961,株冶集团,22.09,20.18%,6.63%,-2.94亿
37,603950,长源东谷,65.21,19.87%,17.77%,2926.41万
43,603052,可川科技,83.35,19.00%,13.57%,1.36亿
44,603285,键邦股份,37.42,18.79%,40.35%,-5566.46万
45,600156,华升股份,9.26,18.72%,17.96%,-2.98亿
46,605365,立达信,25.53,18.63%,11.62%,-1.04亿
47,603826,坤彩科技,34.37,18.52%,9.32%,8411.75万
49,603322,超讯通信,38.09,17.63%,39.10%,-2.48亿
50,603063,禾望电气,40.63,17.53%,43.96%,-5.16亿
51,603773,沃格光电,52.9,17.50%,31.38%,-2.60亿
53,603687,大胜达,19.25,17.38%,56.94%,-7.74亿
58,600152,维科技术,13.9,16.90%,88.07%,-2.25亿
60,605098,行动教育,63.83,16.73%,9.79%,-4523.72万
67,603985,恒润股份,24.6,16.31%,48.62%,-1.39亿
78,605081,*ST太和,7.57,15.40%,7.98%,-1117.52万
83,605298,必得科技,54.75,14.83%,4.17%,-924.45万
91,603032,德新科技,22.76,14.60%,33.78%,3375.69万
92,601778,晶科科技,6.91,14.59%,68.45%,5.26亿
98,603220,中贝通信,32.24,14.29%,56.48%,4.33亿
106,605133,嵘泰股份,32.32,14.08%,16.44%,1.93亿
108,600707,彩虹股份,7.79,14.06%,12.10%,-2962.03万
114,603815,交建股份,6.57,13.67%,25.19%,-3308.09万
115,600552,凯盛科技,15.02,13.62%,21.88%,7114.43万
116,600338,西藏珠峰,21.71,13.61%,35.92%,7.44亿
118,603016,新宏泰,49.81,13.57%,16.52%,-52.01万
128,600234,科新发展,19.92,13.05%,7.02%,-4922.13万
130,603150,万朗磁塑,59.09,12.98%,12.88%,-6465.31万
132,605289,罗曼股份,129.91,12.87%,18.64%,-1.53亿
133,600520,三佳科技,27.81,12.87%,13.86%,3194.06万
135,601619,嘉泽新能,6.19,12.75%,15.05%,1.27亿
137,603926,铁流股份,20.02,12.66%,8.85%,1542.51万
141,605166,聚合顺,11.33,12.40%,13.70%,-195.14万
148,603301,振德医疗,95.36,12.19%,4.48%,2.49亿
150,603327,福蓉科技,10.74,12.11%,19.86%,-1.21亿
157,603045,福达合金,36.22,11.82%,15.53%,4835.22万
165,605598,上海港湾,54.09,11.55%,11.98%,-2574.58万
169,600749,西藏旅游,20.3,11.29%,47.16%,-1552.65万
172,603890,春秋电子,18.92,11.23%,53.20%,-2.32亿
173,603031,安孚科技,57.46,11.14%,14.88%,6907.68万
176,605303,园林股份,24.44,11.09%,21.96%,153.47万
177,600105,永鼎股份,41.3,11.08%,41.05%,13.78亿
184,603129,春风动力,278.01,10.98%,5.91%,3.79亿
188,603178,圣龙股份,17.42,10.81%,5.86%,-4920.92万
196,603730,岱美股份,9.99,10.63%,3.66%,9321.55万
200,603101,汇嘉时代,9.95,10.43%,22.45%,-7123.93万
204,605366,宏柏新材,13.45,10.34%,20.05%,1189.16万
210,603278,大业股份,12.01,10.18%,11.54%,-1554.28万
216,600768,宁波富邦,17.83,10.13%,29.27%,-1758.20万
234,603906,龙蟠科技,25.99,9.76%,33.72%,-3.83亿
236,603203,快克智能,48.25,9.73%,7.06%,-3041.26万
240,603038,华立股份,16.62,9.63%,8.42%,2375.67万
242,600295,鄂尔多斯,15.29,9.61%,2.39%,-894.30万
247,603991,至正股份,115.72,9.56%,11.77%,8081.86万
251,603633,徕木股份,8.44,9.47%,17.11%,2691.21万
253,600666,奥瑞德,7.09,9.41%,76.96%,4.96亿
257,600719,大连热电,7.38,9.33%,19.79%,5877.73万
258,600135,乐凯胶片,11.13,9.33%,18.30%,-2688.52万
270,600703,三安光电,13.34,9.17%,15.48%,4.90亿
273,601126,四方股份,48.13,9.14%,12.51%,5748.31万
277,603922,金鸿顺,21.51,9.08%,9.16%,257.65万
278,600507,方大特钢,6.01,9.07%,7.72%,670.79万
281,603118,共进股份,15.18,9.05%,20.76%,-3.10亿
285,605060,联德股份,60.22,9.03%,13.88%,-1.38亿
287,603613,国联股份,27.8,8.98%,6.88%,1.17亿
294,600962,国投中鲁,20.71,8.89%,4.85%,-365.10万
