序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,科创次新股,21,679.46,9.00%,39.13,35.7,3.43
2,培育钻石,18,2032.39,7.47%,31.21,28.15,3.06
3,共封装光学(CPO),159,5336.11,7.24%,1530.74,1527.58,3.17
4,PCB概念,197,2343.4,6.23%,791.97,789.37,2.6
5,PET铜箔,47,1820.16,6.01%,122.2,127.97,-5.78
6,先进封装,157,2248.44,5.79%,751.04,742.74,8.3
7,2026一季报预增,93,1194.43,5.69%,414.02,445.68,-31.67
8,算力租赁,170,1576.35,5.62%,530.29,532.75,-2.46
9,富士康概念,106,3409.45,5.42%,407.27,357.67,49.59
10,存储芯片,175,2188.7,5.35%,931.67,864.48,67.18
11,太赫兹,21,2484.34,5.22%,127.8,135.56,-7.76
12,智慧灯杆,63,1688.87,5.22%,57.84,63.88,-6.04
13,英伟达概念,78,1809.63,5.19%,467.63,452.81,14.83
14,6G概念,94,2588.31,5.07%,504.59,518.11,-13.52
15,F5G概念,36,4369.01,5.04%,393.97,436.62,-42.65
16,液冷服务器,194,2240.77,5.00%,888.62,875.16,13.46
17,第三代半导体,159,2329.74,4.93%,535.91,531.17,4.75
18,云游戏,27,1719.82,4.90%,65.45,77.83,-12.38
19,卫星导航,275,5100.34,4.87%,775.95,720.06,55.89
20,铜缆高速连接,45,3011.6,4.77%,295.41,330.92,-35.51
21,商业航天,487,2444.88,4.68%,1274.59,1210.23,64.36
22,航空发动机,97,3628.17,4.67%,209.18,225.93,-16.75
23,毫米波雷达,124,2178.38,4.65%,382.85,358.31,24.55
24,东数西算(算力),377,2426.11,4.65%,1347.56,1359.72,-12.16
25,光刻机,47,2334.73,4.63%,139.25,138.08,1.16
26,5G,446,6495.02,4.62%,1875.61,1867.19,8.41
27,军工信息化,111,1990.46,4.61%,186.59,156.22,30.38
28,消费电子概念,478,3172.91,4.57%,1214.96,1184.26,30.7
29,固态电池,287,1567.58,4.56%,888.09,831.66,56.43
30,华为手机,45,1729.75,4.55%,187.1,186.18,0.91
31,柔性屏(折叠屏),106,3151.29,4.52%,275.21,293.59,-18.38
32,芯片概念,859,4752.93,4.50%,3034.9,2940.31,94.59
33,华为海思概念股,49,4082.23,4.42%,134.24,137.37,-3.13
34,新股与次新股,123,16716.7,4.42%,91.42,95.49,-4.06
35,工业母机,111,2050.12,4.40%,203.7,219.54,-15.83
36,光纤概念,90,3509.68,4.40%,578.58,640.76,-62.18
37,MicroLED概念,70,1746.99,4.36%,196.58,238.21,-41.64
38,成飞概念,43,1966.96,4.32%,57.59,60.84,-3.25
39,OLED,150,2848.25,4.31%,386.77,396.52,-9.75
40,苹果概念,138,5860.51,4.31%,569.72,574.49,-4.77
41,BC电池,50,1335.16,4.31%,115.55,137.09,-21.54
42,同花顺新质50,50,2554.3,4.23%,520.41,501.69,18.72
43,金属锌,44,2403.75,4.20%,129.44,125.2,4.24
44,汽车芯片,140,1311.89,4.18%,523.69,504.53,19.16
45,传感器,263,1660.35,4.14%,470.65,485.95,-15.3
46,MiniLED,101,2498.2,4.11%,369.12,392.79,-23.67
47,军工,602,2615.32,4.09%,1165.64,1114.75,50.88
48,EDR概念,20,1629.84,4.08%,73.32,77.03,-3.71
49,3D打印,132,4701.37,4.08%,294.6,332.71,-38.1
50,电力物联网,86,2331.36,4.07%,90.03,89.23,0.8
51,汽车电子,380,5617.1,4.06%,1219.82,1206.07,13.75
52,云计算,219,4351.38,4.06%,522.16,541.89,-19.73
53,新型烟草(电子烟),53,2095.22,4.03%,149.79,138.81,10.98
54,华为盘古,29,1106.38,4.03%,36.4,32.89,3.52
55,数据中心,592,2481.74,4.01%,2565.69,2531.76,33.93
56,专精特新,1170,1743.8,4.00%,1457.53,1427.13,30.41
57,碳纤维,75,2195.43,4.00%,83.16,81.05,2.11
58,钠离子电池,136,1467.56,3.97%,503.52,460.23,43.29
59,人脸识别,111,1453.68,3.96%,126.1,134.25,-8.15
60,超导概念,32,2698.14,3.91%,78.85,94.38,-15.53
61,核污染防治,59,1646.25,3.90%,62.63,65.73,-3.1
62,AI眼镜,183,2607.49,3.82%,619.57,614.98,4.59
63,军民融合,244,1789.54,3.82%,402.45,370.96,31.48
64,人形机器人,429,2553.08,3.81%,999.91,956.65,43.26
65,比亚迪概念,661,2067.3,3.80%,1254.9,1249.6,5.3
66,金属钴,33,3034.28,3.80%,220.69,196.19,24.5
67,快手概念,49,2118.44,3.79%,141.83,137.85,3.98
68,光刻胶,72,4496.37,3.79%,109.18,105.92,3.26
69,无人机,455,3348.65,3.78%,888.06,815.68,72.38
70,宁德时代概念,282,2471.59,3.77%,870.58,855.72,14.86
71,华为概念,999,3705.09,3.77%,2340.22,2411.07,-70.85
72,钙钛矿电池,89,1237.11,3.76%,223.64,284.29,-60.65
73,无线充电,57,2143.22,3.76%,134.17,121.2,12.96
74,飞行汽车(eVTOL),266,2046.88,3.75%,212.71,200.32,12.39
75,智能穿戴,233,4362.07,3.75%,688.52,661.67,26.85
76,安防,174,5294.45,3.74%,242.35,248.02,-5.67
77,金属铅,40,2169.85,3.73%,130.2,130.97,-0.77
78,特斯拉概念,247,5995.16,3.69%,828.59,795.21,33.39
79,Sora概念(文生视频),48,2429.02,3.64%,82.93,72.95,9.98
80,低空经济,483,2334.1,3.64%,895.5,842.17,53.32
81,锂电池概念,581,2083.04,3.64%,1583.09,1525.19,57.9
82,华为昇腾,105,1780.88,3.63%,187.96,182.37,5.58
83,抖音概念(字节概念),212,1806.13,3.62%,564.27,582.91,-18.64
84,两轮车,68,1990.94,3.61%,127.75,120.5,7.26
85,财税数字化,66,1962.93,3.61%,64.33,65.07,-0.74
86,2025年报预增,505,1216.82,3.60%,1662.92,1567.14,95.79
87,华为数字能源,44,1703.8,3.58%,92.67,94.53,-1.86
88,小米概念,369,2132.28,3.56%,980.5,948.78,31.72
89,空间计算,62,1373.52,3.54%,60.91,56.54,4.36
90,腾讯概念,293,1439.43,3.53%,723.92,790.06,-66.13
91,钛白粉概念,15,2104.36,3.52%,15.81,15.47,0.34
92,金属回收,84,1322.1,3.51%,202.69,211.36,-8.67
93,ERP概念,36,1516.76,3.50%,29.56,31.19,-1.63
94,无人驾驶,400,3092.91,3.47%,967.23,1012.06,-44.83
95,中芯国际概念,87,2662.04,3.45%,351.67,333.81,17.86
96,智谱AI,69,1582.74,3.44%,162.59,167.16,-4.57
97,同花顺果指数,20,2114.96,3.43%,297.34,255.77,41.58
98,物联网,459,3255.12,3.42%,956.65,946.67,9.98
99,HJT电池,65,3376.37,3.40%,126.53,148.9,-22.37
100,大飞机,151,4181.36,3.40%,319.0,336.44,-17.44
101,动力电池回收,94,1012.19,3.38%,448.84,420.58,28.26
102,核电,340,4434.58,3.36%,539.37,584.09,-44.72
103,车联网(车路协同),295,1271.53,3.36%,428.13,448.72,-20.58
104,智能音箱,59,2738.65,3.35%,228.72,222.62,6.1
