序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
2,600183,生益科技,69.25,71.0,52.03,10,34.13,25.88,元件
3,603897,长城科技,51.67,52.96,31.5,10,62.43,81.3,电网设备
4,605303,园林股份,24.44,25.33,15.95,10,51.33,67.54,建筑装饰
6,000695,滨海能源,14.99,15.31,11.71,9,27.79,84.76,电池
7,000967,盈峰环境,14.0,14.3,8.88,9,55.38,54.5,环保设备
8,002156,通富微电,48.18,49.17,40.65,9,19.2,40.8,半导体
9,002654,万润科技,15.3,15.52,12.53,9,23.19,53.43,光学光电子
10,002990,盛视科技,50.95,50.95,30.44,9,67.43,123.26,计算机设备
14,603909,建发合诚,13.55,13.8,10.63,9,26.99,47.33,建筑装饰
18,003023,彩虹集团,28.85,28.9,24.2,8,20.21,39.29,小家电
21,600234,科新发展,19.92,19.92,14.54,8,37.0,18.68,建筑装饰
22,603083,剑桥科技,145.29,145.29,104.99,8,43.27,114.94,通信设备
23,603950,长源东谷,65.21,65.8,40.8,8,75.82,38.97,汽车零部件
24,002246,北化股份,26.16,26.29,23.5,7,11.99,28.82,化学制品
25,002580,圣阳股份,30.58,30.58,15.02,7,95.03,185.16,电池
26,600777,*ST新潮,5.86,5.93,5.23,7,11.83,3.07,油气开采及服务
27,000498,山东路桥,6.05,6.06,5.66,6,6.51,6.16,建筑装饰
28,000776,广发证券,20.11,20.24,18.6,6,10.86,7.91,证券
29,001896,豫能控股,17.08,18.09,12.63,6,33.44,76.75,电力
30,002079,苏州固锝,10.44,10.55,9.52,6,9.32,19.67,光伏设备
31,002268,电科网安,17.38,17.65,16.76,6,4.51,6.04,计算机设备
32,002389,航天彩虹,22.36,22.58,21.31,6,4.88,14.46,军工装备
33,002812,恩捷股份,71.67,73.66,65.13,6,8.89,26.37,电池
34,002948,青岛银行,5.26,5.31,5.11,6,2.73,6.26,银行
35,002961,瑞达期货,23.96,24.76,22.18,6,9.26,13.68,多元金融
36,003035,南网能源,7.94,8.2,7.42,6,6.58,11.5,电力
61,600238,*ST椰岛,4.67,4.78,3.54,6,25.2,20.96,饮料制造
62,600348,华阳股份,9.3,9.36,9.02,6,2.76,4.92,煤炭开采加工
63,600360,*ST华微,10.01,10.01,9.03,6,10.12,9.16,半导体
64,603016,新宏泰,49.81,51.21,41.7,6,18.15,27.09,电网设备
65,603025,大豪科技,15.35,15.53,13.93,6,10.59,9.08,自动化设备
66,603032,德新科技,22.76,23.43,17.88,6,28.51,48.52,电池
67,603312,西典新能,42.0,42.13,38.99,6,8.47,17.59,电网设备
68,603322,超讯通信,38.09,39.7,31.23,6,20.96,45.69,IT服务
69,603325,博隆技术,76.42,76.77,73.06,6,4.31,10.87,专用设备
70,603396,金辰股份,35.83,35.91,33.79,6,6.35,16.06,光伏设备
71,603557,ST起步,4.28,4.28,3.59,6,18.89,11.64,服装家纺
72,603959,百利科技,7.02,7.24,5.93,6,17.79,43.98,电池
73,605179,一鸣食品,18.05,18.44,17.02,6,6.49,4.28,饮料制造
89,000035,中国天楹,7.1,7.26,6.55,5,7.25,12.95,环境治理
90,002015,协鑫能科,18.53,19.35,17.1,5,6.74,52.11,电力
91,002032,苏泊尔,46.5,46.57,44.9,5,2.69,1.12,小家电
92,002277,友阿股份,5.77,5.82,5.49,5,3.41,6.13,零售
93,002297,博云新材,17.69,17.69,12.08,5,61.11,48.01,军工装备
94,002342,巨力索具,19.06,19.68,15.56,5,22.97,142.52,通用设备
95,002630,ST华西,2.24,2.24,1.81,5,19.15,27.35,其他电源设备
96,002785,万里石,42.75,44.8,39.33,5,7.41,17.67,建筑材料
97,002843,泰嘉股份,25.44,25.88,23.21,5,7.57,58.77,通用设备
116,600152,维科技术,13.9,13.9,9.94,5,41.4,119.62,电池
117,600821,金开新能,9.08,9.3,7.89,5,13.64,80.2,电力
118,601288,农业银行,7.06,7.12,6.55,5,7.13,0.62,银行
119,601298,青岛港,8.89,8.97,8.54,5,2.89,0.78,港口航运
120,601665,齐鲁银行,6.14,6.19,5.78,5,5.86,4.5,银行
121,601778,晶科科技,6.91,7.33,4.98,5,36.83,93.65,电力
122,603002,宏昌电子,12.94,14.14,10.8,5,18.28,44.14,电子化学品
123,603057,紫燕食品,25.95,26.77,24.22,5,5.02,4.31,食品加工制造
124,603220,中贝通信,32.24,33.23,26.0,5,21.75,78.01,通信服务
125,603301,振德医疗,95.36,96.5,82.0,5,16.62,7.09,医疗器械
126,603315,福鞍股份,18.52,18.52,14.88,5,22.97,43.04,环境治理
127,603409,汇通控股,43.54,44.47,39.0,5,11.33,53.17,汽车零部件
128,603698,航天工程,46.19,46.84,31.93,5,44.48,41.6,专用设备
129,603701,德宏股份,24.86,25.34,23.54,5,4.32,9.74,汽车零部件
130,603721,*ST天择,22.2,22.65,20.2,5,10.56,10.58,影视院线
131,603890,春秋电子,18.92,19.38,15.46,5,20.97,73.51,消费电子
132,605081,*ST太和,7.57,7.59,5.98,5,24.3,13.82,环境治理
133,605598,上海港湾,54.09,55.58,46.6,5,14.55,14.5,建筑装饰
143,000004,*ST国华,3.76,3.82,3.19,4,19.75,21.31,软件开发
144,000301,东方盛虹,12.17,12.6,11.02,4,9.05,1.65,石油加工贸易
145,000333,美的集团,78.65,79.25,75.5,4,3.79,1.5,白色家电
146,000628,高新发展,61.19,64.31,55.81,4,9.42,31.04,建筑装饰
147,000682,东方电子,13.12,13.25,12.62,4,8.16,12.41,电网设备
148,000711,ST京蓝,4.1,4.1,3.39,4,19.88,22.64,环境治理
149,000825,太钢不锈,4.51,4.56,4.35,4,2.5,2.29,钢铁
150,000889,中嘉博创,5.29,5.44,3.89,4,34.95,121.69,通信服务
151,000960,锡业股份,35.58,36.15,33.45,4,9.04,14.56,小金属
152,001300,三柏硕,18.48,18.78,15.93,4,13.58,14.65,家居用品
153,001308,康冠科技,20.78,20.88,20.27,4,2.62,1.29,光学光电子
154,001324,长青科技,20.2,20.66,19.16,4,4.5,13.22,轨交设备
155,001400,江顺科技,193.6,193.6,156.12,4,20.94,78.0,专用设备
156,002003,伟星股份,10.09,10.2,9.61,4,4.99,2.54,纺织制造
157,002062,宏润建设,8.48,8.6,7.17,4,18.27,13.2,建筑装饰
158,002066,瑞泰科技,23.41,23.45,21.61,4,6.6,10.43,建筑材料
159,002073,软控股份,7.31,7.52,7.04,4,3.25,9.75,专用设备
160,002170,芭田股份,13.92,13.99,13.23,4,3.73,18.05,农化制品
161,002242,九阳股份,10.23,10.45,9.66,4,5.57,4.67,小家电
162,002387,维信诺,8.21,8.28,7.97,4,2.24,3.08,光学光电子
163,002472,双环传动,39.19,39.28,37.94,4,3.24,6.35,汽车零部件
164,002557,洽洽食品,23.3,23.45,21.58,4,6.49,4.55,食品加工制造
165,002565,顺灏股份,18.92,19.39,16.1,4,15.23,94.95,包装印刷
166,002655,共达电声,22.91,23.97,21.03,4,8.02,48.14,消费电子
167,002706,良信股份,11.21,11.21,9.47,4,18.25,25.53,电网设备
168,002772,众兴菌业,18.49,18.9,15.8,4,11.25,15.34,种植业与林业
169,002807,江阴银行,4.68,4.7,4.49,4,4.23,5.53,银行
170,002848,*ST高斯,15.54,15.74,13.69,4,11.0,13.73,黑色家电
171,002853,皮阿诺,25.95,26.93,25.01,4,3.18,8.46,家居用品
172,002880,卫光生物,27.37,27.5,26.48,4,2.47,3.3,生物制品
173,002882,金龙羽,30.66,30.99,27.02,4,13.09,22.0,电网设备
174,002884,凌霄泵业,18.87,19.29,17.89,4,5.18,8.72,通用设备
175,002897,意华股份,67.19,68.76,64.73,4,3.5,27.06,通信设备
176,002940,昂利康,39.16,39.16,29.51,4,31.1,49.79,化学制药
177,002967,广电计量,22.15,22.75,20.47,4,8.05,7.37,其他社会服务
178,003033,征和工业,61.68,62.66,57.4,4,5.98,8.9,汽车服务及其他
225,600039,四川路桥,9.67,9.7,9.21,4,4.65,0.78,建筑装饰
226,600262,北方股份,27.3,27.7,25.38,4,7.35,13.36,专用设备
227,600331,宏达股份,16.59,16.87,15.22,4,9.22,11.18,农化制品
228,600343,航天动力,35.67,35.85,31.36,4,12.13,45.6,通用设备
229,600459,贵研铂业,21.18,21.29,20.34,4,4.13,7.98,小金属
230,600539,狮头股份,17.07,17.57,14.56,4,17.72,46.8,互联网电商
231,600552,凯盛科技,15.02,15.02,13.1,4,14.57,25.87,光学光电子
232,600683,京投发展,11.99,11.99,8.91,4,34.12,14.17,房地产
233,600693,东百集团,11.91,12.15,11.05,4,6.53,26.52,零售
234,600885,宏发股份,28.55,28.56,26.3,4,9.01,6.14,电网设备
235,601128,常熟银行,7.21,7.25,7.01,4,2.85,4.71,银行
236,601155,新城控股,14.71,14.98,13.68,4,5.9,3.92,房地产
237,601390,中国中铁,5.32,5.35,5.25,4,1.33,2.71,建筑装饰
238,601577,长沙银行,9.49,9.57,9.32,4,1.82,1.22,银行
239,601799,星宇股份,133.1,136.39,122.01,4,9.06,5.64,汽车零部件
240,601928,凤凰传媒,9.93,9.94,9.62,4,2.69,1.13,文化传媒
241,603006,联明股份,13.3,13.34,12.58,4,3.74,3.54,汽车零部件
242,603031,安孚科技,57.46,57.46,49.77,4,12.05,18.2,电池
243,603037,凯众股份,14.77,14.9,13.27,4,11.3,16.11,汽车零部件
244,603079,圣达生物,17.03,17.07,16.14,4,4.29,4.85,化学制品
245,603085,天成自控,11.87,11.98,10.94,4,7.81,9.45,汽车零部件
246,603101,汇嘉时代,9.95,10.05,8.32,4,16.92,28.14,零售
247,603115,海星股份,47.32,48.95,40.87,4,14.44,17.22,电子化学品
248,603129,春风动力,278.01,283.99,244.01,4,12.55,6.64,汽车服务及其他
249,603173,福斯达,42.83,43.05,40.81,4,4.57,3.25,专用设备
250,603275,众辰科技,47.65,48.0,43.72,4,8.99,24.39,自动化设备
251,603316,诚邦股份,15.6,15.65,14.0,4,9.86,17.65,半导体
252,603377,ST东时,3.86,3.9,3.6,4,6.04,4.62,教育
253,603458,勘设股份,11.95,12.26,10.68,4,9.73,23.15,建筑装饰
254,603515,欧普照明,20.36,20.5,18.89,4,7.05,1.22,光学光电子
255,603613,国联股份,27.8,28.16,25.12,4,10.8,7.92,互联网电商
256,603629,利通电子,105.44,105.44,74.0,4,45.07,65.82,消费电子
257,603633,徕木股份,8.44,8.66,7.54,4,10.62,18.83,汽车零部件
258,603722,阿科力,37.12,37.14,34.1,4,8.67,4.65,化学制品
259,603786,科博达,57.15,58.0,55.55,4,2.75,3.07,汽车零部件
260,603991,至正股份,115.72,116.39,103.06,4,11.48,15.26,半导体
261,605009,豪悦护理,28.52,28.69,27.95,4,1.78,1.66,美容护理
262,605056,咸亨国际,28.57,29.38,25.96,4,4.04,12.43,通用设备
263,605068,明新旭腾,27.81,28.17,25.28,4,9.66,8.1,汽车零部件
264,605080,浙江自然,24.7,24.95,23.33,4,5.96,5.06,家居用品
265,605123,派克新材,101.26,104.88,95.0,4,5.56,10.93,军工装备
266,605133,嵘泰股份,32.32,32.88,27.88,4,14.65,18.59,汽车零部件
267,605188,国光连锁,17.48,17.58,16.9,4,3.25,3.32,零售
268,605196,华通线缆,51.4,51.83,46.52,4,10.8,8.22,电网设备
269,605388,均瑶健康,8.87,8.87,6.37,4,37.31,26.27,饮料制造
314,000037,深南电A,11.07,11.07,9.54,3,13.42,26.05,电力
315,000593,德龙汇能,18.76,19.45,16.21,3,12.67,22.66,燃气
316,000766,通化金马,23.65,23.8,22.1,3,6.44,6.36,化学制药
317,000829,天音控股,10.97,11.11,10.39,3,4.88,8.73,零售
318,000913,钱江摩托,15.48,15.85,14.78,3,4.24,4.33,汽车服务及其他
319,001212,中旗新材,48.81,49.6,47.44,3,1.27,7.26,建筑材料
320,001215,千味央厨,39.49,39.5,37.8,3,4.0,9.47,食品加工制造
321,001228,永泰运,33.88,34.28,33.03,3,1.35,6.45,物流
322,001326,联域股份,56.85,57.34,52.0,3,8.85,22.22,光学光电子
323,001373,翔腾新材,34.63,35.2,33.99,3,1.05,12.1,光学光电子
324,001378,德冠新材,26.1,26.17,24.76,3,9.3,15.8,塑料制品
325,001396,誉帆科技,46.79,47.99,45.52,3,3.02,22.34,其他社会服务
326,002010,传化智联,6.05,6.17,5.77,3,5.03,2.98,物流
327,002180,纳思达,17.77,17.99,16.6,3,8.62,5.51,计算机设备
328,002289,*ST宇顺,26.58,26.58,25.59,3,2.35,1.54,通信服务
329,002416,爱施德,13.8,13.94,13.28,3,4.31,7.21,零售
330,002569,*ST步森,13.85,14.11,12.71,3,10.45,5.17,服装家纺
331,002629,仁智股份,6.7,6.77,6.32,3,4.36,17.15,建筑装饰
332,002635,安洁科技,16.5,17.12,15.34,3,6.73,26.19,消费电子
333,002718,友邦吊顶,75.66,78.58,71.2,3,4.1,6.12,建筑材料
334,002745,木林森,8.69,8.93,8.29,3,3.82,10.97,光学光电子
335,002800,天顺股份,17.49,17.69,16.36,3,5.11,13.73,物流
336,002802,洪汇新材,16.36,16.36,13.23,3,21.28,23.91,化学制品
337,002832,比音勒芬,17.8,18.01,16.96,3,5.64,8.95,服装家纺
338,002878,元隆雅图,17.95,18.11,16.98,3,4.79,17.39,文化传媒
339,002932,明德生物,17.09,17.34,16.67,3,1.73,6.81,医疗器械
340,002937,兴瑞科技,31.64,32.18,30.7,3,2.03,6.44,汽车零部件
341,002997,瑞鹄模具,32.67,32.76,31.35,3,4.11,3.79,汽车零部件
342,003001,中岩大地,17.08,17.23,16.56,3,1.79,9.55,建筑装饰
343,003004,*ST声迅,31.94,32.4,30.05,3,3.17,3.13,计算机设备
372,600033,福建高速,3.7,3.72,3.62,3,1.93,2.44,公路铁路运输
373,600105,永鼎股份,41.3,42.5,36.41,3,11.08,41.05,通信设备
374,600116,三峡水利,6.75,6.89,6.5,3,3.05,4.17,电力
375,600191,华资实业,12.67,12.78,11.7,3,7.74,3.49,农产品加工
376,600259,中稀有色,97.33,101.0,91.1,3,5.85,14.64,小金属
377,600295,鄂尔多斯,15.29,15.49,14.49,3,9.61,2.39,钢铁
378,600350,山东高速,10.22,10.26,9.87,3,3.44,0.32,公路铁路运输
379,600551,时代出版,8.22,8.25,7.93,3,3.27,1.98,文化传媒
380,600581,*ST八钢,3.03,3.07,2.77,3,8.6,10.72,钢铁
381,600586,金晶科技,5.42,5.43,5.22,3,3.04,7.69,化学原料
382,600668,尖峰集团,11.51,11.65,10.93,3,5.31,8.61,建筑材料
383,600751,海航科技,3.84,3.87,3.64,3,4.63,5.33,港口航运
384,600784,鲁银投资,7.45,7.55,6.99,3,5.67,6.45,化学原料
385,600791,京能置业,12.45,12.45,11.36,3,5.06,14.01,房地产
386,600894,广日股份,10.09,10.13,9.76,3,3.06,3.27,专用设备
387,601000,唐山港,4.86,4.92,4.71,3,2.75,1.76,港口航运
388,601126,四方股份,48.13,49.0,43.8,3,9.14,12.51,电网设备
389,601226,华电科工,9.59,9.64,9.12,3,3.45,7.23,建筑装饰
390,601567,三星电气,26.25,26.41,25.23,3,3.84,5.23,电网设备
