序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
1,600339,中油工程,3.9,4.72,3.87,8,-17.55,25.45,油气开采及服务
2,601975,招商南油,4.32,5.31,4.25,8,-17.4,48.18,港口航运
3,002040,南京港,9.91,10.47,9.83,7,-5.89,11.55,港口航运
4,002634,棒杰股份,5.8,9.67,5.44,7,-40.02,70.94,服装家纺
5,600026,中远海能,21.95,26.81,21.2,7,-15.8,16.29,港口航运
6,600585,海螺水泥,22.22,23.25,22.03,7,-4.55,4.8,建筑材料
7,603822,ST嘉澳,84.43,95.56,83.91,7,-8.63,9.13,化学制品
10,002318,久立特材,29.34,32.06,28.72,6,-7.59,6.25,钢铁
13,600230,沧州大化,19.4,20.81,19.19,6,-6.37,16.81,化学制品
14,601952,苏垦农发,9.73,10.25,9.7,6,-4.89,7.46,种植业与林业
15,603863,松炀资源,18.34,21.16,18.05,6,-10.97,36.46,造纸
17,000157,中联重科,8.07,8.83,8.04,5,-7.88,7.8,工程机械
18,000729,燕京啤酒,12.88,14.34,12.8,5,-9.68,10.74,饮料制造
19,001331,胜通能源,50.96,58.43,50.28,5,-12.78,20.16,燃气
20,002729,好利科技,20.41,22.63,20.06,5,-5.2,34.52,其他电子
22,600021,上海电力,17.73,18.79,17.63,5,-4.52,6.97,电力
23,600072,中船科技,12.0,12.76,11.85,5,-3.77,7.37,风电设备
24,600298,安琪酵母,39.76,41.32,39.55,5,-3.21,2.49,食品加工制造
25,600636,*ST国化,6.09,7.48,6.09,5,-22.62,16.96,教育
26,600893,航发动力,49.77,52.42,49.28,5,-3.28,5.41,军工装备
27,601117,中国化学,8.57,9.08,8.52,5,-5.41,8.28,建筑装饰
28,601216,君正集团,5.23,5.57,5.21,5,-5.77,4.1,化学原料
29,603102,百合股份,39.96,41.79,39.52,5,-4.17,5.56,食品加工制造
30,603227,雪峰科技,9.13,10.68,9.02,5,-12.96,16.77,化学制品
31,603272,联翔股份,30.6,36.66,30.1,5,-17.34,33.5,家居用品
32,603599,广信股份,13.82,15.0,13.74,5,-6.94,6.28,农化制品
33,603733,仙鹤股份,21.47,22.45,21.43,5,-4.66,1.89,造纸
34,605338,巴比食品,25.26,27.27,24.97,5,-6.62,5.59,食品加工制造
36,000019,深粮控股,7.58,8.18,7.55,4,-8.67,22.57,农产品加工
37,000096,广聚能源,9.62,9.98,9.58,4,-3.8,5.45,石油加工贸易
38,000504,*ST生物,9.8,10.22,9.75,4,-2.97,3.07,医疗服务
39,000507,珠海港,5.27,5.41,5.26,4,-2.41,5.77,港口航运
40,000838,财信发展,1.82,2.22,1.75,4,-16.51,27.03,房地产
41,000930,中粮科技,6.44,6.87,6.42,4,-6.4,5.62,农产品加工
42,000966,长源电力,4.26,4.45,4.25,4,-3.4,6.23,电力
43,000968,蓝焰控股,9.03,10.71,8.91,4,-11.3,36.06,油气开采及服务
44,000993,闽东电力,12.18,12.86,12.11,4,-5.43,20.49,电力
45,001328,登康口腔,32.19,33.29,31.76,4,-1.86,2.44,美容护理
46,001390,古麒绒材,21.74,22.37,21.52,4,-2.42,11.52,纺织制造
47,002109,兴化股份,3.91,4.29,3.85,4,-9.07,12.62,化学原料
48,002150,正泰电源,30.55,33.43,30.41,4,-11.65,30.34,光伏设备
49,002207,准油股份,7.14,8.1,7.02,4,-12.93,39.2,油气开采及服务
50,002310,东方新能,2.92,3.34,2.91,4,-7.89,20.65,电力
51,002323,雅博股份,2.06,2.21,2.0,4,-5.94,19.96,建筑装饰
52,002490,山东墨龙,8.69,9.57,8.55,4,-10.6,36.82,专用设备
53,002650,ST加加,7.26,8.61,7.25,4,-11.46,6.35,食品加工制造
54,002828,贝肯能源,11.81,12.7,11.7,4,-9.01,44.55,油气开采及服务
55,002911,佛燃能源,13.59,15.46,13.46,4,-3.27,4.32,燃气
56,002950,奥美医疗,13.16,14.84,12.91,4,-9.8,26.11,医疗器械
