股票代码,股票名称,变动日期,变动人,变动股数,成交均价,变动后持股数,与董监高关系,董监高职务
SZ002126,银轮股份,2026-04-16,陈敏,-40000,49.48,821000.0,本人,董秘
SH603588,高能环境,2026-04-16,李卫国,-5077400,15.2,233685089.0,本人,董事
SZ002126,银轮股份,2026-04-15,陈敏,-15000,50.13,861000.0,本人,董秘
SZ001316,润贝航科,2026-04-15,刘俊锋,-430900,45.25,5897300.0,本人,董事
SH605305,中际联合,2026-04-15,马东升,-686200,42.87,3301021.0,本人,董事、高级管理人员
SH605305,中际联合,2026-04-15,王喜军(XIJUN EUGENE),-369000,42.87,2475804.0,本人,董事、高级管理人员
SH603588,高能环境,2026-04-15,李卫国,-4954960,15.34,238762489.0,本人,董事
SH603061,金海通,2026-04-15,龙波,2404866,0.0,7749012.0,本人,董事、高级管理人员
SH603061,金海通,2026-04-15,崔学峰,3830009,0.0,12341141.0,本人,董事、高级管理人员
SH603050,科林电气,2026-04-15,陈贺,-40000,20.01,650585.0,本人,董事
SH603730,岱美股份,2026-04-14,肖传龙,-360000,9.03,1126569.0,本人,高级管理人员
SH603588,高能环境,2026-04-14,李卫国,-3376400,15.94,243717449.0,本人,董事
SH603051,鹿山新材,2026-04-14,汪加胜,-4628100,21.2,43241401.0,本人,董事
SH600562,国睿科技,2026-04-14,孙红兵,11800,27.62,11800.0,本人,董事
SH600255,鑫科材料,2026-04-14,王生,-525000,3.64,1575000.0,本人,董事、高级管理人员
SZ000710,贝瑞基因,2026-04-13,高扬,-98100,10.21,20281400.0,本人,董事、高管
SZ000036,华联控股,2026-04-13,苏秦,-17500,5.07,457500.0,本人,高管
SZ000036,华联控股,2026-04-13,孔庆富,-126600,5.03,379900.0,本人,董秘、高管
SH603588,高能环境,2026-04-13,李卫国,-1620800,15.98,247093849.0,本人,董事
SH601872,招商轮船,2026-04-13,徐晖,-60000,18.17,487890.0,本人,高级管理人员
SZ001313,粤海饲料,2026-04-10,郑石轩,-200500,7.84,863400.0,本人,董事、高管
SZ000710,贝瑞基因,2026-04-10,高扬,-97000,10.41,20379500.0,本人,董事、高管
SZ000036,华联控股,2026-04-10,苏秦,-80000,4.89,475000.0,本人,高管
SH603681,永冠新材,2026-04-10,吕新民,423300,17.59,62761420.0,本人,董事
